feature,selection_count,pair_count,cpss_score,r2,spearman,mutual_info,unimodal,diptest_pvalue
TPM__ATXN7L2,96,46,0.96,0.10999999940395355,-0.34,0.01,True,0.832
TPM__PDCD6IP-DT,89,39,0.89,0.14000000059604645,0.38,0.11,False,0.0
TPM__WNT9A,88,38,0.88,0.11999999731779099,0.38,0.12,False,0.0
TPM__PMEPA1,85,35,0.85,0.10999999940395355,0.33,0.09,False,0.0
METH__MFSD5,83,33,0.83,0.10000000149011612,-0.3,0.09,False,0.0
METH__RGS12,79,29,0.79,0.12999999523162842,0.37,0.02,False,0.0
METH__PSTK,79,29,0.79,0.10999999940395355,-0.34,0.09,False,0.0
TPM__RPL18,79,29,0.79,0.11999999731779099,-0.34,0.06,False,0.0
METH__ITPRIPL1,74,24,0.74,0.12999999523162842,0.38,0.11,False,0.0
METH__GSPT1,74,24,0.74,0.10000000149011612,-0.32,0.08,False,0.0
METH__UBE4B,74,24,0.74,0.10000000149011612,-0.32,0.03,False,0.0
TPM__IRAK1BP1,71,21,0.71,0.10000000149011612,-0.36,0.03,False,0.0
TPM__KRT7-AS,70,20,0.7,0.14000000059604645,0.4,0.08,False,0.0
TPM__HDAC11,69,19,0.69,0.1599999964237213,0.38,0.11,False,0.0
TPM__BEND4,68,18,0.68,0.10999999940395355,-0.2,0.13,False,0.0
TPM__ASPHD2,67,17,0.67,0.10999999940395355,-0.33,0.08,False,0.0
METH__VTRNA1-2,67,18,0.67,0.10000000149011612,-0.27,0.09,False,0.0
TPM__RPS3AP20,66,18,0.66,0.10000000149011612,-0.28,0.06,False,0.0
TPM__AP1M2,65,15,0.65,0.10000000149011612,0.33,0.12,False,0.0
TPM__RHPN2,65,16,0.65,0.10000000149011612,0.34,0.08,False,0.0
TPM__BLMH,64,16,0.64,0.10999999940395355,-0.36,0.08,False,0.0
TPM__RIPK4,63,13,0.63,0.10000000149011612,0.32,0.15,False,0.0
TPM__NAP1L1,63,14,0.63,0.12999999523162842,-0.37,0.11,False,0.0
METH__MIR2276,63,14,0.63,0.10000000149011612,-0.3,0.03,False,0.0
TPM__RPS6KA4,59,11,0.59,0.10000000149011612,0.33,0.09,False,0.0
TPM__SQSTM1,58,11,0.58,0.11999999731779099,0.34,0.05,False,0.0
TPM__LCMT1-AS1,58,9,0.58,0.10000000149011612,-0.33,0.06,False,0.002
METH__MARVELD2,58,11,0.58,0.15000000596046448,-0.4,0.13,False,0.0
TPM__DDR1,57,10,0.57,0.10000000149011612,0.32,0.06,False,0.0
TPM__RSL24D1,56,7,0.56,0.11999999731779099,-0.34,0.12,True,0.053
TPM__KRT80,55,8,0.55,0.10999999940395355,0.35,0.02,False,0.013
METH__SEMA3C,55,5,0.55,0.10000000149011612,-0.3,0.12,True,0.458
TPM__CGN,55,6,0.55,0.10000000149011612,0.32,0.14,True,0.181
TPM__RPL3,54,6,0.54,0.11999999731779099,-0.35,0.03,True,0.181
TPM__POLR3D,53,7,0.53,0.10000000149011612,-0.33,0.05,True,0.053
METH__TLR9,53,8,0.53,0.10000000149011612,0.31,0.15,False,0.013
TPM__FAM177A1,51,5,0.51,0.12999999523162842,0.37,0.07,True,0.458
TPM__PKP3,51,4,0.51,0.11999999731779099,0.35,0.09,True,0.832
METH__ACOX3,50,6,0.5,0.10999999940395355,-0.3,0.11,True,0.181
TPM__CTSD,50,1,0.5,0.17000000178813934,0.4,0.09,True,1.0
TPM__RHOD,48,6,0.48,0.10999999940395355,0.35,0.09,True,0.181
METH__OGFR,48,4,0.48,0.10999999940395355,0.36,0.12,True,0.832
TPM__FRG1,47,4,0.47,0.10999999940395355,-0.33,0.1,True,0.832
TPM__HNRNPA1,47,5,0.47,0.10000000149011612,-0.33,0.08,True,0.458
TPM__LRATD2,45,2,0.45,0.10000000149011612,0.32,0.06,True,1.0
TPM__FTH1P20,45,2,0.45,0.10999999940395355,0.34,0.05,True,1.0
TPM__ERBB2,45,2,0.45,0.15000000596046448,0.37,0.12,True,1.0
TPM__APLP2,44,3,0.44,0.12999999523162842,0.35,0.11,True,0.992
TPM__CUEDC1,43,2,0.43,0.10999999940395355,0.32,0.08,True,1.0
TPM__CD38,41,2,0.41,0.10999999940395355,-0.25,0.15,True,1.0
TPM__CLCF1,41,5,0.41,0.11999999731779099,0.36,0.06,True,0.458
TPM__ITGB5,41,2,0.41,0.11999999731779099,0.31,0.12,True,1.0
TPM__PLPP2,41,3,0.41,0.17000000178813934,0.4,0.11,True,0.992
METH__DENND1C,39,2,0.39,0.10999999940395355,0.33,0.13,True,1.0
TPM__IKZF1,39,2,0.39,0.10999999940395355,-0.21,0.12,True,1.0
TPM__TCF4,39,2,0.39,0.14000000059604645,-0.37,0.04,True,1.0
TPM__NGEF,39,3,0.39,0.10000000149011612,0.35,0.08,True,0.992
METH__IL12RB1,38,0,0.38,0.10000000149011612,0.31,0.06,False,
TPM__OCLN,38,4,0.38,0.10999999940395355,0.34,0.1,True,0.832
TPM__CLDN3,38,1,0.38,0.10999999940395355,0.37,0.1,True,1.0
METH__ERBB2,38,3,0.38,0.11999999731779099,-0.35,0.09,True,0.992
TPM__SPN,38,2,0.38,0.12999999523162842,-0.27,0.06,True,1.0
TPM__ANXA2,37,0,0.37,0.10000000149011612,0.32,0.08,False,
