feature,selection_count,pair_count,cpss_score,r2,spearman,mutual_info,unimodal,diptest_pvalue,threshold_type,threshold_value,above_threshold
CNV__FOXA1,99,49,0.99,0.029999999329447746,0.26,0.22,True,1.0,unimodal,0.71,True
METH__PPIC,99,49,0.99,0.05000000074505806,-0.18,0.21,True,1.0,unimodal,0.71,True
CNV__NKX2-1,99,49,0.99,0.019999999552965164,0.26,0.21,True,1.0,unimodal,0.71,True
CNV__RSPO2,98,48,0.98,0.03999999910593033,0.22,0.21,True,1.0,unimodal,0.71,True
CNV__SIX1,98,48,0.98,0.03999999910593033,0.25,0.23,True,1.0,unimodal,0.71,True
CNV__DCSTAMP,98,48,0.98,0.03999999910593033,0.22,0.21,True,1.0,unimodal,0.71,True
METH__KLF4,97,47,0.97,0.029999999329447746,-0.18,0.21,True,0.992,unimodal,0.71,True
CNV__FLT3,97,47,0.97,0.0,0.01,0.2,True,0.992,unimodal,0.71,True
CNV__GPHN,97,47,0.97,0.029999999329447746,0.23,0.23,True,0.992,unimodal,0.71,True
METH__CARHSP1,96,46,0.96,0.019999999552965164,0.18,0.22,True,0.832,unimodal,0.71,True
CNV__UBR5,95,45,0.95,0.019999999552965164,0.22,0.21,True,0.458,unimodal,0.71,True
CNV__NIN,94,44,0.94,0.05000000074505806,0.25,0.22,True,0.181,unimodal,0.71,True
CNV__HEY1,94,44,0.94,0.019999999552965164,0.18,0.21,True,0.181,unimodal,0.71,True
CNV__FANCM,93,43,0.93,0.03999999910593033,0.25,0.22,True,0.053,unimodal,0.71,True
CNV__DICER1,92,42,0.92,0.029999999329447746,0.23,0.21,False,0.013,worst_case,0.8926380368098159,True
CNV__BCL11B,92,42,0.92,0.029999999329447746,0.22,0.22,False,0.013,worst_case,0.8926380368098159,True
METH__ADCY9,91,41,0.91,0.009999999776482582,-0.1,0.22,False,0.002,worst_case,0.8926380368098159,True
CNV__AJUBA,91,41,0.91,0.029999999329447746,0.22,0.23,False,0.002,worst_case,0.8926380368098159,True
