feature,Selection count,Pair count,CPSS Score
METH__C9orf150,100,50,1.0
TPM__RHOH,100,50,1.0
TPM__MIR142HG,100,50,1.0
TPM__HNF1B,100,50,1.0
METH__S100A2,100,50,1.0
METH__GPX4,100,50,1.0
METH__DSTN,100,50,1.0
METH__WBP2,100,50,1.0
TPM__LINC01843,100,50,1.0
TPM__RGS7,100,50,1.0
METH__INTU,100,50,1.0
METH__KRI1,100,50,1.0
METH__ARHGAP5,100,50,1.0
METH__SMCR7,98,48,0.98
METH__HNRNPC,98,48,0.98
METH__ZNF697,97,47,0.97
METH__NR4A3,97,47,0.97
METH__C14orf128,96,46,0.96
METH__ZRANB1,96,46,0.96
METH__RAB11FIP5,95,45,0.95
METH__PCCA,94,44,0.94
METH__SPAG9,94,44,0.94
METH__ERP29,94,44,0.94
METH__EDN1,93,43,0.93
METH__MYO1E,92,42,0.92
METH__TMEM49,92,42,0.92
METH__ZNF498,90,40,0.9
METH__SGPP1,89,40,0.89
METH__GPR18,88,38,0.88
METH__SNRPA1,87,37,0.87
METH__CMTM1,83,33,0.83
METH__LYSMD3,81,31,0.81
METH__LYRM5,79,29,0.79
METH__PTGR2,77,28,0.77
METH__MIR2116,76,28,0.76
METH__TMEM20,75,26,0.75
METH__CROCCL1,75,25,0.75
METH__RAD54B,75,28,0.75
METH__MAPRE3,74,26,0.74
METH__ZNF554,74,27,0.74
METH__NRD1,73,27,0.73
METH__HMGCR,70,22,0.7
CNV__LASP1,69,19,0.69
METH__SLC19A2,69,22,0.69
METH__ADCY10,68,23,0.68
METH__POLH,65,20,0.65
METH__C9orf30,64,16,0.64
METH__XPR1,63,19,0.63
CNV__TGIF1,59,16,0.59
METH__RNF138P1,55,14,0.55
METH__DOCK7,55,15,0.55
METH__C6orf217,54,12,0.54
METH__SNORA36C,53,12,0.53
CNV__CUX1,53,10,0.53
METH__BCL2L2,51,12,0.51
METH__AUP1,50,12,0.5
METH__LOC401052,50,11,0.5
METH__ZNF227,50,11,0.5
METH__ZNF509,49,9,0.49
CNV__H3C2,49,12,0.49
METH__PELP1,49,4,0.49
CNV__HGF,47,8,0.47
CNV__STAT5B,47,7,0.47
CNV__PIK3R1,46,10,0.46
METH__PM20D2,46,10,0.46
METH__LOC81691,46,6,0.46
METH__MIR611,45,6,0.45
METH__SIAH1,45,8,0.45
METH__CLN3,44,7,0.44
CNV__SYK,43,9,0.43
CNV__BRCA1,43,8,0.43
METH__POLR3F,43,6,0.43
METH__EIF3M,43,5,0.43
CNV__TAL2,43,5,0.43
METH__RETSAT,42,8,0.42
METH__WDR43,41,8,0.41
METH__HEXB,39,7,0.39
METH__ZNF407,39,5,0.39
METH__ATXN7,39,2,0.39
CNV__FOXA1,39,7,0.39
METH__KIAA1147,38,6,0.38
METH__NSUN2,38,6,0.38
METH__PPP2R5B,38,1,0.38
METH__DPP3,37,4,0.37
METH__CD83,37,4,0.37
CNV__BCL2,36,3,0.36
CNV__WNK2,35,4,0.35
CNV__GNAQ,34,5,0.34
CNV__FAM135B,34,4,0.34
METH__SRD5A1,34,3,0.34
CNV__TPR,34,8,0.34
METH__LOC100134229,34,2,0.34
CNV__MLLT3,33,5,0.33
CNV__FUBP1,32,5,0.32
METH__DSN1,32,1,0.32
CNV__PTCH1,32,5,0.32
CNV__NBN,31,5,0.31
CNV__CTCF,31,3,0.31
CNV__KDM3B,30,5,0.3
METH__THOC7,30,3,0.3
CNV__FOXO3,30,2,0.3
CNV__ARHGEF10,29,4,0.29
CNV__NFKBIA,29,4,0.29
CNV__FBN2,29,3,0.29
METH__SKI,29,1,0.29
CNV__PTPRC,28,2,0.28
METH__TMEM117,28,5,0.28
METH__GNRHR2,28,1,0.28
CNV__ARID1B,28,3,0.28
CNV__TP53,28,5,0.28
CNV__ACSL3,28,1,0.28
CNV__ACKR3,28,4,0.28
CNV__SDHB,28,2,0.28
METH__JHDM1D,28,1,0.28
METH__PPAPDC1B,28,2,0.28
CNV__KDSR,27,1,0.27
CNV__FES,27,1,0.27
CNV__PDPR,27,2,0.27
CNV__FEV,27,1,0.27
METH__CHD9,26,3,0.26
CNV__XPA,26,1,0.26
CNV__LCK,26,2,0.26
METH__CSDA,26,1,0.26
METH__CDK7,26,2,0.26
CNV__USP6,25,2,0.25
METH__RPL23AP7,25,3,0.25
METH__RABL2A,24,1,0.24
CNV__MALT1,24,0,0.24
CNV__LATS1,24,2,0.24
CNV__NKX2-1,24,2,0.24
CNV__NRP1,24,1,0.24
CNV__COL2A1,24,2,0.24
CNV__FANCC,23,2,0.23
CNV__CDC73,23,3,0.23
CNV__YWHAE,23,3,0.23
METH__NT5DC1,23,2,0.23
CNV__CBFB,22,1,0.22
CNV__IFNGR1,22,3,0.22
CNV__FOXP1,22,1,0.22
CNV__CUL3,21,0,0.21
CNV__RANBP2,21,2,0.21
CNV__SET,21,1,0.21
CNV__MAP2K1,21,2,0.21
CNV__ZEB1,21,1,0.21
CNV__LOX,20,1,0.2
METH__TRMT5,20,1,0.2
CNV__EPHA7,20,0,0.2
METH__NEK8,20,2,0.2
CNV__RET,19,2,0.19
METH__WNK1,19,2,0.19
CNV__ESR1,19,1,0.19
CNV__FAM174B,19,2,0.19
METH__TRAF4,19,0,0.19
CNV__CYLD,19,0,0.19
CNV__CREB1,18,0,0.18
METH__C14orf142,18,2,0.18
METH__ARPC1A,18,0,0.18
CNV__MUTYH,18,1,0.18
METH__ERI2,18,1,0.18
CNV__SIX1,18,2,0.18
CNV__PAX3,18,0,0.18
CNV__BRD7,17,1,0.17
CNV__BCL11B,17,1,0.17
METH__STXBP4,17,0,0.17
