feature,selection_count,pair_count,cpss_score,r2,spearman,mutual_info,unimodal,diptest_pvalue
METH__C9orf150,100,50,1.0,0.09000000357627869,-0.25,0.27,True,1.0
METH__WBP2,100,50,1.0,0.05999999865889549,-0.22,0.19,True,1.0
METH__ARHGAP5,100,50,1.0,0.05999999865889549,-0.28,0.21,True,1.0
METH__KRI1,100,50,1.0,0.15000000596046448,0.38,0.2,True,1.0
METH__INTU,100,50,1.0,0.10000000149011612,-0.27,0.2,True,1.0
TPM__RGS7,100,50,1.0,0.009999999776482582,0.23,0.2,True,1.0
TPM__LINC01843,100,50,1.0,0.07999999821186066,0.36,0.2,True,1.0
TPM__RHOH,100,50,1.0,0.11999999731779099,-0.31,0.2,True,1.0
METH__DSTN,100,50,1.0,0.10000000149011612,-0.3,0.19,True,1.0
METH__GPX4,100,50,1.0,0.05999999865889549,-0.31,0.2,True,1.0
METH__S100A2,100,50,1.0,0.07999999821186066,-0.34,0.22,True,1.0
TPM__HNF1B,100,50,1.0,0.03999999910593033,0.2,0.19,True,1.0
TPM__MIR142HG,100,50,1.0,0.12999999523162842,-0.24,0.24,True,1.0
METH__SMCR7,98,48,0.98,0.07999999821186066,-0.28,0.19,True,1.0
METH__HNRNPC,98,48,0.98,0.07000000029802322,0.21,0.21,True,1.0
METH__ZNF697,97,47,0.97,0.07000000029802322,-0.25,0.2,True,0.992
METH__NR4A3,97,47,0.97,0.05999999865889549,0.22,0.23,True,0.992
METH__ZRANB1,96,46,0.96,0.029999999329447746,0.15,0.2,True,0.832
METH__C14orf128,96,46,0.96,0.05999999865889549,-0.3,0.25,True,0.832
METH__RAB11FIP5,95,45,0.95,0.029999999329447746,-0.14,0.22,True,0.458
METH__PCCA,94,44,0.94,0.05000000074505806,-0.25,0.18,True,0.181
METH__SPAG9,94,44,0.94,0.07000000029802322,-0.27,0.19,True,0.181
METH__ERP29,94,44,0.94,0.019999999552965164,0.18,0.22,True,0.181
METH__EDN1,93,43,0.93,0.029999999329447746,-0.28,0.2,True,0.053
METH__MYO1E,92,42,0.92,0.019999999552965164,-0.02,0.21,False,0.013
METH__TMEM49,92,42,0.92,0.07000000029802322,-0.27,0.19,False,0.013
METH__ZNF498,90,40,0.9,0.05000000074505806,-0.21,0.2,False,0.0
METH__SGPP1,89,40,0.89,0.03999999910593033,-0.27,0.19,False,0.0
METH__GPR18,88,38,0.88,0.019999999552965164,0.12,0.2,False,0.0
METH__SNRPA1,87,37,0.87,0.03999999910593033,-0.13,0.19,False,0.0
METH__CMTM1,83,33,0.83,0.05000000074505806,0.19,0.2,False,0.0
METH__LYSMD3,81,31,0.81,0.029999999329447746,-0.22,0.2,False,0.0
METH__LYRM5,79,29,0.79,0.009999999776482582,-0.09,0.21,False,0.0
METH__PTGR2,77,28,0.77,0.029999999329447746,-0.24,0.21,False,0.0
METH__MIR2116,76,28,0.76,0.019999999552965164,0.22,0.22,False,0.0
METH__TMEM20,75,26,0.75,0.029999999329447746,-0.19,0.19,False,0.0
METH__CROCCL1,75,25,0.75,0.019999999552965164,0.07,0.2,False,0.0
METH__RAD54B,75,28,0.75,0.03999999910593033,-0.17,0.21,False,0.0
METH__MAPRE3,74,26,0.74,0.029999999329447746,-0.04,0.21,False,0.0
METH__ZNF554,74,27,0.74,0.0,-0.1,0.21,False,0.0
METH__NRD1,73,27,0.73,0.009999999776482582,0.08,0.22,False,0.0
METH__HMGCR,70,22,0.7,0.05000000074505806,-0.23,0.2,False,0.0
CNV__LASP1,69,19,0.69,0.009999999776482582,0.18,0.19,False,0.0
METH__SLC19A2,69,22,0.69,0.029999999329447746,-0.25,0.19,False,0.0
METH__ADCY10,68,23,0.68,0.009999999776482582,0.08,0.19,False,0.0
METH__POLH,65,20,0.65,0.009999999776482582,0.1,0.24,False,0.0
METH__C9orf30,64,16,0.64,0.05000000074505806,-0.24,0.21,False,0.0
METH__XPR1,63,19,0.63,0.029999999329447746,0.11,0.2,False,0.0
CNV__TGIF1,59,16,0.59,0.0,0.01,0.18,False,0.0
METH__RNF138P1,55,14,0.55,0.019999999552965164,-0.14,0.24,False,0.0
METH__DOCK7,55,15,0.55,0.009999999776482582,-0.08,0.22,False,0.0
METH__C6orf217,54,12,0.54,0.03999999910593033,-0.24,0.2,False,0.0
METH__SNORA36C,53,12,0.53,0.019999999552965164,0.12,0.21,False,0.0
CNV__CUX1,53,10,0.53,0.009999999776482582,0.14,0.2,False,0.0
METH__BCL2L2,51,12,0.51,0.029999999329447746,-0.16,0.2,False,0.0
METH__AUP1,50,12,0.5,0.0,0.06,0.2,False,0.0
METH__LOC401052,50,11,0.5,0.029999999329447746,-0.16,0.2,False,0.0
METH__ZNF227,50,11,0.5,0.029999999329447746,-0.16,0.2,False,0.0
METH__PELP1,49,4,0.49,0.0,0.09,0.19,True,0.832
METH__ZNF509,49,9,0.49,0.0,0.0,0.21,False,0.002
CNV__H3C2,49,12,0.49,0.0,0.09,0.22,False,0.0
CNV__HGF,47,8,0.47,0.009999999776482582,0.11,0.21,False,0.013
