feature,selection_count,pair_count,cpss_score,r2,spearman,mutual_info,unimodal,diptest_pvalue,threshold_type,threshold_value,above_threshold
METH__CCM2,100,50,1.0,0.14000000059604645,0.43,0.23,True,1.0,unimodal,0.71,True
METH__ZNF101,100,50,1.0,0.05000000074505806,0.23,0.21,True,1.0,unimodal,0.71,True
METH__PRIC285,100,50,1.0,0.10999999940395355,0.37,0.23,True,1.0,unimodal,0.71,True
METH__C14orf128,100,50,1.0,0.05000000074505806,-0.29,0.23,True,1.0,unimodal,0.71,True
TPM__MIR142HG,100,50,1.0,0.11999999731779099,-0.25,0.23,True,1.0,unimodal,0.71,True
METH__ARHGEF10,100,50,1.0,0.07000000029802322,-0.26,0.2,True,1.0,unimodal,0.71,True
METH__DSTN,99,49,0.99,0.09000000357627869,-0.31,0.23,True,1.0,unimodal,0.71,True
METH__AP1B1,99,49,0.99,0.05000000074505806,0.28,0.2,True,1.0,unimodal,0.71,True
METH__EAF2,99,49,0.99,0.05999999865889549,0.28,0.21,True,1.0,unimodal,0.71,True
METH__LAPTM4A,99,49,0.99,0.05999999865889549,-0.26,0.21,True,1.0,unimodal,0.71,True
METH__FAT1,99,49,0.99,0.09000000357627869,-0.28,0.23,True,1.0,unimodal,0.71,True
METH__LOC100133985,98,48,0.98,0.05000000074505806,0.28,0.21,True,1.0,unimodal,0.71,True
METH__TEAD4,97,47,0.97,0.07000000029802322,-0.26,0.22,True,0.992,unimodal,0.71,True
METH__LNPEP,93,43,0.93,0.07000000029802322,0.28,0.23,True,0.053,unimodal,0.71,True
METH__ATP6V1D,93,43,0.93,0.05000000074505806,-0.18,0.24,True,0.053,unimodal,0.71,True
CNV__APOBEC3B,90,40,0.9,0.0,-0.01,0.22,False,0.0,worst_case,0.8982683982683983,True
