feature,Selection count,Pair count,CPSS Score
METH__NRP1,100,50,1.0
METH__C9orf150,100,50,1.0
METH__MAP1LC3B2,100,50,1.0
METH__PFN2,100,50,1.0
TPM__MANCR,100,50,1.0
METH__GPX8,100,50,1.0
TPM__PIK3CG,100,50,1.0
TPM__AHNAK2,100,50,1.0
TPM__PDE1B,100,50,1.0
TPM__ARHGAP9,100,50,1.0
TPM__MIR142HG,100,50,1.0
TPM__IKZF1,100,50,1.0
METH__TMCO4,100,50,1.0
METH__TMEM149,100,50,1.0
METH__C6orf217,98,48,0.98
METH__AGPAT9,98,48,0.98
METH__SMAD1,96,46,0.96
METH__C11orf42,96,46,0.96
CNV__ARHGAP26,90,40,0.9
METH__DENND3,89,39,0.89
METH__SRPK1,88,38,0.88
METH__LRP6,88,38,0.88
METH__SGTB,86,36,0.86
METH__TPX2,81,31,0.81
METH__FGGY,80,30,0.8
CNV__MALT1,79,29,0.79
METH__ZDHHC23,78,29,0.78
CNV__EBF1,77,28,0.77
METH__ATG4D,77,27,0.77
METH__AP2A1,77,27,0.77
CNV__DCC,76,28,0.76
CNV__SMAD4,74,24,0.74
CNV__MRTFA,70,21,0.7
CNV__MAP3K13,70,24,0.7
CNV__BIRC3,66,19,0.66
CNV__RBFOX2,63,18,0.63
CNV__NFKBIA,62,16,0.62
CNV__CD74,62,15,0.62
MUT__KRAS,59,12,0.59
CNV__KLF4,59,12,0.59
TPM__CKS1BP2,58,18,0.58
CNV__NIN,58,14,0.58
CNV__KDM3B,57,16,0.57
CNV__CCNE1,56,12,0.56
CNV__MYH9,55,10,0.55
CNV__FOXA1,54,10,0.54
CNV__BCL2,53,10,0.53
CNV__KDSR,53,12,0.53
CNV__UBE2D2,53,16,0.53
CNV__CREB1,52,10,0.52
CNV__BCL9L,52,9,0.52
METH__ARMC10,51,8,0.51
METH__BHLHE41,51,9,0.51
CNV__MAML2,49,9,0.49
CNV__LOX,48,11,0.48
CNV__FAT3,47,7,0.47
CNV__KTN1,46,5,0.46
CNV__RGS7,45,8,0.45
CNV__FBN2,44,8,0.44
METH__RPL23AP7,43,4,0.43
CNV__CHEK2,42,4,0.42
CNV__SOS1,42,6,0.42
CNV__FAT2,42,5,0.42
CNV__CBL,42,7,0.42
CNV__AFF4,41,8,0.41
CNV__MITF,41,8,0.41
CNV__IRF1,41,4,0.41
CNV__BMPR2,41,7,0.41
CNV__TAL2,41,5,0.41
CNV__ITK,41,4,0.41
CNV__KCNJ5,40,4,0.4
CNV__DDX6,38,5,0.38
CNV__NKX2-1,38,5,0.38
CNV__TRIP11,38,7,0.38
METH__CD320,37,4,0.37
CNV__FLI1,37,4,0.37
CNV__FH,36,4,0.36
METH__DAG1,35,6,0.35
CNV__ATM,35,5,0.35
CNV__HOXD11,35,4,0.35
CNV__FEV,34,3,0.34
METH__DCDC1,33,7,0.33
CNV__ACSL3,32,4,0.32
METH__C1orf220,32,0,0.32
METH__C7orf70,32,2,0.32
