feature,selection_count,pair_count,cpss_score,r2,spearman,mutual_info,unimodal,diptest_pvalue
TPM__ARHGAP15,99,49,0.99,0.25999999046325684,-0.36,0.19,True,1.0
TPM__ARHGAP30,97,47,0.97,0.2199999988079071,-0.24,0.18,True,0.992
TPM__MIR142HG,97,47,0.97,0.25,-0.32,0.17,True,0.992
TPM__NCKAP1L,96,46,0.96,0.2800000011920929,-0.39,0.22,True,0.832
TPM__PERP,96,46,0.96,0.25,0.46,0.15,True,0.832
TPM__CEP170B,95,45,0.95,0.27000001072883606,0.46,0.2,True,0.458
TPM__ARHGAP19,93,43,0.93,0.20000000298023224,-0.43,0.19,True,0.053
TPM__MFNG,92,42,0.92,0.17000000178813934,-0.26,0.18,False,0.013
TPM__TM4SF1-AS1,90,40,0.9,0.12999999523162842,0.46,0.19,False,0.0
TPM__IKZF1,90,40,0.9,0.25999999046325684,-0.37,0.18,False,0.0
TPM__SH3D19,89,39,0.89,0.2199999988079071,0.41,0.21,False,0.0
TPM__SDC4,89,39,0.89,0.25,0.45,0.19,False,0.0
TPM__ARHGAP9,88,38,0.88,0.25999999046325684,-0.44,0.19,False,0.0
METH__MIR142,87,37,0.87,0.23999999463558197,0.37,0.17,False,0.0
TPM__KRT18,87,37,0.87,0.23999999463558197,0.45,0.15,False,0.0
TPM__SH3BP4,85,35,0.85,0.2199999988079071,0.39,0.16,False,0.0
TPM__RHBDF1,85,36,0.85,0.23999999463558197,0.43,0.19,False,0.0
TPM__KITLG,84,34,0.84,0.18000000715255737,0.45,0.19,False,0.0
TPM__AGAP2,83,33,0.83,0.2199999988079071,-0.43,0.17,False,0.0
TPM__PDE1B,83,34,0.83,0.23999999463558197,-0.38,0.19,False,0.0
TPM__FAM78A,82,32,0.82,0.23999999463558197,-0.41,0.17,False,0.0
TPM__CLDN3,82,32,0.82,0.15000000596046448,0.43,0.16,False,0.0
TPM__PIK3CG,82,32,0.82,0.25,-0.41,0.28,False,0.0
TPM__NCKAP1,81,31,0.81,0.2199999988079071,0.3,0.17,False,0.0
TPM__TM4SF1,80,30,0.8,0.18000000715255737,0.38,0.18,False,0.0
TPM__SSH3,78,29,0.78,0.20999999344348907,0.43,0.15,False,0.0
TPM__WAS,77,30,0.77,0.27000001072883606,-0.39,0.19,False,0.0
TPM__CTSD,76,26,0.76,0.17000000178813934,0.41,0.17,False,0.0
TPM__MARVELD2,76,26,0.76,0.18000000715255737,0.4,0.17,False,0.0
TPM__ZDHHC9,75,26,0.75,0.15000000596046448,0.37,0.16,False,0.0
TPM__CD53,75,26,0.75,0.25999999046325684,-0.36,0.21,False,0.0
TPM__CARD8-AS1,75,25,0.75,0.18000000715255737,-0.32,0.16,False,0.0
TPM__KRT15,74,26,0.74,0.14000000059604645,0.45,0.17,False,0.0
METH__SLC44A2,74,24,0.74,0.23000000417232513,-0.45,0.19,False,0.0
TPM__GIPC1,74,25,0.74,0.23000000417232513,0.44,0.18,False,0.0
TPM__GPSM3,73,25,0.73,0.17000000178813934,-0.34,0.18,False,0.0
TPM__RCSD1,73,26,0.73,0.2199999988079071,-0.28,0.18,False,0.0
TPM__FKBP9,73,24,0.73,0.23000000417232513,0.38,0.18,False,0.0
TPM__MICALL2,72,27,0.72,0.1599999964237213,0.38,0.17,False,0.0
TPM__TJP1,72,25,0.72,0.25,0.39,0.22,False,0.0
METH__MAP4K1,71,21,0.71,0.2199999988079071,0.39,0.16,False,0.0
TPM__RHOH,70,21,0.7,0.20999999344348907,-0.37,0.2,False,0.0
TPM__SHTN1,69,21,0.69,0.20999999344348907,0.4,0.16,False,0.0
METH__LOC100130776,67,19,0.67,0.25,-0.36,0.15,False,0.0
TPM__KLF4,67,21,0.67,0.18000000715255737,0.44,0.19,False,0.0
TPM__LAPTM5,67,20,0.67,0.1899999976158142,-0.3,0.16,False,0.0
TPM__GPAT3,67,19,0.67,0.10999999940395355,0.35,0.16,False,0.0
TPM__TNFRSF12A,67,21,0.67,0.23000000417232513,0.41,0.15,False,0.0
TPM__PPIC,66,17,0.66,0.25,0.44,0.16,False,0.0
TPM__EPHA2-AS1,64,18,0.64,0.12999999523162842,0.42,0.16,False,0.0
TPM__P2RY8,64,18,0.64,0.23999999463558197,-0.36,0.2,False,0.0
TPM__CDH1,63,18,0.63,0.15000000596046448,0.39,0.16,False,0.0
TPM__ANKLE1,63,16,0.63,0.2199999988079071,-0.42,0.15,False,0.0
TPM__SLC52A3,63,20,0.63,0.10999999940395355,0.39,0.16,False,0.0
METH__BZRAP1,62,16,0.62,0.25,0.41,0.19,False,0.0
TPM__ARFGEF3,62,16,0.62,0.11999999731779099,0.39,0.15,False,0.0
TPM__SLC44A3-AS1,61,15,0.61,0.12999999523162842,0.4,0.23,False,0.0
TPM__PCDH1,60,16,0.6,0.1599999964237213,0.44,0.17,False,0.0
METH__PIK3CG,60,13,0.6,0.20000000298023224,0.38,0.19,False,0.0
METH__PSMB8,59,16,0.59,0.07000000029802322,0.33,0.17,False,0.0
TPM__P4HA2,58,16,0.58,0.18000000715255737,0.37,0.2,False,0.0
TPM__PARVA,58,11,0.58,0.1599999964237213,0.34,0.16,False,0.0
TPM__YIF1A,57,13,0.57,0.14000000059604645,0.37,0.17,False,0.0
TPM__ZNF112,57,14,0.57,0.09000000357627869,0.21,0.18,False,0.0
TPM__HMGB2,57,13,0.57,0.14000000059604645,-0.37,0.17,False,0.0
TPM__SLC35D2,57,13,0.57,0.23000000417232513,0.42,0.16,False,0.0
TPM__HSD3B7,57,12,0.57,0.11999999731779099,0.36,0.16,False,0.0
TPM__ARSJ,54,8,0.54,0.10000000149011612,0.35,0.17,False,0.013
