feature,selection_count,pair_count,cpss_score,r2,spearman,mutual_info,unimodal,diptest_pvalue
CNV__ERBB2,100,50,1.0,0.05999999865889549,-0.02,0.22,True,1.0
CNV__IKZF3,100,50,1.0,0.05999999865889549,-0.0,0.22,True,1.0
TPM__MIR200CHG,100,50,1.0,0.03999999910593033,-0.18,0.22,True,1.0
CNV__CDK12,100,50,1.0,0.019999999552965164,0.03,0.19,True,1.0
TPM__IRX2,100,50,1.0,0.029999999329447746,-0.1,0.2,True,1.0
TPM__RNVU1-25,100,50,1.0,0.0,-0.05,0.19,True,1.0
METH__ZNF697,99,49,0.99,0.019999999552965164,-0.1,0.2,True,1.0
MUT__KRAS,96,46,0.96,0.029999999329447746,0.16,0.2,True,0.832
CNV__CCND1,95,45,0.95,0.009999999776482582,0.03,0.23,True,0.458
METH__RASA3,93,43,0.93,0.009999999776482582,-0.12,0.19,True,0.053
CNV__FLI1,93,43,0.93,0.019999999552965164,0.15,0.19,True,0.053
CNV__POU2AF1,91,41,0.91,0.009999999776482582,0.14,0.19,False,0.002
CNV__KCNJ5,90,40,0.9,0.019999999552965164,0.15,0.19,False,0.0
CNV__FOXP1,88,38,0.88,0.019999999552965164,0.13,0.2,False,0.0
MUT__BRAF,86,36,0.86,0.019999999552965164,0.1,0.2,False,0.0
METH__DCAF16,86,37,0.86,0.009999999776482582,-0.08,0.19,False,0.0
METH__LRP6,85,37,0.85,0.009999999776482582,-0.07,0.19,False,0.0
CNV__DIS3,85,35,0.85,0.0,-0.03,0.19,False,0.0
CNV__NUMA1,84,35,0.84,0.0,0.06,0.23,False,0.0
CNV__MYD88,82,32,0.82,0.019999999552965164,0.15,0.2,False,0.0
CNV__CHCHD7,80,31,0.8,0.009999999776482582,0.11,0.19,False,0.0
TPM__RNA5SP216,78,31,0.78,0.0,0.02,0.21,False,0.0
TPM__SCARNA4,74,25,0.74,0.009999999776482582,-0.11,0.22,False,0.0
CNV__MLH1,73,23,0.73,0.019999999552965164,0.15,0.2,False,0.0
CNV__BRCA2,72,22,0.72,0.0,-0.0,0.2,False,0.0
CNV__SIX1,71,24,0.71,0.0,0.1,0.19,False,0.0
TPM__SNORA33,68,20,0.68,0.0,-0.06,0.2,False,0.0
CNV__SDHA,68,23,0.68,0.0,0.04,0.21,False,0.0
TPM__RNA5SP323,67,19,0.67,0.0,-0.08,0.18,False,0.0
CNV__DGCR8,67,22,0.67,0.0,0.08,0.19,False,0.0
CNV__LASP1,67,19,0.67,0.019999999552965164,0.05,0.23,False,0.0
CNV__RB1,66,20,0.66,0.0,-0.01,0.19,False,0.0
CNV__DICER1,66,20,0.66,0.0,0.08,0.18,False,0.0
CNV__ZCRB1,66,18,0.66,0.0,0.06,0.21,False,0.0
CNV__CDH10,65,20,0.65,0.0,0.04,0.2,False,0.0
CNV__HIF1A,65,21,0.65,0.0,0.1,0.19,False,0.0
CNV__CLTCL1,64,21,0.64,0.0,0.08,0.2,False,0.0
CNV__LATS2,64,17,0.64,0.0,0.04,0.19,False,0.0
CNV__KTN1,64,20,0.64,0.0,0.08,0.21,False,0.0
CNV__MLLT6,63,17,0.63,0.009999999776482582,0.06,0.23,False,0.0
CNV__FOXO1,63,19,0.63,0.0,-0.02,0.22,False,0.0
CNV__ASPSCR1,62,18,0.62,0.009999999776482582,0.1,0.21,False,0.0
METH__RAPH1,62,15,0.62,0.009999999776482582,-0.08,0.19,False,0.0
CNV__TCIRG1,61,16,0.61,0.0,0.06,0.23,False,0.0
CNV__CCDC6,60,12,0.6,0.0,0.02,0.2,False,0.0
TPM__VTRNA2-1,59,13,0.59,0.0,0.0,0.22,False,0.0
TPM__SCARNA8,58,14,0.58,0.009999999776482582,-0.09,0.21,False,0.0
CNV__PRF1,56,16,0.56,0.0,0.02,0.19,False,0.0
CNV__CACNA1D,55,11,0.55,0.009999999776482582,0.1,0.2,False,0.0
CNV__TSHR,55,16,0.55,0.0,0.07,0.19,False,0.0
CNV__PCMTD1,55,12,0.55,0.0,0.09,0.21,False,0.0
CNV__ABL2,54,13,0.54,0.0,0.07,0.19,False,0.0
MUT__ARID1A,53,8,0.53,0.009999999776482582,0.08,0.2,False,0.013
TPM__RNVU1-26,53,11,0.53,0.0,-0.06,0.2,False,0.0
CNV__TERT,52,14,0.52,0.0,0.04,0.21,False,0.0
CNV__MGA,51,11,0.51,0.0,0.01,0.19,False,0.0
CNV__TET1,50,12,0.5,0.0,0.03,0.2,False,0.0
CNV__SOHLH2,50,11,0.5,0.0,-0.01,0.21,False,0.0
CNV__PBRM1,49,10,0.49,0.009999999776482582,0.12,0.2,False,0.0
METH__LRCH4,48,12,0.48,0.0,-0.07,0.21,False,0.0
CNV__NF1,48,7,0.48,0.0,0.07,0.21,True,0.053
CNV__PRDM2,48,10,0.48,0.009999999776482582,0.1,0.2,False,0.0
METH__C5orf30,48,10,0.48,0.0,-0.06,0.2,False,0.0
CNV__MAX,48,15,0.48,0.0,0.08,0.19,False,0.0
CNV__EPHA2,48,9,0.48,0.009999999776482582,0.11,0.19,False,0.002
METH__WDR61,47,3,0.47,0.009999999776482582,0.06,0.2,True,0.992
CNV__ARID2,47,6,0.47,0.009999999776482582,0.06,0.21,True,0.181
MUT__NRAS,46,2,0.46,0.009999999776482582,0.06,0.22,True,1.0
CNV__CAMTA1,46,11,0.46,0.009999999776482582,0.12,0.19,False,0.0
TPM__SNORA46,46,7,0.46,0.0,-0.03,0.22,True,0.053
CNV__COL2A1,46,6,0.46,0.009999999776482582,0.06,0.19,True,0.181
