feature,Selection count,Pair count,CPSS Score
TPM__SLFN11,100,50,1.0
TPM__OSGIN1,100,50,1.0
TPM__NCKAP1L,100,50,1.0
TPM__PDE1B,99,49,0.99
TPM__TJP1,99,49,0.99
TPM__PPIC,98,48,0.98
TPM__NQO1,98,48,0.98
TPM__KDELR3,96,46,0.96
TPM__S100A10,95,45,0.95
TPM__FKBP9,95,45,0.95
TPM__TM4SF1-AS1,95,45,0.95
TPM__LIMD2,94,44,0.94
TPM__FAM114A1,92,42,0.92
TPM__DAG1,92,42,0.92
TPM__CORO1A,91,41,0.91
TPM__TPM1,90,41,0.9
TPM__TNFRSF12A,88,39,0.88
TPM__ARHGAP15,85,35,0.85
TPM__HCLS1,85,37,0.85
TPM__PRSS23,84,34,0.84
TPM__PIK3CG,82,33,0.82
METH__SLC44A2,82,34,0.82
TPM__RHBDF1,82,32,0.82
TPM__RHOH,81,31,0.81
TPM__AGAP2,80,31,0.8
TPM__SOWAHC,80,31,0.8
TPM__P4HA2,79,29,0.79
TPM__CARD10,79,31,0.79
TPM__LURAP1L,77,29,0.77
TPM__KDM2B,77,27,0.77
TPM__GNG12,76,26,0.76
TPM__RFXAP,75,26,0.75
TPM__ACAP1,75,26,0.75
TPM__S100A16,75,29,0.75
TPM__ARSJ,73,26,0.73
TPM__P2RY8,73,23,0.73
METH__C1orf55,72,25,0.72
TPM__LMNA,71,24,0.71
TPM__PTPN7,71,23,0.71
TPM__ASB9,70,22,0.7
METH__AGAP2,69,22,0.69
TPM__KLF4,68,20,0.68
TPM__FTH1,66,19,0.66
TPM__ARHGAP29,66,19,0.66
TPM__PSMB8-AS1,66,19,0.66
TPM__MET,65,18,0.65
METH__PTPN7,65,19,0.65
TPM__ARHGAP19,65,20,0.65
TPM__FLI1,64,18,0.64
TPM__IL12RB1,63,19,0.63
TPM__SUMF1,63,18,0.63
TPM__AMOTL2,63,16,0.63
TPM__WASL,62,15,0.62
TPM__MYOF,60,17,0.6
TPM__ARHGEF28,59,15,0.59
METH__RAB27B,59,12,0.59
TPM__BCAR1,56,12,0.56
TPM__NIBAN2,56,12,0.56
TPM__CAP2,56,13,0.56
TPM__EPB41L1,54,16,0.54
TPM__ARID1A,54,12,0.54
TPM__ADGRG1,53,7,0.53
TPM__SEPTIN10,53,14,0.53
TPM__LASTR,53,11,0.53
TPM__CYFIP2,53,13,0.53
TPM__GPRC5A,52,13,0.52
TPM__THRB,52,11,0.52
TPM__SDC1,50,11,0.5
TPM__MLPH,50,14,0.5
TPM__TUFT1,49,8,0.49
TPM__CSK,49,8,0.49
TPM__EGFR,49,10,0.49
TPM__LINC01836,48,7,0.48
TPM__PLEKHN1,48,14,0.48
TPM__GPAT3,47,7,0.47
TPM__GPC1,46,8,0.46
TPM__ITGA3,46,10,0.46
TPM__DNAH5,45,10,0.45
TPM__SDC4,45,9,0.45
TPM__COSMOC,45,7,0.45
TPM__EREG,44,8,0.44
METH__LRRC8E,44,5,0.44
TPM__CAV2,44,7,0.44
TPM__MANBAL,43,7,0.43
METH__LAMB2,42,7,0.42
METH__DSTN,42,5,0.42
TPM__DSP,42,9,0.42
TPM__CARD8-AS1,42,6,0.42
TPM__GMFG,41,10,0.41
TPM__GIMAP2,40,5,0.4
TPM__INPP5D,40,8,0.4
TPM__RASSF5,40,9,0.4
METH__PKN1,39,7,0.39
TPM__CD38,39,6,0.39
