feature,Selection count,Pair count,CPSS Score
METH__TMEM183B,100,50,1.0
METH__SNORD101,100,50,1.0
METH__SNORD58A,100,50,1.0
MUT__BRAF,100,50,1.0
METH__C7orf40,100,50,1.0
METH__LOC100302652,100,50,1.0
MUT__NRAS,98,48,0.98
CNV__HNRNPA2B1,97,47,0.97
MUT__RB1,97,47,0.97
CNV__NT5C3A,96,46,0.96
CNV__HOXA11,96,46,0.96
CNV__HOXA9,94,44,0.94
METH__ARF6,94,44,0.94
METH__ARHGEF12,91,41,0.91
CNV__FOXA1,86,36,0.86
METH__MRPS12,84,35,0.84
CNV__SFRP4,83,34,0.83
CNV__RNF6,81,31,0.81
METH__LRRC1,80,31,0.8
CNV__NFKBIA,80,32,0.8
CNV__ARHGAP5,78,29,0.78
CNV__MET,77,31,0.77
CNV__FLT3,77,28,0.77
CNV__PLCB4,76,29,0.76
TPM__SCARNA1,75,27,0.75
CNV__CDK12,74,25,0.74
METH__ZNF227,73,24,0.73
CNV__SBDS,70,25,0.7
CNV__FH,70,22,0.7
CNV__HGF,69,22,0.69
CNV__TRRAP,67,22,0.67
CNV__NKX2-1,65,19,0.65
CNV__HERPUD1,64,22,0.64
TPM__SNORA14B,62,20,0.62
METH__YBX1,62,16,0.62
CNV__ZNF680,62,17,0.62
CNV__TNC,61,14,0.61
METH__TEX9,61,13,0.61
METH__CCDC34,61,19,0.61
CNV__TAL2,61,16,0.61
CNV__SET,60,14,0.6
CNV__RGS7,60,17,0.6
CNV__KLHL36,60,16,0.6
CNV__CDK6,59,19,0.59
CNV__BRAF,59,17,0.59
CNV__MECOM,59,16,0.59
MUT__APC,58,11,0.58
CNV__TRIM27,57,12,0.57
CNV__CREB3L2,56,13,0.56
CNV__CLTC,56,16,0.56
CNV__OLIG2,55,9,0.55
CNV__HLA-A,55,13,0.55
CNV__ABCB1,55,13,0.55
CNV__RAD51C,55,12,0.55
MUT__PTEN,54,9,0.54
CNV__MYD88,54,13,0.54
CNV__TRIM24,54,17,0.54
CNV__EZR,54,8,0.54
CNV__KLF4,53,14,0.53
TPM__RNU4-89P,53,13,0.53
CNV__HMGA1,53,11,0.53
CNV__HIP1,52,13,0.52
MUT__KRAS,52,8,0.52
CNV__LMNA,51,13,0.51
CNV__MLH1,50,11,0.5
CNV__RPL5,50,8,0.5
CNV__PPM1D,49,10,0.49
CNV__ELN,48,9,0.48
CNV__CCDC6,48,6,0.48
CNV__MYCL,48,8,0.48
CNV__TFG,48,8,0.48
METH__SNRNP70,47,8,0.47
CNV__TGFBR2,46,5,0.46
CNV__ABL2,46,11,0.46
CNV__GTF2I,46,9,0.46
TPM__SNORA2A,46,14,0.46
TPM__SNORA70,46,8,0.46
CNV__MCM3AP,46,8,0.46
METH__RPL35A,45,3,0.45
CNV__KIFC1,44,8,0.44
CNV__CCND3,44,10,0.44
TPM__RNA5SP216,43,6,0.43
METH__FBXL12,43,8,0.43
CNV__PBX1,42,7,0.42
METH__FKBP15,42,5,0.42
METH__LOC400657,42,6,0.42
CNV__MUC1,42,7,0.42
CNV__CTNNB1,41,5,0.41
METH__MRPS27,41,7,0.41
METH__LRRC41,41,4,0.41
CNV__MPL,40,7,0.4
CNV__PTPRC,40,8,0.4
CNV__ELF3,40,4,0.4
CNV__MLF1,40,4,0.4
CNV__CBFA2T3,39,4,0.39
CNV__TMPRSS2,38,6,0.38
CNV__CAMTA1,38,4,0.38
CNV__LCK,37,7,0.37
CNV__KAT6B,37,6,0.37
CNV__BCR,37,6,0.37
METH__RPS19BP1,36,4,0.36
METH__GLCCI1,35,3,0.35
CNV__JAK1,35,1,0.35
METH__PPP2R5E,35,4,0.35
CNV__PRDM1,35,4,0.35
CNV__MAPK1,35,8,0.35
CNV__DHX9,35,4,0.35
CNV__TPR,34,4,0.34
METH__MIR611,34,6,0.34
CNV__RAF1,34,3,0.34
METH__FBXO18,34,4,0.34
CNV__FGD5,32,1,0.32
METH__NAPB,32,4,0.32
CNV__ZBTB7B,32,4,0.32
CNV__PRF1,32,8,0.32
CNV__JUN,32,1,0.32
CNV__BRIP1,32,5,0.32
CNV__ARNT,32,5,0.32
CNV__MAF,32,7,0.32
CNV__SETDB1,31,6,0.31
CNV__CDC73,30,2,0.3
CNV__PBRM1,30,3,0.3
CNV__TAF15,29,5,0.29
CNV__XPC,29,2,0.29
CNV__SFPQ,29,3,0.29
METH__RPS6KB1,29,2,0.29
CNV__RAD51D,28,3,0.28
CNV__TPM3,28,5,0.28
MUT__CBLC,28,3,0.28
CNV__NPRL2,28,1,0.28
CNV__ERC1,28,3,0.28
CNV__NKTR,27,3,0.27
CNV__ATF7IP,27,2,0.27
CNV__PDE4DIP,27,3,0.27
CNV__CDKN2C,27,1,0.27
METH__SUDS3,26,1,0.26
MUT__EP300,26,1,0.26
METH__GOLGA1,26,5,0.26
CNV__MUTYH,26,1,0.26
METH__POP4,26,1,0.26
CNV__CACNA1D,26,2,0.26
METH__P4HA1,26,3,0.26
CNV__DDR2,26,4,0.26
CNV__EGR2,25,4,0.25
CNV__DGCR8,25,3,0.25
METH__ZNF546,25,3,0.25
CNV__SRGAP3,25,1,0.25
CNV__RBFOX2,25,4,0.25
METH__RAB35,24,2,0.24
CNV__NRAS,24,4,0.24
CNV__FUBP1,24,4,0.24
CNV__FAT4,24,2,0.24
CNV__GNAI2,24,2,0.24
CNV__AXIN1,23,0,0.23
MUT__PIK3CA,23,2,0.23
CNV__TET1,23,4,0.23
CNV__DAXX,23,1,0.23
CNV__RGL3,22,2,0.22
CNV__RUNX1,22,1,0.22
METH__TIAL1,22,2,0.22
CNV__FBLN1,22,1,0.22
CNV__BAP1,21,3,0.21
METH__PRMT7,21,0,0.21
CNV__BCLAF1,21,2,0.21
CNV__BCL9,21,5,0.21
CNV__FUS,20,0,0.2
CNV__SUSD2,20,3,0.2
CNV__FANCD2,19,0,0.19
CNV__CSF3R,19,1,0.19
CNV__KDM5A,19,3,0.19
CNV__CCND2,19,0,0.19
METH__TBPL1,18,0,0.18
CNV__PPARG,18,0,0.18
CNV__ETV6,18,2,0.18
METH__ESF1,18,0,0.18
CNV__PRRX1,17,2,0.17
METH__PTCD2,17,0,0.17
CNV__TENT5C,17,1,0.17
CNV__PRKCD,17,0,0.17
CNV__FCRL4,17,2,0.17
CNV__IL21R,17,1,0.17
CNV__NTRK1,16,1,0.16
MUT__CDKN2A,16,0,0.16
CNV__ZCRB1,16,1,0.16
CNV__CDKN1B,16,2,0.16
CNV__JAK3,16,1,0.16
MUT__ARID1A,16,1,0.16
METH__UGGT1,16,0,0.16
MUT__HLA-A,16,0,0.16
METH__STAG3L1,16,2,0.16
CNV__ARID2,16,1,0.16
CNV__NOTCH2,16,1,0.16
CNV__CALR,16,1,0.16
CNV__RBM15,15,2,0.15
CNV__PRR14,15,0,0.15
CNV__PRCC,15,0,0.15
CNV__ATF1,15,0,0.15
CNV__RHOA,15,0,0.15
METH__TDG,15,0,0.15
MUT__KMT2C,15,0,0.15
CNV__VHL,15,0,0.15
CNV__DUSP16,14,2,0.14
CNV__HOXC11,14,0,0.14
METH__TMEM38B,14,0,0.14
CNV__KMT2D,14,2,0.14
METH__C18orf10,14,0,0.14
CNV__MYOD1,14,0,0.14
CNV__CHD4,14,1,0.14
MUT__VHL,14,0,0.14
CNV__LYL1,14,1,0.14
CNV__HTRA2,13,0,0.13
CNV__RRAS2,13,1,0.13
CNV__HSPG2,13,0,0.13
METH__ARF1,13,1,0.13
METH__ING4,13,0,0.13
CNV__KEAP1,13,0,0.13
CNV__SMARCA4,12,0,0.12
CNV__BCL7A,12,1,0.12
CNV__TCF3,12,0,0.12
CNV__SMARCD1,12,1,0.12
CNV__NAB2,12,1,0.12
MUT__PBRM1,12,0,0.12
METH__SFRS2,12,0,0.12
METH__CEP70,12,0,0.12
CNV__NFE2L2,11,0,0.11
CNV__BRD4,11,0,0.11
METH__ARHGAP1,11,0,0.11
CNV__SF3B1,11,0,0.11
CNV__RRAGC,11,2,0.11
METH__FOXO3,11,0,0.11
METH__SF3B2,11,0,0.11
METH__MIR1237,11,0,0.11
METH__DHX8,11,0,0.11
CNV__ID3,11,2,0.11
METH__USMG5,10,2,0.1
METH__SLC25A32,10,0,0.1
METH__TCTEX1D2,10,0,0.1
CNV__PTPN6,10,0,0.1
CNV__FSTL3,10,1,0.1
CNV__NCOR2,10,1,0.1
CNV__DNM2,10,0,0.1
METH__C4orf14,10,0,0.1
CNV__DAZAP1,10,0,0.1
CNV__LRIG3,10,1,0.1
CNV__HOXC13,10,1,0.1
METH__KIF9,10,0,0.1
METH__HIST2H2BE,10,0,0.1
MUT__SDHA,10,0,0.1
CNV__PRKACA,10,0,0.1
METH__VPS45,9,0,0.09
METH__LETM2,9,0,0.09
MUT__NF1,9,0,0.09
CNV__ERBB3,9,0,0.09
CNV__PRKCB,9,0,0.09
CNV__GNA11,9,0,0.09
CNV__STIL,9,0,0.09
CNV__EPS15,9,1,0.09
CNV__CDK4,8,0,0.08
METH__PSMA5,8,0,0.08
METH__STX3,8,0,0.08
METH__BCLAF1,8,0,0.08
CNV__ATP1A1,8,0,0.08
METH__QPCTL,8,0,0.08
METH__RAP2B,8,0,0.08
METH__ALDH6A1,8,0,0.08
CNV__TAL1,8,0,0.08
CNV__BMPR2,7,0,0.07
CNV__STAT6,7,1,0.07
METH__NMNAT1,7,0,0.07
CNV__POLE,7,0,0.07
METH__CTCF,7,1,0.07
METH__KIAA0196,7,0,0.07
CNV__PALB2,7,0,0.07
METH__KLHL18,7,0,0.07
METH__GALNT4,7,0,0.07
METH__RBM14,7,1,0.07
CNV__USP44,7,0,0.07
METH__C9orf156,7,0,0.07
CNV__CLIP1,7,1,0.07
CNV__DNAJB1,7,0,0.07
CNV__DOT1L,7,0,0.07
CNV__DDIT3,6,0,0.06
CNV__ZNF384,6,0,0.06
CNV__SH3GL1,6,0,0.06
CNV__AFF1,6,0,0.06
METH__RANGAP1,6,0,0.06
MUT__NBEA,6,0,0.06
METH__USF2,6,0,0.06
CNV__HOXD13,6,0,0.06
MUT__BCOR,6,0,0.06
METH__CBL,6,0,0.06
METH__C4orf21,6,1,0.06
METH__AMD1,5,0,0.05
METH__RAD17,5,0,0.05
METH__MDN1,5,0,0.05
METH__SNORA76,5,0,0.05
METH__CDK13,5,0,0.05
METH__C1GALT1,5,0,0.05
CNV__MAP2K2,5,1,0.05
METH__UQCRC2,5,0,0.05
METH__RCOR1,5,0,0.05
METH__DDX55,5,0,0.05
CNV__GLI1,5,0,0.05
METH__DCAF13,5,0,0.05
MUT__FAT4,5,0,0.05
METH__WWOX,5,0,0.05
METH__MITD1,5,0,0.05
METH__RALY,4,0,0.04
METH__DMXL1,4,0,0.04
METH__WDR89,4,0,0.04
METH__DOCK4,4,0,0.04
