feature,selection_count,pair_count,cpss_score,r2,spearman,mutual_info,unimodal,diptest_pvalue,threshold_type,threshold_value,above_threshold
METH__TMEM183B,100,50,1.0,0.03999999910593033,0.16,0.2,True,1.0,unimodal,0.71,True
MUT__BRAF,100,50,1.0,0.009999999776482582,-0.28,0.25,True,1.0,unimodal,0.71,True
METH__LOC100302652,100,50,1.0,0.029999999329447746,-0.05,0.22,True,1.0,unimodal,0.71,True
METH__C7orf40,100,50,1.0,0.009999999776482582,0.25,0.24,True,1.0,unimodal,0.71,True
METH__SNORD101,100,50,1.0,0.05000000074505806,0.2,0.26,True,1.0,unimodal,0.71,True
METH__SNORD58A,100,50,1.0,0.05999999865889549,0.23,0.2,True,1.0,unimodal,0.71,True
MUT__NRAS,98,48,0.98,0.03999999910593033,-0.21,0.23,True,1.0,unimodal,0.71,True
MUT__RB1,97,47,0.97,0.03999999910593033,0.18,0.22,True,0.992,unimodal,0.71,True
CNV__HNRNPA2B1,97,47,0.97,0.029999999329447746,0.18,0.21,True,0.992,unimodal,0.71,True
CNV__NT5C3A,96,46,0.96,0.019999999552965164,0.18,0.22,True,0.832,unimodal,0.71,True
CNV__HOXA11,96,46,0.96,0.029999999329447746,0.18,0.22,True,0.832,unimodal,0.71,True
CNV__HOXA9,94,44,0.94,0.029999999329447746,0.18,0.22,True,0.181,unimodal,0.71,True
METH__ARF6,94,44,0.94,0.03999999910593033,0.21,0.21,True,0.181,unimodal,0.71,True
METH__ARHGEF12,91,41,0.91,0.019999999552965164,-0.07,0.2,False,0.002,worst_case,0.8976081812035159,True
