feature,selection_count,pair_count,cpss_score,r2,spearman,mutual_info,unimodal,diptest_pvalue
METH__ZNF697,100,50,1.0,0.10000000149011612,-0.16,0.22,True,1.0
METH__C9orf150,100,50,1.0,0.09000000357627869,-0.2,0.23,True,1.0
METH__KDELC1,100,50,1.0,0.029999999329447746,-0.12,0.19,True,1.0
METH__LRTOMT,99,49,0.99,0.03999999910593033,-0.12,0.2,True,1.0
METH__EFNA5,99,49,0.99,0.05000000074505806,-0.21,0.2,True,1.0
METH__KCNRG,98,48,0.98,0.019999999552965164,0.15,0.2,True,1.0
TPM__MT1A,97,47,0.97,0.009999999776482582,0.1,0.19,True,0.992
METH__ZMYM6,93,43,0.93,0.019999999552965164,-0.17,0.19,True,0.053
METH__CEBPG,93,43,0.93,0.009999999776482582,0.05,0.2,True,0.053
METH__ZNF74,93,43,0.93,0.03999999910593033,-0.1,0.21,True,0.053
METH__SKI,91,41,0.91,0.05000000074505806,-0.15,0.2,False,0.002
METH__C7orf70,89,39,0.89,0.05000000074505806,0.11,0.22,False,0.0
METH__ARMC10,86,36,0.86,0.029999999329447746,-0.13,0.22,False,0.0
TPM__CKS1BP2,86,37,0.86,0.0,-0.0,0.17,False,0.0
CNV__SOX2,86,36,0.86,0.009999999776482582,0.16,0.2,False,0.0
CNV__PAK2,85,37,0.85,0.029999999329447746,0.17,0.21,False,0.0
METH__WDR76,85,35,0.85,0.009999999776482582,0.12,0.24,False,0.0
TPM__NPEPPSP2,85,35,0.85,0.0,-0.06,0.18,False,0.0
CNV__PIK3CA,84,35,0.84,0.019999999552965164,0.16,0.22,False,0.0
CNV__CDC73,82,32,0.82,0.019999999552965164,0.15,0.2,False,0.0
METH__BSDC1,82,33,0.82,0.019999999552965164,-0.16,0.19,False,0.0
METH__TMEM44,80,31,0.8,0.019999999552965164,-0.14,0.19,False,0.0
METH__ELP4,80,30,0.8,0.03999999910593033,-0.15,0.2,False,0.0
CNV__LPP,79,29,0.79,0.019999999552965164,0.16,0.19,False,0.0
TPM__SNORD22,78,30,0.78,0.0,-0.04,0.18,False,0.0
CNV__DROSHA,77,30,0.77,0.009999999776482582,0.1,0.2,False,0.0
TPM__SNORA16B,75,25,0.75,0.019999999552965164,-0.11,0.21,False,0.0
TPM__RNA5SP187,74,25,0.74,0.009999999776482582,-0.07,0.18,False,0.0
MUT__KRAS,74,24,0.74,0.009999999776482582,0.11,0.2,False,0.0
METH__ST7L,73,23,0.73,0.019999999552965164,-0.09,0.21,False,0.0
METH__ARL1,72,24,0.72,0.029999999329447746,-0.11,0.21,False,0.0
CNV__TPR,70,21,0.7,0.019999999552965164,0.14,0.2,False,0.0
CNV__CDH10,67,21,0.67,0.019999999552965164,0.13,0.2,False,0.0
TPM__SNORA46,66,16,0.66,0.0,0.02,0.19,False,0.0
TPM__RNU4-52P,65,20,0.65,0.0,-0.06,0.19,False,0.0
CNV__ARHGEF12,65,19,0.65,0.019999999552965164,0.13,0.21,False,0.0
TPM__SNORA4,64,17,0.64,0.0,0.08,0.2,False,0.0
CNV__FLI1,63,16,0.63,0.019999999552965164,0.13,0.24,False,0.0
TPM__SNORA27,62,20,0.62,0.0,-0.06,0.21,False,0.0
CNV__MB21D2,62,14,0.62,0.029999999329447746,0.17,0.2,False,0.0
CNV__MYH9,62,14,0.62,0.0,-0.02,0.2,False,0.0
CNV__TERT,62,17,0.62,0.009999999776482582,0.12,0.23,False,0.0
CNV__NF2,60,16,0.6,0.0,-0.01,0.22,False,0.0
CNV__MRTFA,60,13,0.6,0.0,-0.02,0.21,False,0.0
CNV__RBFOX2,60,16,0.6,0.0,-0.01,0.2,False,0.0
METH__MED16,59,12,0.59,0.0,0.05,0.2,False,0.0
CNV__CHEK2,59,14,0.59,0.0,-0.0,0.22,False,0.0
CNV__ASXL2,59,16,0.59,0.009999999776482582,0.1,0.23,False,0.0
CNV__EWSR1,58,9,0.58,0.0,-0.01,0.22,False,0.002
CNV__ZBTB16,58,16,0.58,0.009999999776482582,0.09,0.2,False,0.0
CNV__NEFH,57,12,0.57,0.0,-0.01,0.21,False,0.0
CNV__PEG3,57,14,0.57,0.019999999552965164,0.13,0.19,False,0.0
CNV__MGA,56,14,0.56,0.0,0.03,0.2,False,0.0
CNV__FBLN1,56,12,0.56,0.0,-0.01,0.19,False,0.0
CNV__PDGFB,55,10,0.55,0.0,-0.02,0.2,False,0.0
CNV__ZNRF3,55,11,0.55,0.0,-0.01,0.22,False,0.0
METH__SF1,55,13,0.55,0.009999999776482582,0.01,0.19,False,0.0
CNV__BCL9L,55,12,0.55,0.009999999776482582,0.12,0.21,False,0.0
CNV__SDHA,54,11,0.54,0.009999999776482582,0.12,0.23,False,0.0
METH__ENTPD6,53,11,0.53,0.009999999776482582,0.02,0.21,False,0.0
CNV__PLCB4,53,14,0.53,0.009999999776482582,0.09,0.21,False,0.0
CNV__KRAS,53,11,0.53,0.009999999776482582,0.09,0.2,False,0.0
METH__RPS6KA4,52,10,0.52,0.0,0.05,0.2,False,0.0
METH__PMS2CL,52,13,0.52,0.0,0.01,0.18,False,0.0
CNV__ZNF680,52,13,0.52,0.009999999776482582,0.1,0.19,False,0.0
TPM__SNORA2B,51,12,0.51,0.0,-0.0,0.19,False,0.0
CNV__APOBEC3B,50,10,0.5,0.0,-0.03,0.22,False,0.0
CNV__MN1,50,6,0.5,0.0,0.0,0.23,True,0.181
TPM__SNORA80A,50,11,0.5,0.0,-0.02,0.19,False,0.0
METH__KIF23,50,10,0.5,0.029999999329447746,-0.12,0.2,False,0.0
CNV__IL7R,49,10,0.49,0.009999999776482582,0.12,0.2,False,0.0
CNV__ABL2,49,8,0.49,0.009999999776482582,0.13,0.19,False,0.013
METH__NUP35,49,12,0.49,0.0,-0.02,0.2,False,0.0
CNV__KMT2A,49,11,0.49,0.009999999776482582,0.11,0.21,False,0.0
METH__FANCD2,48,6,0.48,0.029999999329447746,-0.13,0.21,True,0.181
CNV__CBL,48,7,0.48,0.019999999552965164,0.12,0.2,True,0.053
CNV__DHX9,48,8,0.48,0.009999999776482582,0.13,0.2,False,0.013
CNV__BIRC6,47,9,0.47,0.009999999776482582,0.08,0.22,False,0.002
CNV__PATZ1,47,7,0.47,0.0,-0.0,0.21,True,0.053
CNV__KCNJ5,46,9,0.46,0.019999999552965164,0.13,0.24,False,0.002
CNV__SRSF2,46,6,0.46,0.019999999552965164,0.14,0.2,True,0.181
CNV__MAML2,45,8,0.45,0.019999999552965164,0.11,0.21,False,0.013
CNV__CBLB,42,4,0.42,0.019999999552965164,0.14,0.19,True,0.832
TPM__RNA5S9,42,9,0.42,0.0,-0.04,0.19,False,0.002
CNV__SIRPA,42,9,0.42,0.009999999776482582,0.09,0.22,False,0.002
CNV__DDX6,42,7,0.42,0.009999999776482582,0.11,0.21,True,0.053
CNV__RNF213,42,9,0.42,0.019999999552965164,0.13,0.18,False,0.002
CNV__ZNF208,41,6,0.41,0.0,0.04,0.23,True,0.181
CNV__SBDS,41,7,0.41,0.009999999776482582,0.1,0.2,True,0.053
METH__ITFG3,41,9,0.41,0.0,-0.04,0.19,False,0.002
CNV__ING1,41,4,0.41,0.0,0.05,0.22,True,0.832
METH__NOL11,41,6,0.41,0.0,0.0,0.2,True,0.181
CNV__AKT1,41,3,0.41,0.009999999776482582,0.11,0.2,True,0.992
METH__POM121,40,4,0.4,0.0,0.02,0.21,True,0.832
METH__DUSP16,40,6,0.4,0.019999999552965164,-0.09,0.2,True,0.181
TPM__SNORA26,40,9,0.4,0.009999999776482582,-0.08,0.19,False,0.002
METH__RHOT1,39,4,0.39,0.0,-0.08,0.22,True,0.832
CNV__SETD2,39,4,0.39,0.0,0.0,0.2,True,0.832
CNV__U2AF2,39,4,0.39,0.019999999552965164,0.14,0.2,True,0.832
MUT__KMT2C,39,3,0.39,0.0,0.01,0.2,True,0.992
CNV__PAFAH1B2,39,3,0.39,0.009999999776482582,0.1,0.2,True,0.992
CNV__SMARCB1,39,1,0.39,0.0,0.03,0.2,True,1.0
METH__TUBB2C,39,6,0.39,0.0,-0.07,0.19,True,0.181
CNV__H3-3B,38,8,0.38,0.019999999552965164,0.12,0.19,False,0.013
CNV__NIPBL,38,7,0.38,0.009999999776482582,0.11,0.19,True,0.053
CNV__NF1,37,7,0.37,0.009999999776482582,0.09,0.2,True,0.053
CNV__SDHD,37,2,0.37,0.009999999776482582,0.07,0.21,True,1.0
CNV__CCND1,36,9,0.36,0.0,0.11,0.2,False,0.002
CNV__BIRC3,36,4,0.36,0.0,0.1,0.2,True,0.832
CNV__MAPK1,36,2,0.36,0.0,0.06,0.21,True,1.0
METH__PTCD2,36,3,0.36,0.009999999776482582,0.04,0.2,True,0.992
CNV__PICALM,36,9,0.36,0.009999999776482582,0.1,0.2,False,0.002
CNV__ATM,35,3,0.35,0.009999999776482582,0.07,0.21,True,0.992
METH__TM2D2,35,3,0.35,0.009999999776482582,-0.06,0.2,True,0.992
