feature,selection_count,pair_count,cpss_score,r2,spearman,mutual_info,unimodal,diptest_pvalue,threshold_type,threshold_value,above_threshold
TPM__SH3BP4,100,50,1.0,0.23999999463558197,0.43,0.21,True,1.0,unimodal,0.71,True
METH__EIF3K,100,50,1.0,0.23999999463558197,0.42,0.25,True,1.0,unimodal,0.71,True
TPM__MET,100,50,1.0,0.23999999463558197,0.46,0.23,True,1.0,unimodal,0.71,True
TPM__IRAG2,100,50,1.0,0.20999999344348907,-0.34,0.21,True,1.0,unimodal,0.71,True
METH__LAMB2,100,50,1.0,0.1899999976158142,-0.19,0.22,True,1.0,unimodal,0.71,True
TPM__TNFRSF12A,100,50,1.0,0.23999999463558197,0.46,0.22,True,1.0,unimodal,0.71,True
TPM__PTPN7,100,50,1.0,0.25,-0.33,0.24,True,1.0,unimodal,0.71,True
TPM__RCSD1,100,50,1.0,0.2199999988079071,-0.31,0.21,True,1.0,unimodal,0.71,True
TPM__ABLIM3,100,50,1.0,0.1599999964237213,0.45,0.21,True,1.0,unimodal,0.71,True
TPM__KRT15,100,50,1.0,0.07999999821186066,0.39,0.25,True,1.0,unimodal,0.71,True
TPM__HRCT1,100,50,1.0,0.11999999731779099,0.47,0.21,True,1.0,unimodal,0.71,True
METH__ANKRD44,100,50,1.0,0.20999999344348907,0.41,0.21,True,1.0,unimodal,0.71,True
TPM__KRT80,100,50,1.0,0.1599999964237213,0.42,0.2,True,1.0,unimodal,0.71,True
TPM__SLC35D2,100,50,1.0,0.23000000417232513,0.43,0.21,True,1.0,unimodal,0.71,True
METH__TJP1,100,50,1.0,0.25999999046325684,-0.44,0.25,True,1.0,unimodal,0.71,True
TPM__GPR39,100,50,1.0,0.20000000298023224,0.46,0.23,True,1.0,unimodal,0.71,True
TPM__PLK2,100,50,1.0,0.2199999988079071,0.45,0.21,True,1.0,unimodal,0.71,True
METH__CCM2,100,50,1.0,0.25999999046325684,0.44,0.25,True,1.0,unimodal,0.71,True
TPM__PRSS23,100,50,1.0,0.23999999463558197,0.49,0.21,True,1.0,unimodal,0.71,True
METH__MAP4K1,100,50,1.0,0.23999999463558197,0.42,0.25,True,1.0,unimodal,0.71,True
TPM__NCKAP1L,100,50,1.0,0.25,-0.39,0.22,True,1.0,unimodal,0.71,True
TPM__RASAL2-AS1,100,50,1.0,0.14000000059604645,0.39,0.21,True,1.0,unimodal,0.71,True
TPM__BCAR1,100,50,1.0,0.25,0.46,0.22,True,1.0,unimodal,0.71,True
TPM__CTTN,100,50,1.0,0.2199999988079071,0.43,0.21,True,1.0,unimodal,0.71,True
TPM__PDE1B,100,50,1.0,0.2199999988079071,-0.38,0.28,True,1.0,unimodal,0.71,True
