feature,selection_count,pair_count,cpss_score,r2,spearman,mutual_info,unimodal,diptest_pvalue
TPM__LYZ,94,44,0.94,0.10999999940395355,-0.22,0.07,True,0.181
TPM__DUSP6,93,43,0.93,0.1599999964237213,-0.42,0.11,True,0.053
TPM__LINC00920,87,37,0.87,0.12999999523162842,-0.36,0.15,False,0.0
TPM__CATSPER1,86,36,0.86,0.10000000149011612,-0.37,0.08,False,0.0
TPM__VAMP2,86,36,0.86,0.09000000357627869,0.3,0.09,False,0.0
TPM__SPRY4-AS1,82,32,0.82,0.09000000357627869,-0.31,0.06,False,0.0
METH__C19orf18,82,32,0.82,0.11999999731779099,0.29,0.07,False,0.0
TPM__MTMR12,82,32,0.82,0.10000000149011612,0.33,0.06,False,0.0
TPM__SPRY2,80,30,0.8,0.14000000059604645,-0.37,0.08,False,0.0
TPM__ETV4,79,29,0.79,0.18000000715255737,-0.44,0.12,False,0.0
TPM__BRWD1-AS2,79,29,0.79,0.07999999821186066,0.27,0.05,False,0.0
TPM__SAMD1,78,28,0.78,0.07999999821186066,0.31,0.05,False,0.0
METH__DHX16,78,28,0.78,0.07999999821186066,0.28,0.05,False,0.0
TPM__CRYZL2P,78,28,0.78,0.09000000357627869,-0.31,0.06,False,0.0
TPM__NXPH4,77,27,0.77,0.09000000357627869,0.29,0.04,False,0.0
TPM__FCGR2A,77,27,0.77,0.10999999940395355,-0.2,0.07,False,0.0
TPM__LPCAT2,76,26,0.76,0.10000000149011612,-0.32,0.06,False,0.0
METH__FKBP2,72,23,0.72,0.09000000357627869,0.3,0.1,False,0.0
TPM__CAPN3,71,21,0.71,0.11999999731779099,-0.22,0.06,False,0.0
TPM__CACFD1,71,21,0.71,0.11999999731779099,0.31,0.07,False,0.0
TPM__POU4F1,70,20,0.7,0.09000000357627869,0.23,0.08,False,0.0
TPM__ABCA3,70,20,0.7,0.09000000357627869,0.29,0.03,False,0.0
TPM__IL6R,69,20,0.69,0.09000000357627869,-0.28,0.04,False,0.0
METH__WASF2,69,19,0.69,0.07999999821186066,0.31,0.06,False,0.0
TPM__ZNF607,69,19,0.69,0.09000000357627869,0.33,0.04,False,0.0
TPM__MCUB,66,17,0.66,0.09000000357627869,0.31,0.14,False,0.0
TPM__ELFN1-AS1,66,17,0.66,0.09000000357627869,-0.29,0.1,False,0.0
TPM__PNMA2,66,18,0.66,0.07999999821186066,0.23,0.09,False,0.0
TPM__TSR2,65,16,0.65,0.07999999821186066,0.3,0.04,False,0.0
METH__FAM71C,64,14,0.64,0.07999999821186066,0.29,0.04,False,0.0
TPM__UBTD2,62,13,0.62,0.07999999821186066,0.28,0.06,False,0.0
METH__MTMR10,61,13,0.61,0.07999999821186066,0.27,0.04,False,0.0
TPM__MTA3,60,10,0.6,0.07999999821186066,0.27,0.09,False,0.0
TPM__ETV5,59,12,0.59,0.11999999731779099,-0.33,0.08,False,0.0
TPM__TLCD3B,57,7,0.57,0.09000000357627869,0.34,0.04,True,0.053
TPM__ABHD14A-ACY1,56,8,0.56,0.07999999821186066,-0.26,0.06,False,0.013
TPM__CCP110,56,7,0.56,0.10000000149011612,0.32,0.1,True,0.053
TPM__PLEKHG4B,56,9,0.56,0.11999999731779099,0.35,0.09,False,0.002
TPM__UCP2,56,9,0.56,0.10000000149011612,0.35,0.08,False,0.002
TPM__APOBEC3C,56,10,0.56,0.07999999821186066,-0.26,0.06,False,0.0
TPM__SLCO4A1-AS1,55,9,0.55,0.09000000357627869,-0.24,0.03,False,0.002
TPM__PPP2R5D,55,10,0.55,0.07999999821186066,0.3,0.11,False,0.0
TPM__PLA2G4A,54,6,0.54,0.10999999940395355,-0.35,0.1,True,0.181
TPM__TAF9B,54,6,0.54,0.10999999940395355,0.34,0.08,True,0.181
TPM__ARAP3,54,5,0.54,0.09000000357627869,-0.3,0.08,True,0.458
METH__TM4SF19,54,8,0.54,0.09000000357627869,0.33,0.08,False,0.013
TPM__RIN3,54,6,0.54,0.07999999821186066,-0.28,0.04,True,0.181
TPM__CENPI,53,9,0.53,0.07999999821186066,0.3,0.07,False,0.002
METH__NCRNA00188,53,5,0.53,0.07999999821186066,0.27,0.08,True,0.458
TPM__GSTO1,52,8,0.52,0.10000000149011612,-0.33,0.11,False,0.013
METH__RUNDC2C,52,7,0.52,0.07999999821186066,0.31,0.08,True,0.053
TPM__HMGB3,49,3,0.49,0.07999999821186066,0.25,0.1,True,0.992
TPM__EML1,49,4,0.49,0.07999999821186066,0.28,0.03,True,0.832
TPM__HCFC2,48,4,0.48,0.09000000357627869,0.3,0.06,True,0.832
TPM__PARVB,48,1,0.48,0.09000000357627869,-0.29,0.05,True,1.0
TPM__MAP3K4-AS1,48,2,0.48,0.09000000357627869,0.32,0.11,True,1.0
TPM__ZMYND10,46,3,0.46,0.07999999821186066,0.26,0.02,True,0.992
