feature,selection_count,pair_count,cpss_score,r2,spearman,mutual_info,unimodal,diptest_pvalue,threshold_type,threshold_value,above_threshold
TPM__CD53,100,50,1.0,0.14000000059604645,-0.29,0.21,True,1.0,unimodal,0.71,True
METH__ZMYND11,100,50,1.0,0.17000000178813934,-0.43,0.21,True,1.0,unimodal,0.71,True
TPM__TM4SF1-AS1,100,50,1.0,0.07000000029802322,0.4,0.19,True,1.0,unimodal,0.71,True
METH__CCM2,100,50,1.0,0.1599999964237213,0.42,0.24,True,1.0,unimodal,0.71,True
METH__APOLD1,100,50,1.0,0.07999999821186066,0.29,0.2,True,1.0,unimodal,0.71,True
TPM__LINC01186,100,50,1.0,0.14000000059604645,0.44,0.23,True,1.0,unimodal,0.71,True
TPM__WAS,100,50,1.0,0.15000000596046448,-0.31,0.2,True,1.0,unimodal,0.71,True
METH__GPR39,100,50,1.0,0.15000000596046448,-0.36,0.2,True,1.0,unimodal,0.71,True
TPM__LRRC49,100,50,1.0,0.09000000357627869,0.28,0.2,True,1.0,unimodal,0.71,True
MUT__BRAF,100,50,1.0,0.009999999776482582,-0.27,0.23,True,1.0,unimodal,0.71,True
TPM__SFTA1P,100,50,1.0,0.10000000149011612,0.37,0.21,True,1.0,unimodal,0.71,True
TPM__F3,100,50,1.0,0.1599999964237213,0.44,0.2,True,1.0,unimodal,0.71,True
METH__ANGPTL7,100,50,1.0,0.10999999940395355,0.11,0.2,True,1.0,unimodal,0.71,True
TPM__HRCT1,100,50,1.0,0.10999999940395355,0.47,0.21,True,1.0,unimodal,0.71,True
TPM__NIBAN2,100,50,1.0,0.15000000596046448,0.44,0.21,True,1.0,unimodal,0.71,True
TPM__SH3TC2-DT,100,50,1.0,0.0,0.26,0.2,True,1.0,unimodal,0.71,True
TPM__CAPN2,100,50,1.0,0.1599999964237213,0.45,0.2,True,1.0,unimodal,0.71,True
TPM__PIK3CG,100,50,1.0,0.14000000059604645,-0.24,0.24,True,1.0,unimodal,0.71,True
TPM__GMFG,100,50,1.0,0.15000000596046448,-0.29,0.19,True,1.0,unimodal,0.71,True
TPM__EDN1,100,50,1.0,0.14000000059604645,0.45,0.2,True,1.0,unimodal,0.71,True
TPM__SHB,100,50,1.0,0.15000000596046448,0.39,0.2,True,1.0,unimodal,0.71,True
TPM__MIR142HG,100,50,1.0,0.15000000596046448,-0.26,0.2,True,1.0,unimodal,0.71,True
METH__MRPS18B,100,50,1.0,0.07000000029802322,0.23,0.22,True,1.0,unimodal,0.71,True
METH__TMEM51,100,50,1.0,0.09000000357627869,-0.13,0.25,True,1.0,unimodal,0.71,True
TPM__PPP1R16B,99,49,0.99,0.10000000149011612,-0.29,0.2,True,1.0,unimodal,0.71,True
METH__ZNF697,99,49,0.99,0.10000000149011612,-0.19,0.23,True,1.0,unimodal,0.71,True
TPM__NCKAP1L,99,49,0.99,0.12999999523162842,-0.28,0.21,True,1.0,unimodal,0.71,True
TPM__SEPTIN10,99,49,0.99,0.12999999523162842,0.34,0.21,True,1.0,unimodal,0.71,True
METH__U2AF1L4,99,49,0.99,0.14000000059604645,0.35,0.2,True,1.0,unimodal,0.71,True
METH__EXOC6B,99,49,0.99,0.09000000357627869,-0.17,0.22,True,1.0,unimodal,0.71,True
METH__SDHD,98,48,0.98,0.0,0.1,0.21,True,1.0,unimodal,0.71,True
TPM__CD38,97,47,0.97,0.10999999940395355,-0.2,0.2,True,0.992,unimodal,0.71,True
METH__LCA5,96,46,0.96,0.10000000149011612,-0.2,0.23,True,0.832,unimodal,0.71,True
METH__ARSJ,96,46,0.96,0.10999999940395355,-0.28,0.2,True,0.832,unimodal,0.71,True
METH__MBLAC2,96,46,0.96,0.019999999552965164,0.11,0.2,True,0.832,unimodal,0.71,True
METH__IMPAD1,95,45,0.95,0.10000000149011612,-0.23,0.19,True,0.458,unimodal,0.71,True
METH__CDKN2D,95,45,0.95,0.14000000059604645,0.37,0.2,True,0.458,unimodal,0.71,True
TPM__PAX5,94,44,0.94,0.07000000029802322,-0.21,0.2,True,0.181,unimodal,0.71,True
METH__ACTN1,94,44,0.94,0.11999999731779099,-0.26,0.24,True,0.181,unimodal,0.71,True
METH__TEAD1,94,44,0.94,0.10000000149011612,-0.25,0.21,True,0.181,unimodal,0.71,True
METH__PLS1,93,43,0.93,0.029999999329447746,-0.24,0.21,True,0.053,unimodal,0.71,True
METH__INTU,90,40,0.9,0.10999999940395355,-0.22,0.21,False,0.0,worst_case,0.8958762886597937,True
