feature,Selection count,Pair count,CPSS Score
TPM__RHBDF1,100,50,1.0
TPM__KRT18,100,50,1.0
TPM__C19orf33,100,50,1.0
TPM__KRT8,100,50,1.0
TPM__ITGA3,97,47,0.97
TPM__GPRC5A,97,47,0.97
TPM__TNFRSF12A,97,47,0.97
TPM__CARD10,96,46,0.96
TPM__IL13RA1,96,46,0.96
TPM__CEP170B,95,45,0.95
TPM__TSPAN1,93,43,0.93
TPM__PCDH1,93,43,0.93
TPM__TPM1,91,41,0.91
TPM__CTTN,89,39,0.89
TPM__CDCP1,86,36,0.86
TPM__SH3D19,86,36,0.86
TPM__KRT8P3,85,35,0.85
TPM__PDE1B,84,35,0.84
TPM__PERP,84,34,0.84
TPM__KRT15,84,35,0.84
TPM__TJP1,83,34,0.83
TPM__SLC35D2,83,34,0.83
TPM__MYOF,83,33,0.83
TPM__NCKAP1L,83,34,0.83
TPM__PPIC,81,32,0.81
TPM__LSR,81,32,0.81
TPM__NIBAN2,79,31,0.79
TPM__ERBB3,78,28,0.78
TPM__SDSL,77,28,0.77
TPM__FKBP9,76,27,0.76
TPM__KRT8P45,75,27,0.75
TPM__AGAP2,74,25,0.74
TPM__KLF4,73,24,0.73
TPM__SCNN1A,72,25,0.72
METH__DSTN,72,24,0.72
TPM__SGMS2,72,22,0.72
TPM__SDC4,71,22,0.71
TPM__ZNF860,69,19,0.69
TPM__PRSS23,68,22,0.68
TPM__NQO1,68,19,0.68
TPM__IFFO1,67,22,0.67
TPM__PPP1R26-AS1,67,18,0.67
TPM__SSH3,66,20,0.66
METH__MARVELD2,64,15,0.64
TPM__NHSL3,64,19,0.64
TPM__DAG1,64,19,0.64
TPM__BOK,63,17,0.63
TPM__TM4SF1-AS1,63,16,0.63
TPM__S100A10,60,14,0.6
TPM__FAM114A1,59,14,0.59
TPM__FLI1,58,14,0.58
METH__BCL9L,58,14,0.58
TPM__MIR142HG,57,11,0.57
TPM__CD151,57,11,0.57
TPM__PLK2,57,13,0.57
TPM__S100A16,57,13,0.57
TPM__IKZF1,56,13,0.56
TPM__ERBB2,55,13,0.55
METH__MTMR11,55,12,0.55
TPM__PLPP2,54,9,0.54
TPM__LINC01843,54,9,0.54
TPM__LMNA,53,13,0.53
METH__CDC14B,53,10,0.53
TPM__TM4SF1,53,15,0.53
TPM__DSP,52,9,0.52
TPM__S100A13,52,11,0.52
TPM__PDCD6IP-DT,50,10,0.5
TPM__DOCK2,50,8,0.5
TPM__LGALS3,48,10,0.48
TPM__LINC00857,48,7,0.48
TPM__LINC00511,47,7,0.47
TPM__PLEKHN1,47,9,0.47
TPM__HDAC11,47,9,0.47
TPM__CDC42EP1,45,8,0.45
TPM__AMOTL2,43,10,0.43
TPM__SEPTIN6,43,5,0.43
TPM__FXYD3,42,5,0.42
TPM__PXK,42,10,0.42
TPM__PKP3,41,7,0.41
TPM__PXN,40,3,0.4
TPM__RHPN2,39,2,0.39
TPM__SH3TC2-DT,39,3,0.39
TPM__ABHD11,38,5,0.38
TPM__TACC2,38,2,0.38
TPM__TMEM51,37,6,0.37
TPM__ARHGEF28,37,3,0.37
TPM__BAIAP2L1,36,2,0.36
METH__PRIC285,36,4,0.36
METH__PTPN14,35,4,0.35
TPM__ARSJ,35,1,0.35
TPM__RCSD1,35,4,0.35
TPM__MYO5B,34,2,0.34
TPM__STARD10,34,4,0.34
TPM__MANBAL,33,5,0.33
TPM__FUCA2,33,3,0.33
TPM__EPHA2,32,4,0.32
TPM__CORO1A,32,4,0.32
METH__LAMB2,31,2,0.31
TPM__MFNG,31,3,0.31
TPM__F2RL1,30,3,0.3
METH__CCDC12,29,3,0.29
METH__MIR142,29,4,0.29
TPM__ATP1B1,29,2,0.29
TPM__ARPIN,28,3,0.28
TPM__ARHGAP9,28,1,0.28
METH__HLCS,28,1,0.28
TPM__GNG12,28,1,0.28
TPM__ITPRIPL1,27,0,0.27
METH__SLC44A2,27,0,0.27
TPM__ABCC3,26,1,0.26
TPM__LINC01836,26,1,0.26
METH__VTRNA1-2,25,3,0.25
TPM__TRAF3IP3,25,1,0.25
METH__TJP1,25,2,0.25
TPM__ELOVL7,23,0,0.23
METH__TLCD2,22,0,0.22
