feature,selection_count,pair_count,cpss_score,r2,spearman,mutual_info,unimodal,diptest_pvalue,threshold_type,threshold_value,above_threshold
TPM__KRT18,100,50,1.0,0.20000000298023224,0.45,0.21,True,1.0,unimodal,0.71,True
TPM__AMOTL2,100,50,1.0,0.2800000011920929,0.52,0.2,True,1.0,unimodal,0.71,True
TPM__PPIC,100,50,1.0,0.25,0.49,0.23,True,1.0,unimodal,0.71,True
TPM__TM4SF1-AS1,100,50,1.0,0.07000000029802322,0.4,0.2,True,1.0,unimodal,0.71,True
TPM__BCAM,100,50,1.0,0.1899999976158142,0.45,0.2,True,1.0,unimodal,0.71,True
METH__C4orf12,100,50,1.0,0.10000000149011612,-0.24,0.23,True,1.0,unimodal,0.71,True
TPM__CD151,100,50,1.0,0.18000000715255737,0.48,0.23,True,1.0,unimodal,0.71,True
TPM__MYOF,100,50,1.0,0.23000000417232513,0.48,0.2,True,1.0,unimodal,0.71,True
METH__DSTN,100,50,1.0,0.1599999964237213,-0.33,0.23,True,1.0,unimodal,0.71,True
TPM__NCKAP1L,100,50,1.0,0.20999999344348907,-0.33,0.2,True,1.0,unimodal,0.71,True
TPM__PPP1R14B-AS1,100,50,1.0,0.1899999976158142,0.47,0.2,True,1.0,unimodal,0.71,True
TPM__IL13RA1,100,50,1.0,0.17000000178813934,0.4,0.2,True,1.0,unimodal,0.71,True
TPM__LINC00511,100,50,1.0,0.10000000149011612,0.35,0.2,True,1.0,unimodal,0.71,True
METH__MIR574,100,50,1.0,0.12999999523162842,-0.37,0.23,True,1.0,unimodal,0.71,True
TPM__THBS1-IT1,100,50,1.0,0.07000000029802322,0.41,0.2,True,1.0,unimodal,0.71,True
TPM__LINC01836,100,50,1.0,0.14000000059604645,0.44,0.21,True,1.0,unimodal,0.71,True
TPM__LAMA5,100,50,1.0,0.17000000178813934,0.42,0.21,True,1.0,unimodal,0.71,True
TPM__SDC4,100,50,1.0,0.25,0.52,0.21,True,1.0,unimodal,0.71,True
METH__COG5,100,50,1.0,0.10000000149011612,-0.34,0.21,True,1.0,unimodal,0.71,True
TPM__PIK3CG,100,50,1.0,0.14000000059604645,-0.21,0.21,True,1.0,unimodal,0.71,True
METH__TMEM149,100,50,1.0,0.14000000059604645,0.33,0.2,True,1.0,unimodal,0.71,True
METH__THBS1,100,50,1.0,0.23000000417232513,-0.48,0.21,True,1.0,unimodal,0.71,True
TPM__PRKCB,100,50,1.0,0.12999999523162842,-0.27,0.22,True,1.0,unimodal,0.71,True
TPM__GIPC1,100,50,1.0,0.17000000178813934,0.48,0.21,True,1.0,unimodal,0.71,True
TPM__GPC1,100,50,1.0,0.17000000178813934,0.4,0.2,True,1.0,unimodal,0.71,True
TPM__TNFRSF12A,100,50,1.0,0.23999999463558197,0.5,0.21,True,1.0,unimodal,0.71,True
TPM__PARVA,100,50,1.0,0.17000000178813934,0.39,0.2,True,1.0,unimodal,0.71,True
METH__ARHGAP5,99,49,0.99,0.05999999865889549,-0.26,0.21,True,1.0,unimodal,0.71,True
METH__PTPN14,99,49,0.99,0.12999999523162842,-0.37,0.25,True,1.0,unimodal,0.71,True
METH__CD276,99,49,0.99,0.10000000149011612,-0.19,0.22,True,1.0,unimodal,0.71,True
METH__TASP1,98,48,0.98,0.10999999940395355,-0.3,0.2,True,1.0,unimodal,0.71,True
METH__COTL1,97,47,0.97,0.09000000357627869,-0.32,0.2,True,0.992,unimodal,0.71,True
METH__KLF4,96,46,0.96,0.09000000357627869,-0.23,0.23,True,0.832,unimodal,0.71,True
METH__TMEM49,96,46,0.96,0.10999999940395355,-0.31,0.24,True,0.832,unimodal,0.71,True
METH__CHCHD4,95,45,0.95,0.029999999329447746,0.2,0.2,True,0.458,unimodal,0.71,True
METH__PPIC,95,45,0.95,0.15000000596046448,-0.38,0.23,True,0.458,unimodal,0.71,True
METH__CYFIP1,95,45,0.95,0.029999999329447746,-0.21,0.22,True,0.458,unimodal,0.71,True
METH__LRRC49,95,45,0.95,0.11999999731779099,-0.21,0.21,True,0.458,unimodal,0.71,True
METH__ARHGEF1,94,44,0.94,0.009999999776482582,0.3,0.22,True,0.181,unimodal,0.71,True
TPM__MIR200CHG,93,43,0.93,0.029999999329447746,0.15,0.22,True,0.053,unimodal,0.71,True
TPM__SLC7A5P1,92,42,0.92,0.03999999910593033,-0.21,0.21,False,0.013,worst_case,0.89680330634278,True
METH__HSPC159,92,43,0.92,0.10999999940395355,-0.33,0.21,True,0.053,unimodal,0.71,True
METH__ITGB8,92,42,0.92,0.11999999731779099,-0.33,0.22,False,0.013,worst_case,0.89680330634278,True
METH__KIAA1715,92,42,0.92,0.07999999821186066,-0.2,0.22,False,0.013,worst_case,0.89680330634278,True
METH__ITPKC,90,40,0.9,0.10999999940395355,-0.3,0.19,False,0.0,worst_case,0.89680330634278,True
METH__C9orf150,90,40,0.9,0.14000000059604645,-0.3,0.21,False,0.0,worst_case,0.89680330634278,True
