feature,selection_count,pair_count,cpss_score,r2,spearman,mutual_info,unimodal,diptest_pvalue,threshold_type,threshold_value,above_threshold
TPM__PRKCB,100,50,1.0,0.11999999731779099,-0.26,0.2,True,1.0,unimodal,0.71,True
METH__BZRAP1,100,50,1.0,0.23000000417232513,0.37,0.2,True,1.0,unimodal,0.71,True
METH__PSMB8,100,50,1.0,0.07999999821186066,0.29,0.23,True,1.0,unimodal,0.71,True
TPM__TRAF3IP3,100,50,1.0,0.25,-0.38,0.23,True,1.0,unimodal,0.71,True
TPM__ARHGAP15,100,50,1.0,0.23000000417232513,-0.33,0.23,True,1.0,unimodal,0.71,True
METH__TMEM51,100,50,1.0,0.14000000059604645,-0.28,0.24,True,1.0,unimodal,0.71,True
METH__PRIC285,100,50,1.0,0.2199999988079071,0.35,0.22,True,1.0,unimodal,0.71,True
TPM__PIK3CG,100,50,1.0,0.2199999988079071,-0.3,0.2,True,1.0,unimodal,0.71,True
TPM__TRG-AS1,100,50,1.0,0.20000000298023224,-0.34,0.24,True,1.0,unimodal,0.71,True
TPM__LYL1,100,50,1.0,0.1599999964237213,-0.24,0.2,True,1.0,unimodal,0.71,True
METH__LAMB2,100,50,1.0,0.20999999344348907,-0.26,0.23,True,1.0,unimodal,0.71,True
TPM__ATP1B1,100,50,1.0,0.18000000715255737,0.37,0.22,True,1.0,unimodal,0.71,True
TPM__FAM114A1,100,50,1.0,0.15000000596046448,0.33,0.2,True,1.0,unimodal,0.71,True
TPM__PSTPIP1,100,50,1.0,0.18000000715255737,-0.31,0.21,True,1.0,unimodal,0.71,True
TPM__PTPN7,100,50,1.0,0.25,-0.31,0.22,True,1.0,unimodal,0.71,True
TPM__ARHGAP9,100,50,1.0,0.2199999988079071,-0.34,0.2,True,1.0,unimodal,0.71,True
TPM__MFNG,100,50,1.0,0.18000000715255737,-0.29,0.23,True,1.0,unimodal,0.71,True
METH__CCM2,100,50,1.0,0.25999999046325684,0.39,0.25,True,1.0,unimodal,0.71,True
TPM__GMFG,100,50,1.0,0.20999999344348907,-0.29,0.2,True,1.0,unimodal,0.71,True
TPM__NCKAP1L,100,50,1.0,0.20999999344348907,-0.31,0.22,True,1.0,unimodal,0.71,True
TPM__CD53,100,50,1.0,0.23999999463558197,-0.29,0.21,True,1.0,unimodal,0.71,True
TPM__ZNF205,100,50,1.0,0.20000000298023224,0.3,0.21,True,1.0,unimodal,0.71,True
TPM__MIR142HG,100,50,1.0,0.27000001072883606,-0.31,0.26,True,1.0,unimodal,0.71,True
TPM__RCSD1,100,50,1.0,0.2199999988079071,-0.29,0.25,True,1.0,unimodal,0.71,True
TPM__IKZF1,100,50,1.0,0.25,-0.34,0.25,True,1.0,unimodal,0.71,True
METH__OSM,100,50,1.0,0.23999999463558197,0.4,0.21,True,1.0,unimodal,0.71,True
TPM__WAS,99,49,0.99,0.25999999046325684,-0.33,0.21,True,1.0,unimodal,0.71,True
METH__ZNF697,99,49,0.99,0.12999999523162842,-0.24,0.21,True,1.0,unimodal,0.71,True
METH__SPR,98,48,0.98,0.10999999940395355,-0.31,0.21,True,1.0,unimodal,0.71,True
METH__HSP90AA1,98,48,0.98,0.12999999523162842,0.26,0.23,True,1.0,unimodal,0.71,True
METH__KRI1,97,47,0.97,0.20000000298023224,0.36,0.2,True,0.992,unimodal,0.71,True
TPM__PDE1B,97,47,0.97,0.1899999976158142,-0.34,0.23,True,0.992,unimodal,0.71,True
METH__B2M,97,47,0.97,0.17000000178813934,0.33,0.22,True,0.992,unimodal,0.71,True
METH__MIR1469,96,46,0.96,0.20000000298023224,-0.33,0.24,True,0.832,unimodal,0.71,True
METH__AGPHD1,96,46,0.96,0.05000000074505806,-0.27,0.23,True,0.832,unimodal,0.71,True
METH__TERF1,95,45,0.95,0.17000000178813934,-0.36,0.22,True,0.458,unimodal,0.71,True
METH__BACE1,94,44,0.94,0.12999999523162842,-0.29,0.22,True,0.181,unimodal,0.71,True
METH__TPX2,92,42,0.92,0.10000000149011612,-0.26,0.21,False,0.013,worst_case,0.8974082073434125,True
METH__TMEM149,92,42,0.92,0.23999999463558197,0.38,0.22,False,0.013,worst_case,0.8974082073434125,True
METH__EVL,90,40,0.9,0.20999999344348907,0.34,0.24,False,0.0,worst_case,0.8974082073434125,True
