feature,selection_count,pair_count,cpss_score,r2,spearman,mutual_info,unimodal,diptest_pvalue,threshold_type,threshold_value,above_threshold
METH__ANXA4,100,50,1.0,0.05999999865889549,-0.23,0.2,True,1.0,unimodal,0.71,True
METH__KLF4,100,50,1.0,0.07999999821186066,-0.19,0.21,True,1.0,unimodal,0.71,True
METH__AGPHD1,100,50,1.0,0.03999999910593033,-0.18,0.21,True,1.0,unimodal,0.71,True
METH__CCM2,100,50,1.0,0.15000000596046448,0.33,0.19,True,1.0,unimodal,0.71,True
METH__LNPEP,100,50,1.0,0.10000000149011612,0.19,0.2,True,1.0,unimodal,0.71,True
METH__C9orf150,100,50,1.0,0.07999999821186066,-0.24,0.2,True,1.0,unimodal,0.71,True
METH__LRP6,100,50,1.0,0.05999999865889549,-0.19,0.2,True,1.0,unimodal,0.71,True
METH__RASA2,99,49,0.99,0.05000000074505806,-0.17,0.21,True,1.0,unimodal,0.71,True
METH__CEBPD,98,48,0.98,0.05999999865889549,-0.15,0.21,True,1.0,unimodal,0.71,True
METH__TPX2,98,48,0.98,0.07000000029802322,-0.15,0.22,True,1.0,unimodal,0.71,True
TPM__RNVU1-26,98,48,0.98,0.05000000074505806,-0.17,0.2,True,1.0,unimodal,0.71,True
METH__C6orf217,98,48,0.98,0.03999999910593033,-0.21,0.21,True,1.0,unimodal,0.71,True
METH__PCCA,97,47,0.97,0.05999999865889549,-0.15,0.2,True,0.992,unimodal,0.71,True
METH__ZNF226,97,47,0.97,0.03999999910593033,-0.16,0.2,True,0.992,unimodal,0.71,True
METH__CMTM1,96,46,0.96,0.019999999552965164,0.13,0.22,True,0.832,unimodal,0.71,True
METH__CHD9,95,45,0.95,0.05999999865889549,-0.17,0.2,True,0.458,unimodal,0.71,True
METH__DDX50,94,44,0.94,0.05000000074505806,-0.15,0.2,True,0.181,unimodal,0.71,True
METH__SNORD67,94,44,0.94,0.009999999776482582,0.06,0.2,True,0.181,unimodal,0.71,True
METH__RAB11FIP5,92,42,0.92,0.029999999329447746,-0.12,0.22,False,0.013,worst_case,0.8926380368098159,True
METH__KIAA1328,90,40,0.9,0.029999999329447746,-0.14,0.2,False,0.0,worst_case,0.8926380368098159,True
