feature,Selection count,Pair count,CPSS Score
METH__PRIC285,100,50,1.0
TPM__IKZF1,100,50,1.0
METH__TEAD4,100,50,1.0
METH__C9orf150,100,50,1.0
TPM__ADAM9,100,50,1.0
METH__PTPN14,100,50,1.0
TPM__RCSD1,100,50,1.0
METH__CCM2,100,50,1.0
METH__MAP4K1,100,50,1.0
TPM__TM4SF1-AS1,100,50,1.0
METH__ABHD10,100,50,1.0
METH__TMEM51,100,50,1.0
TPM__PTPN7,100,50,1.0
METH__SRGAP1,100,50,1.0
TPM__PIK3CG,100,50,1.0
METH__MIR574,100,50,1.0
TPM__NCKAP1L,100,50,1.0
TPM__PDE1B,100,50,1.0
TPM__MIR142HG,100,50,1.0
METH__ZNF697,99,49,0.99
METH__TOP2A,99,49,0.99
METH__TMEM149,99,49,0.99
METH__HCFC1R1,98,48,0.98
METH__RPS6KA1,98,48,0.98
METH__BACE1,98,48,0.98
TPM__BEND4,98,48,0.98
METH__SPAG9,98,48,0.98
METH__LRP6,97,47,0.97
METH__FAM114A1,96,46,0.96
METH__RBM38,96,46,0.96
METH__CCDC12,96,46,0.96
METH__MIR1469,96,46,0.96
METH__LAPTM4A,93,43,0.93
METH__PPIC,92,42,0.92
METH__TEAD1,91,41,0.91
METH__SASH1,90,40,0.9
METH__LNPEP,90,40,0.9
METH__TCF3,89,39,0.89
METH__KLHL29,87,37,0.87
METH__AP1B1,87,37,0.87
METH__ERI2,83,35,0.83
METH__INTU,82,32,0.82
METH__IQCB1,82,33,0.82
METH__ITGB8,80,30,0.8
CNV__BIRC3,77,29,0.77
METH__FAT1,76,26,0.76
METH__PEX11A,76,26,0.76
CNV__BCL9L,74,26,0.74
METH__SYT17,70,22,0.7
METH__C14orf166,69,23,0.69
CNV__CDKN2A,68,20,0.68
METH__ACTN1,68,21,0.68
CNV__DDX6,67,22,0.67
CNV__PTK6,67,21,0.67
METH__ARHGEF12,65,21,0.65
METH__HNRNPC,63,17,0.63
METH__SNX33,60,13,0.6
METH__TMEM49,59,16,0.59
CNV__CBL,52,10,0.52
METH__TARS,51,13,0.51
METH__LRIG3,50,6,0.5
METH__SNORA34,50,8,0.5
CNV__PAFAH1B2,49,13,0.49
CNV__RNF43,48,7,0.48
METH__HPS6,45,5,0.45
METH__ZNF503,45,5,0.45
METH__RBL1,44,7,0.44
CNV__ZBTB16,42,9,0.42
CNV__KMT2A,40,6,0.4
CNV__PAX5,40,3,0.4
CNV__IL6ST,39,6,0.39
METH__TMEM208,38,5,0.38
METH__LOC81691,37,4,0.37
CNV__CUL3,37,5,0.37
CNV__ARHGAP26,37,4,0.37
METH__ZDHHC23,36,3,0.36
METH__WIBG,36,4,0.36
METH__C14orf128,35,5,0.35
CNV__NFIB,35,5,0.35
METH__SKI,34,1,0.34
CNV__LASP1,33,3,0.33
CNV__SOX9,32,3,0.32
CNV__RAD51D,32,3,0.32
CNV__FUS,31,2,0.31
METH__TRPM4,31,6,0.31
CNV__DDB2,30,5,0.3
CNV__MARK2,30,4,0.3
CNV__HLF,30,3,0.3
METH__DDI2,29,3,0.29
CNV__RASA1,29,2,0.29
METH__MMAB,29,3,0.29
CNV__PAX3,29,3,0.29
CNV__MAP3K1,29,2,0.29
METH__MBOAT1,28,4,0.28
CNV__PRR14,28,2,0.28
METH__BIVM,28,6,0.28
CNV__H3-3B,28,3,0.28
CNV__ELN,28,6,0.28
CNV__SRSF2,28,4,0.28
CNV__ARHGEF12,28,1,0.28
METH__RPS6KA4,27,0,0.27
CNV__ASPSCR1,27,2,0.27
CNV__CREB3L1,27,1,0.27
METH__EAF1,27,0,0.27
CNV__MLLT3,26,2,0.26
CNV__ERBB2,26,1,0.26
CNV__JAK2,26,5,0.26
METH__RAPH1,26,3,0.26
CNV__IL21R,25,3,0.25
CNV__FBN2,25,1,0.25
CNV__MLLT6,25,1,0.25
METH__CHD9,24,3,0.24
CNV__AXIN2,24,1,0.24
CNV__SUZ12,24,0,0.24
CNV__MSI2,23,1,0.23
METH__KLF5,23,2,0.23
METH__RABL2A,22,1,0.22
CNV__ACKR3,22,3,0.22
METH__ARMC10,22,0,0.22
CNV__PDCD1LG2,22,3,0.22
CNV__GNAQ,22,0,0.22
METH__CEBPD,22,0,0.22
CNV__CANT1,22,2,0.22
CNV__ACSL3,22,2,0.22
CNV__FANCC,22,2,0.22
CNV__NSD1,21,2,0.21
CNV__RAD51C,21,2,0.21
CNV__LOX,21,1,0.21
METH__RAD51,21,1,0.21
CNV__TBX3,21,2,0.21
CNV__HERC2,21,1,0.21
METH__SUOX,21,2,0.21
CNV__PIK3CB,20,3,0.2
CNV__PPM1D,20,1,0.2
CNV__NF1,20,2,0.2
CNV__MEN1,20,0,0.2
METH__PSME4,20,1,0.2
METH__COPB2,20,1,0.2
METH__WWP1,19,0,0.19
CNV__CD274,19,0,0.19
METH__DUSP10,19,2,0.19
CNV__EZR,19,2,0.19
METH__C7orf70,19,0,0.19
METH__AGPHD1,18,0,0.18
METH__PDS5B,18,2,0.18
METH__SS18,18,1,0.18
CNV__CCR7,18,0,0.18
METH__RPL23AP7,18,0,0.18
CNV__PMS1,18,2,0.18
CNV__ACVR1,17,2,0.17
METH__FAM104A,17,0,0.17
CNV__FAT2,17,0,0.17
METH__STAU1,17,1,0.17
CNV__PSIP1,17,2,0.17
CNV__TLX3,17,2,0.17
METH__TRIP12,17,0,0.17
CNV__PRRX1,17,1,0.17
CNV__RASA2,17,1,0.17
CNV__PML,17,0,0.17
CNV__TCIRG1,16,1,0.16
METH__THNSL1,16,3,0.16
CNV__APC,16,0,0.16
CNV__TAL2,16,1,0.16
CNV__PIK3R1,16,0,0.16
