feature,selection_count,pair_count,cpss_score,r2,spearman,mutual_info,unimodal,diptest_pvalue,threshold_type,threshold_value,above_threshold
METH__SNX33,100,50,1.0,0.029999999329447746,-0.21,0.21,True,1.0,unimodal,0.7,True
METH__ARHGAP5,100,50,1.0,0.03999999910593033,-0.25,0.21,True,1.0,unimodal,0.7,True
METH__LRP6,100,50,1.0,0.05000000074505806,-0.21,0.25,True,1.0,unimodal,0.7,True
METH__BACE1,100,50,1.0,0.05000000074505806,-0.21,0.24,True,1.0,unimodal,0.7,True
TPM__IKZF1,100,50,1.0,0.14000000059604645,-0.3,0.21,True,1.0,unimodal,0.7,True
METH__CCRN4L,99,49,0.99,0.05000000074505806,-0.24,0.21,True,1.0,unimodal,0.7,True
METH__JAG1,96,46,0.96,0.029999999329447746,-0.23,0.23,True,0.832,unimodal,0.7,True
METH__TIAL1,96,46,0.96,0.019999999552965164,0.21,0.24,True,0.832,unimodal,0.7,True
METH__TOP2A,95,45,0.95,0.05000000074505806,-0.19,0.22,True,0.458,unimodal,0.7,True
CNV__SETBP1,93,43,0.93,0.0,-0.07,0.21,True,0.053,unimodal,0.7,True
METH__ATG4D,90,40,0.9,0.019999999552965164,0.09,0.23,False,0.0,worst_case,0.8897435897435897,True
METH__ENKUR,89,39,0.89,0.019999999552965164,-0.17,0.2,False,0.0,worst_case,0.8897435897435897,True
