feature,Selection count,Pair count,CPSS Score
METH__ERBB2,100,50,1.0
TPM__BCL2,100,50,1.0
TPM__MFNG,100,50,1.0
TPM__MIR22HG,100,50,1.0
TPM__GPX8,100,50,1.0
TPM__ITPRIPL2,100,50,1.0
TPM__RHBDF1,100,50,1.0
TPM__NQO1,100,50,1.0
TPM__MYB,100,50,1.0
TPM__SAMD4A,100,50,1.0
TPM__MAP4K1,100,50,1.0
TPM__SYDE1,100,50,1.0
TPM__TMBIM1,100,50,1.0
TPM__YAP1,100,50,1.0
TPM__ANXA2P2,100,50,1.0
METH__BCL9L,100,50,1.0
METH__MIR1200,100,50,1.0
TPM__LMNA,100,50,1.0
TPM__ITGB5,100,50,1.0
TPM__EPB41,100,50,1.0
TPM__ANXA2,100,50,1.0
TPM__HAUS1,100,50,1.0
METH__LOC730811,100,50,1.0
TPM__S100A10,100,50,1.0
TPM__GNG12,100,50,1.0
TPM__CDC42EP1,100,50,1.0
TPM__ITGA3,99,49,0.99
TPM__KDELR3,99,49,0.99
METH__MIR21,99,49,0.99
TPM__SRXN1,99,49,0.99
METH__THOC6,99,49,0.99
TPM__DMKN,99,49,0.99
TPM__CTSL,99,49,0.99
TPM__S100A16,98,48,0.98
TPM__S100A6,98,48,0.98
TPM__DTX1,98,48,0.98
TPM__ADAM9,98,48,0.98
TPM__CEP170B,98,48,0.98
TPM__CCND1,98,48,0.98
TPM__TEAD2,98,48,0.98
TPM__OSGIN1,98,48,0.98
TPM__LRP10,97,47,0.97
TPM__TAX1BP3,97,47,0.97
TPM__TRIP10,97,47,0.97
TPM__SDC4,96,46,0.96
METH__HCFC1R1,96,46,0.96
TPM__PRSS23,96,46,0.96
TPM__UACA,96,46,0.96
METH__TMEM160,96,46,0.96
TPM__IL13RA1,95,45,0.95
TPM__TM4SF1,94,44,0.94
TPM__NCKAP1L,94,44,0.94
TPM__CD63,94,44,0.94
METH__CCDC12,94,44,0.94
TPM__ICAM3,94,44,0.94
TPM__ANXA1,93,43,0.93
TPM__PPIC,93,43,0.93
TPM__LIF-AS2,93,43,0.93
TPM__ZNF764,92,42,0.92
TPM__RND3,92,42,0.92
TPM__GIPC1,92,42,0.92
METH__TSPAN4,92,42,0.92
TPM__E2F2,92,42,0.92
TPM__JAKMIP1,91,42,0.91
TPM__LINC00857,91,42,0.91
METH__CSNK1G3,91,41,0.91
TPM__TGFBI,89,39,0.89
METH__C13orf29,89,40,0.89
TPM__PPP1R16B,88,38,0.88
METH__POLR2L,85,35,0.85
TPM__CDC42EP2,85,35,0.85
METH__TMEM49,84,34,0.84
METH__RCAN1,83,34,0.83
METH__PTPN14,83,34,0.83
METH__PRIC285,83,33,0.83
METH__JUB,83,33,0.83
TPM__PIK3CG,79,30,0.79
METH__DIABLO,77,29,0.77
METH__GPR125,77,30,0.77
METH__TTC23,76,27,0.76
METH__THBS1,75,27,0.75
METH__FAM114A1,72,23,0.72
METH__C7orf30,64,19,0.64
TPM__HRCT1,62,18,0.62
CNV__NTRK1,57,10,0.57
METH__NPTN,54,11,0.54
METH__TGIF1,53,13,0.53
CNV__LMNA,52,11,0.52
CNV__BCL2,50,9,0.5
METH__ANXA4,49,12,0.49
CNV__FCRL4,48,10,0.48
CNV__FCGR2B,47,6,0.47
METH__SNX33,46,8,0.46
TPM__SFTA1P,46,11,0.46
CNV__KDSR,42,6,0.42
METH__CD276,40,6,0.4
CNV__SDHC,38,4,0.38
METH__RPS6KA4,36,3,0.36
METH__SASH1,36,4,0.36
TPM__RNU6ATAC,33,2,0.33
METH__GPX4,33,3,0.33
METH__DSTN,33,6,0.33
METH__ITGA2,32,6,0.32
METH__SPAG9,31,2,0.31
METH__ABHD2,30,3,0.3
METH__PHLDA1,23,4,0.23
METH__C7orf70,22,1,0.22
CNV__NBEA,21,2,0.21
MUT__BAX,21,0,0.21
CNV__MALT1,20,1,0.2
METH__GPAA1,20,0,0.2
METH__SART3,20,0,0.2
TPM__SCARNA1,20,2,0.2
METH__CMTM1,20,2,0.2
METH__LRP6,19,3,0.19
CNV__TCF4,17,1,0.17
METH__LOC221710,16,0,0.16
METH__TCEANC,14,1,0.14
CNV__MLH1,14,0,0.14
TPM__CGB8,13,2,0.13
CNV__PBRM1,13,0,0.13
METH__CWF19L1,12,0,0.12
METH__CAPN10,12,0,0.12
METH__HNRNPUL2,12,0,0.12
METH__C14orf128,12,0,0.12
METH__IRF2,11,0,0.11
METH__AP2A1,11,0,0.11
TPM__SNORA49,11,0,0.11
CNV__MYD88,11,0,0.11
CNV__ZBTB20,11,0,0.11
METH__RPL23AP7,10,0,0.1
CNV__FGD5,10,0,0.1
