feature,Selection count,Pair count,CPSS Score
TPM__SLFN11,100,50,1.0
TPM__PRSS23,100,50,1.0
TPM__THRB,100,50,1.0
TPM__SLC44A3-AS1,100,50,1.0
TPM__FAM114A1,100,50,1.0
TPM__RFXAP,100,50,1.0
TPM__FHIP1A,100,50,1.0
TPM__PERP,100,50,1.0
METH__SLC44A2,100,50,1.0
TPM__TNFRSF12A,100,50,1.0
TPM__SQSTM1,100,50,1.0
TPM__RHBDF1,100,50,1.0
TPM__RPL18A,100,50,1.0
TPM__ARHGAP15,100,50,1.0
TPM__PPL,100,50,1.0
TPM__MYOF,100,50,1.0
TPM__DSP-AS1,100,50,1.0
TPM__TPM1,100,50,1.0
TPM__FTLP14,100,50,1.0
TPM__NCKAP1L,100,50,1.0
TPM__TBC1D10C,100,50,1.0
TPM__FOLR1,100,50,1.0
TPM__RASAL2-AS1,100,50,1.0
TPM__PDE1B,100,50,1.0
TPM__BTC,100,50,1.0
TPM__BCAR3,100,50,1.0
TPM__PCDH1,100,50,1.0
TPM__SEMA3B,100,50,1.0
TPM__KDELR3,100,50,1.0
TPM__ASPH,100,50,1.0
TPM__TJP1,100,50,1.0
TPM__PRKCB,99,49,0.99
TPM__RN7SL689P,99,49,0.99
METH__SSH3,99,49,0.99
TPM__FUCA2,99,49,0.99
TPM__GCSAM,99,49,0.99
TPM__PKD1L2,99,49,0.99
TPM__GMFG,99,49,0.99
TPM__TUBA1C,98,48,0.98
TPM__ENTREP1,98,48,0.98
TPM__MIR142HG,97,47,0.97
TPM__GNGT2,97,47,0.97
TPM__SH3TC2-DT,97,47,0.97
TPM__HYAL2,96,46,0.96
METH__HLCS,96,46,0.96
TPM__PIK3CG,96,46,0.96
METH__CCM2,96,46,0.96
TPM__THBS1-IT1,94,44,0.94
TPM__ZBTB45P2,92,42,0.92
TPM__LHX1-DT,92,42,0.92
TPM__TMEM265,92,42,0.92
METH__MIER3,91,41,0.91
METH__PKP2,90,40,0.9
METH__KRI1,90,40,0.9
METH__LMCD1,88,38,0.88
METH__C20orf4,87,37,0.87
TPM__MIR200CHG,86,37,0.86
METH__OVOL2,86,37,0.86
METH__FAM114A1,85,35,0.85
METH__LRIG3,82,32,0.82
METH__SYDE1,81,34,0.81
METH__RAB11FIP2,80,30,0.8
METH__MIR574,79,34,0.79
METH__TMEM51,79,30,0.79
METH__GPR39,79,31,0.79
METH__WWC2,79,30,0.79
TPM__MEIS3P2,78,29,0.78
METH__C4orf38,76,28,0.76
METH__ZNF697,72,25,0.72
METH__GULP1,71,23,0.71
METH__RHOC,70,22,0.7
CNV__CCND1,68,21,0.68
METH__PPIC,65,22,0.65
METH__BCL2L11,63,17,0.63
METH__UGGT2,63,15,0.63
METH__C7orf30,58,16,0.58
TPM__IFNWP19,58,17,0.58
TPM__SNORD91A,57,17,0.57
TPM__TMSB4XP1,56,11,0.56
METH__FTSJD1,56,8,0.56
CNV__FUS,53,9,0.53
CNV__KLHL6,50,11,0.5
CNV__IKZF1,48,9,0.48
CNV__EIF4A2,47,9,0.47
CNV__MAP3K13,47,9,0.47
METH__GPR126,44,7,0.44
METH__TEAD4,42,5,0.42
METH__ITGAL,40,9,0.4
CNV__MLF1,39,8,0.39
METH__LRBA,39,9,0.39
