feature,selection_count,pair_count,cpss_score,r2,spearman,mutual_info,unimodal,diptest_pvalue,threshold_type,threshold_value,above_threshold
TPM__FAM78A,100,50,1.0,0.20000000298023224,-0.36,0.18,True,1.0,unimodal,0.71,True
TPM__APP,100,50,1.0,0.18000000715255737,0.36,0.18,True,1.0,unimodal,0.71,True
TPM__KITLG,100,50,1.0,0.15000000596046448,0.4,0.17,True,1.0,unimodal,0.71,True
TPM__AMOTL2,100,50,1.0,0.20999999344348907,0.41,0.17,True,1.0,unimodal,0.71,True
TPM__KCNAB2,100,50,1.0,0.10999999940395355,-0.3,0.17,True,1.0,unimodal,0.71,True
METH__MAP4K1,100,50,1.0,0.1899999976158142,0.38,0.17,True,1.0,unimodal,0.71,True
TPM__RCSD1,100,50,1.0,0.20000000298023224,-0.25,0.18,True,1.0,unimodal,0.71,True
TPM__PLK2,100,50,1.0,0.18000000715255737,0.4,0.17,True,1.0,unimodal,0.71,True
METH__PRIC285,100,50,1.0,0.20999999344348907,0.39,0.17,True,1.0,unimodal,0.71,True
TPM__KDELR2,100,50,1.0,0.14000000059604645,0.36,0.18,True,1.0,unimodal,0.71,True
TPM__PTPN7,100,50,1.0,0.23999999463558197,-0.37,0.24,True,1.0,unimodal,0.71,True
TPM__IKZF1,100,50,1.0,0.23999999463558197,-0.35,0.17,True,1.0,unimodal,0.71,True
TPM__KRT8,100,50,1.0,0.15000000596046448,0.38,0.18,True,1.0,unimodal,0.71,True
TPM__SNX21,100,50,1.0,0.20000000298023224,0.41,0.17,True,1.0,unimodal,0.71,True
TPM__LAPTM4A,100,50,1.0,0.17000000178813934,0.41,0.18,True,1.0,unimodal,0.71,True
METH__LOC100130776,100,50,1.0,0.23999999463558197,-0.38,0.17,True,1.0,unimodal,0.71,True
METH__CD22,100,50,1.0,0.1599999964237213,0.35,0.18,True,1.0,unimodal,0.71,True
TPM__WASL,100,50,1.0,0.17000000178813934,0.37,0.19,True,1.0,unimodal,0.71,True
TPM__RAPH1,100,50,1.0,0.18000000715255737,0.36,0.2,True,1.0,unimodal,0.71,True
METH__C9orf150,100,50,1.0,0.17000000178813934,-0.32,0.2,True,1.0,unimodal,0.71,True
METH__OSM,100,50,1.0,0.23999999463558197,0.41,0.21,True,1.0,unimodal,0.71,True
TPM__MIR142HG,100,50,1.0,0.23999999463558197,-0.32,0.21,True,1.0,unimodal,0.71,True
TPM__FKBP9,100,50,1.0,0.23000000417232513,0.41,0.21,True,1.0,unimodal,0.71,True
TPM__NCKAP1L,100,50,1.0,0.23000000417232513,-0.33,0.22,True,1.0,unimodal,0.71,True
TPM__TJP1,100,50,1.0,0.23999999463558197,0.39,0.17,True,1.0,unimodal,0.71,True
TPM__TRAF3IP3,100,50,1.0,0.1899999976158142,-0.41,0.23,True,1.0,unimodal,0.71,True
TPM__UACA,100,50,1.0,0.17000000178813934,0.36,0.17,True,1.0,unimodal,0.71,True
TPM__CD38,100,50,1.0,0.18000000715255737,-0.3,0.17,True,1.0,unimodal,0.71,True
TPM__MANBAL,100,50,1.0,0.18000000715255737,0.37,0.17,True,1.0,unimodal,0.71,True
TPM__FAM210B,100,50,1.0,0.12999999523162842,0.35,0.16,True,1.0,unimodal,0.71,True
TPM__RASAL2-AS1,100,50,1.0,0.1599999964237213,0.4,0.17,True,1.0,unimodal,0.71,True
TPM__NCKAP1,100,50,1.0,0.20000000298023224,0.34,0.16,True,1.0,unimodal,0.71,True
TPM__ERRFI1,100,50,1.0,0.1599999964237213,0.34,0.16,True,1.0,unimodal,0.71,True
METH__ACTN1,99,49,0.99,0.15000000596046448,-0.27,0.17,True,1.0,unimodal,0.71,True
METH__POLD3,99,49,0.99,0.09000000357627869,-0.25,0.16,True,1.0,unimodal,0.71,True
METH__FERMT3,99,49,0.99,0.20999999344348907,0.34,0.17,True,1.0,unimodal,0.71,True
TPM__RHOH,99,49,0.99,0.18000000715255737,-0.33,0.2,True,1.0,unimodal,0.71,True
TPM__FRMD6,99,49,0.99,0.11999999731779099,0.34,0.17,True,1.0,unimodal,0.71,True
TPM__ARHGAP45,99,49,0.99,0.11999999731779099,-0.28,0.17,True,1.0,unimodal,0.71,True
METH__NR2F2,98,48,0.98,0.1899999976158142,-0.3,0.16,True,1.0,unimodal,0.71,True
METH__LAMB2,98,48,0.98,0.1599999964237213,-0.21,0.19,True,1.0,unimodal,0.71,True
METH__PKN1,98,48,0.98,0.1899999976158142,0.32,0.17,True,1.0,unimodal,0.71,True
TPM__APBB1IP,98,48,0.98,0.12999999523162842,-0.24,0.18,True,1.0,unimodal,0.71,True
METH__CASZ1,97,47,0.97,0.20000000298023224,-0.33,0.19,True,0.992,unimodal,0.71,True
TPM__PIK3CG,94,44,0.94,0.18000000715255737,-0.27,0.16,True,0.181,unimodal,0.71,True
