feature,selection_count,pair_count,cpss_score,r2,spearman,mutual_info,unimodal,diptest_pvalue
TPM__PGAP3,94,44,0.94,0.07999999821186066,0.28,0.07,True,0.181
TPM__BCL2L1,93,43,0.93,0.07999999821186066,0.29,0.05,True,0.053
TPM__DNASE1L1,91,41,0.91,0.07999999821186066,0.29,0.05,False,0.002
TPM__LRRFIP1P1,90,40,0.9,0.09000000357627869,0.28,0.03,False,0.0
METH__TUG1,86,36,0.86,0.07999999821186066,-0.29,0.08,False,0.0
METH__MORC2,86,36,0.86,0.07999999821186066,-0.29,0.08,False,0.0
TPM__TGIF2,79,29,0.79,0.07999999821186066,-0.29,0.09,False,0.0
TPM__LURAP1L,77,27,0.77,0.10000000149011612,0.32,0.04,False,0.0
METH__KRTAP5-1,76,26,0.76,0.07999999821186066,0.3,0.1,False,0.0
TPM__SLC25A21-AS1,73,23,0.73,0.07000000029802322,0.27,0.14,False,0.0
TPM__CEACAM6,72,22,0.72,0.09000000357627869,0.28,0.1,False,0.0
METH__HMGB1,72,22,0.72,0.09000000357627869,0.3,0.11,False,0.0
TPM__ELOVL7,71,21,0.71,0.10000000149011612,0.32,0.05,False,0.0
METH__TLR2,71,22,0.71,0.07999999821186066,-0.26,0.07,False,0.0
TPM__RHPN2,70,21,0.7,0.07000000029802322,0.28,0.01,False,0.0
TPM__RPL26,68,19,0.68,0.10000000149011612,-0.29,0.03,False,0.0
TPM__DSP,66,18,0.66,0.07999999821186066,0.28,0.07,False,0.0
METH__DIP2B,64,15,0.64,0.07999999821186066,-0.26,0.06,False,0.0
METH__ABHD10,63,14,0.63,0.07999999821186066,-0.24,0.11,False,0.0
TPM__NGEF,63,13,0.63,0.07999999821186066,0.29,0.06,False,0.0
TPM__EIF3D,61,12,0.61,0.07999999821186066,-0.27,0.03,False,0.0
TPM__KRT7-AS,60,13,0.6,0.10000000149011612,0.36,0.11,False,0.0
TPM__TRAC,60,11,0.6,0.07999999821186066,-0.26,0.06,False,0.0
TPM__TMEM191A,59,11,0.59,0.09000000357627869,0.31,0.04,False,0.0
TPM__SPATS2L,59,10,0.59,0.07999999821186066,0.29,0.08,False,0.0
METH__LMCD1,57,10,0.57,0.09000000357627869,-0.22,0.11,False,0.0
TPM__WNT9A,56,9,0.56,0.10000000149011612,0.34,0.09,False,0.002
TPM__PLPP2,56,7,0.56,0.12999999523162842,0.35,0.11,True,0.053
TPM__ADPRM,56,10,0.56,0.07999999821186066,-0.27,0.04,False,0.0
TPM__RPS12,55,8,0.55,0.07999999821186066,-0.28,0.04,False,0.013
TPM__SLC16A1-AS1,54,5,0.54,0.07999999821186066,-0.27,0.08,True,0.458
TPM__TP53I3,53,5,0.53,0.07000000029802322,0.26,0.08,True,0.458
METH__LOC222699,52,7,0.52,0.10000000149011612,-0.26,0.14,True,0.053
TPM__CAPN8,52,4,0.52,0.09000000357627869,0.32,0.09,True,0.832
METH__TNK1,52,6,0.52,0.07999999821186066,-0.25,0.05,True,0.181
TPM__PEX11G,52,6,0.52,0.07999999821186066,0.28,0.06,True,0.181
METH__RGS12,51,6,0.51,0.07000000029802322,0.28,0.07,True,0.181
TPM__TMC5,51,7,0.51,0.10000000149011612,0.29,0.1,True,0.053
METH__SNX3,51,7,0.51,0.07999999821186066,-0.22,0.18,True,0.053
TPM__MUC1,51,4,0.51,0.10999999940395355,0.34,0.06,True,0.832
METH__YPEL2,50,5,0.5,0.07999999821186066,-0.24,0.1,True,0.458
TPM__CRACDL,48,3,0.48,0.09000000357627869,0.28,0.05,True,0.992
TPM__AGAP2,48,5,0.48,0.10000000149011612,-0.32,0.1,True,0.458
TPM__LCMT1-AS1,47,6,0.47,0.07999999821186066,-0.27,0.08,True,0.181
TPM__PERP,46,4,0.46,0.09000000357627869,0.3,0.13,True,0.832
TPM__GIPC1,46,1,0.46,0.07999999821186066,0.29,0.04,True,1.0
TPM__TSPAN1,46,2,0.46,0.09000000357627869,0.34,0.07,True,1.0
TPM__TJP1,46,2,0.46,0.09000000357627869,0.22,0.07,True,1.0
TPM__SQSTM1,46,5,0.46,0.07999999821186066,0.27,0.06,True,0.458
TPM__ENPP5,44,3,0.44,0.09000000357627869,0.26,0.07,True,0.992
TPM__ARHGAP39,44,2,0.44,0.07999999821186066,0.26,0.09,True,1.0
METH__ZNF579,43,2,0.43,0.11999999731779099,-0.34,0.11,True,1.0
TPM__SLC2A8,43,3,0.43,0.07999999821186066,0.25,0.08,True,0.992
TPM__MAGIX,42,2,0.42,0.09000000357627869,0.3,0.07,True,1.0
METH__ME1,41,2,0.41,0.09000000357627869,-0.3,0.12,True,1.0
TPM__INHBB,41,3,0.41,0.07999999821186066,0.33,0.08,True,0.992
METH__SNRPA1,41,0,0.41,0.07999999821186066,-0.19,0.15,False,
TPM__SPIRE1,41,0,0.41,0.07999999821186066,0.24,0.03,False,
TPM__SDSL,40,2,0.4,0.07999999821186066,0.28,0.03,True,1.0
TPM__ATP8B1,40,4,0.4,0.10999999940395355,0.34,0.13,True,0.832
TPM__MTARC2,40,1,0.4,0.07999999821186066,0.29,0.1,True,1.0
TPM__TSPAN15,39,1,0.39,0.09000000357627869,0.31,0.08,True,1.0
TPM__MB,39,0,0.39,0.09000000357627869,0.3,0.07,False,
METH__ABHD5,39,1,0.39,0.07000000029802322,-0.3,0.1,True,1.0
METH__FUCA2,38,4,0.38,0.10000000149011612,-0.26,0.12,True,0.832
TPM__ARHGEF16,38,1,0.38,0.07999999821186066,0.28,0.04,True,1.0
TPM__KRT7,37,0,0.37,0.11999999731779099,0.35,0.04,False,
METH__TRIM44,37,2,0.37,0.07999999821186066,-0.23,0.05,True,1.0
TPM__CDH1,37,1,0.37,0.07000000029802322,0.29,0.07,True,1.0
TPM__CHMP3,36,2,0.36,0.10000000149011612,0.32,0.07,True,1.0
TPM__ARHGEF6,36,0,0.36,0.09000000357627869,-0.26,0.09,False,
METH__FOXA1,36,2,0.36,0.07999999821186066,-0.29,0.1,True,1.0
TPM__PSTPIP1,36,1,0.36,0.07000000029802322,-0.23,0.11,True,1.0
METH__DNAH7,36,0,0.36,0.10000000149011612,-0.29,0.16,False,
METH__OVOL2,36,1,0.36,0.07000000029802322,-0.28,0.06,True,1.0
TPM__ALDH3B1,35,1,0.35,0.07999999821186066,0.29,0.09,True,1.0
METH__BDKRB2,34,0,0.34,0.07999999821186066,-0.29,0.06,False,
TPM__ARFGEF3,34,1,0.34,0.10000000149011612,0.33,0.07,True,1.0
TPM__ESRP2,33,0,0.33,0.07000000029802322,0.27,0.06,False,
TPM__EPB41L4B,33,1,0.33,0.10000000149011612,0.32,0.06,True,1.0
TPM__MYO6,33,2,0.33,0.07999999821186066,0.28,0.08,True,1.0
METH__LOC100130776,32,1,0.32,0.07000000029802322,-0.2,0.09,True,1.0
METH__ECHDC2,32,0,0.32,0.10000000149011612,-0.32,0.07,False,
TPM__RPL13A,32,2,0.32,0.10000000149011612,-0.31,0.09,True,1.0
TPM__ABCC3,31,1,0.31,0.09000000357627869,0.32,0.12,True,1.0
METH__B3GNT4,31,0,0.31,0.07999999821186066,-0.22,0.05,False,
TPM__STBD1,31,0,0.31,0.07999999821186066,0.28,0.04,False,
TPM__IQSEC2,31,0,0.31,0.07000000029802322,0.27,0.06,False,
METH__CDC14B,31,0,0.31,0.07999999821186066,-0.27,0.07,False,
TPM__CLDN7,31,0,0.31,0.07000000029802322,0.27,0.04,False,
