feature,selection_count,pair_count,cpss_score,r2,spearman,mutual_info,unimodal,diptest_pvalue,threshold_type,threshold_value,above_threshold
MUT__BRAF,100,50,1.0,0.009999999776482582,-0.32,0.31,True,1.0,unimodal,0.71,True
METH__SNORD49A,100,50,1.0,0.03999999910593033,0.24,0.21,True,1.0,unimodal,0.71,True
METH__IRF2,100,50,1.0,0.029999999329447746,0.12,0.22,True,1.0,unimodal,0.71,True
MUT__NRAS,100,50,1.0,0.05000000074505806,-0.21,0.31,True,1.0,unimodal,0.71,True
MUT__RB1,100,50,1.0,0.05000000074505806,0.24,0.29,True,1.0,unimodal,0.71,True
METH__GAA,100,50,1.0,0.009999999776482582,0.12,0.22,True,1.0,unimodal,0.71,True
METH__SNORD75,98,48,0.98,0.03999999910593033,0.2,0.21,True,1.0,unimodal,0.71,True
METH__ZBTB37,95,45,0.95,0.03999999910593033,0.18,0.21,True,0.458,unimodal,0.71,True
TPM__RNU4-52P,94,44,0.94,0.009999999776482582,0.12,0.21,True,0.181,unimodal,0.71,True
MUT__APC,94,44,0.94,0.03999999910593033,-0.18,0.27,True,0.181,unimodal,0.71,True
CNV__PDE4DIP,94,44,0.94,0.009999999776482582,0.1,0.21,True,0.181,unimodal,0.71,True
CNV__EZH2,93,43,0.93,0.0,0.08,0.2,True,0.053,unimodal,0.71,True
CNV__KMT2C,92,42,0.92,0.0,0.08,0.21,False,0.013,worst_case,0.8976081812035159,True
MUT__KRAS,91,41,0.91,0.019999999552965164,-0.18,0.26,False,0.002,worst_case,0.8976081812035159,True
METH__ATP13A1,90,40,0.9,0.009999999776482582,-0.08,0.23,False,0.0,worst_case,0.8976081812035159,True
