feature,selection_count,pair_count,cpss_score,r2,spearman,mutual_info,unimodal,diptest_pvalue,threshold_type,threshold_value,above_threshold
METH__CCM2,100,50,1.0,0.3100000023841858,0.4,0.35,True,1.0,unimodal,0.71,True
METH__CCDC12,100,50,1.0,0.25,-0.4,0.24,True,1.0,unimodal,0.71,True
TPM__ACAP1,100,50,1.0,0.20000000298023224,-0.29,0.23,True,1.0,unimodal,0.71,True
TPM__SDC4,100,50,1.0,0.30000001192092896,0.5,0.24,True,1.0,unimodal,0.71,True
METH__THAP10,100,50,1.0,0.20000000298023224,-0.28,0.26,True,1.0,unimodal,0.71,True
TPM__MATN3,100,50,1.0,0.14000000059604645,0.48,0.24,True,1.0,unimodal,0.71,True
TPM__PTPRCAP,100,50,1.0,0.2199999988079071,-0.25,0.23,True,1.0,unimodal,0.71,True
TPM__LAPTM4A,100,50,1.0,0.20999999344348907,0.44,0.24,True,1.0,unimodal,0.71,True
TPM__ITGA3,100,50,1.0,0.27000001072883606,0.48,0.24,True,1.0,unimodal,0.71,True
METH__PTGR2,100,50,1.0,0.10000000149011612,-0.36,0.27,True,1.0,unimodal,0.71,True
TPM__EGFR,100,50,1.0,0.23999999463558197,0.48,0.24,True,1.0,unimodal,0.71,True
TPM__TJP1,100,50,1.0,0.3199999928474426,0.45,0.24,True,1.0,unimodal,0.71,True
METH__LAMB2,100,50,1.0,0.23000000417232513,-0.22,0.24,True,1.0,unimodal,0.71,True
METH__ERBB2,100,50,1.0,0.2199999988079071,-0.43,0.24,True,1.0,unimodal,0.71,True
TPM__GNG12,100,50,1.0,0.27000001072883606,0.44,0.24,True,1.0,unimodal,0.71,True
TPM__EPHA2,100,50,1.0,0.30000001192092896,0.51,0.24,True,1.0,unimodal,0.71,True
TPM__GPX8,100,50,1.0,0.2199999988079071,0.42,0.24,True,1.0,unimodal,0.71,True
TPM__CORO1A-AS1,100,50,1.0,0.23999999463558197,-0.39,0.25,True,1.0,unimodal,0.71,True
TPM__RCSD1,100,50,1.0,0.25999999046325684,-0.3,0.24,True,1.0,unimodal,0.71,True
METH__ANKRD44,100,50,1.0,0.2199999988079071,0.36,0.24,True,1.0,unimodal,0.71,True
TPM__NCKAP1L,100,50,1.0,0.2800000011920929,-0.38,0.25,True,1.0,unimodal,0.71,True
TPM__LAMB2,100,50,1.0,0.28999999165534973,0.45,0.25,True,1.0,unimodal,0.71,True
TPM__AMOTL2,100,50,1.0,0.30000001192092896,0.48,0.26,True,1.0,unimodal,0.71,True
TPM__CTTN,100,50,1.0,0.2800000011920929,0.46,0.26,True,1.0,unimodal,0.71,True
TPM__IRAG2,100,50,1.0,0.27000001072883606,-0.36,0.25,True,1.0,unimodal,0.71,True
METH__PTPN14,100,50,1.0,0.2199999988079071,-0.43,0.28,True,1.0,unimodal,0.71,True
TPM__GMFG,100,50,1.0,0.23999999463558197,-0.26,0.24,True,1.0,unimodal,0.71,True
TPM__PSTPIP1,100,50,1.0,0.23000000417232513,-0.38,0.22,True,1.0,unimodal,0.71,True
TPM__MAP4K1,100,50,1.0,0.28999999165534973,-0.42,0.23,True,1.0,unimodal,0.71,True
TPM__WAS,100,50,1.0,0.3400000035762787,-0.43,0.29,True,1.0,unimodal,0.71,True
TPM__KRT15,100,50,1.0,0.10999999940395355,0.4,0.23,True,1.0,unimodal,0.71,True
TPM__IKZF1,100,50,1.0,0.3199999928474426,-0.37,0.29,True,1.0,unimodal,0.71,True
TPM__SLC44A3-AS1,100,50,1.0,0.10999999940395355,0.39,0.23,True,1.0,unimodal,0.71,True
TPM__MIR142HG,100,50,1.0,0.33000001311302185,-0.34,0.31,True,1.0,unimodal,0.71,True
METH__BCL9L,99,49,0.99,0.25999999046325684,-0.46,0.24,True,1.0,unimodal,0.71,True
TPM__ARHGAP15,99,49,0.99,0.2800000011920929,-0.34,0.23,True,1.0,unimodal,0.71,True
METH__PSMB8,99,49,0.99,0.05999999865889549,0.29,0.26,True,1.0,unimodal,0.71,True
METH__RAVER1,99,49,0.99,0.2199999988079071,-0.3,0.23,True,1.0,unimodal,0.71,True
TPM__PDE1B,98,48,0.98,0.23999999463558197,-0.4,0.29,True,1.0,unimodal,0.71,True
TPM__PIK3CG,97,47,0.97,0.23999999463558197,-0.28,0.28,True,0.992,unimodal,0.71,True
TPM__BNAT1,96,46,0.96,0.09000000357627869,0.38,0.24,True,0.832,unimodal,0.71,True
METH__C14orf128,96,46,0.96,0.10999999940395355,-0.35,0.27,True,0.832,unimodal,0.71,True
METH__KLF4,95,45,0.95,0.18000000715255737,-0.33,0.25,True,0.458,unimodal,0.71,True
TPM__LINC00702,95,45,0.95,0.03999999910593033,0.33,0.24,True,0.458,unimodal,0.71,True
METH__TMEM51,95,45,0.95,0.1899999976158142,-0.32,0.27,True,0.458,unimodal,0.71,True
TPM__HOXC13-AS,93,43,0.93,0.019999999552965164,0.23,0.23,True,0.053,unimodal,0.71,True
METH__TTC23,92,42,0.92,0.18000000715255737,-0.34,0.23,False,0.013,worst_case,0.8918367346938776,True
METH__TMEM149,92,42,0.92,0.25,0.39,0.23,False,0.013,worst_case,0.8918367346938776,True
METH__NPAS2,91,43,0.91,0.23000000417232513,-0.44,0.24,True,0.053,unimodal,0.71,True
METH__THBS1,91,41,0.91,0.2199999988079071,-0.44,0.22,False,0.002,worst_case,0.8918367346938776,True
METH__GPR125,91,41,0.91,0.20000000298023224,-0.36,0.24,False,0.002,worst_case,0.8918367346938776,True
METH__LRRC49,91,41,0.91,0.1899999976158142,-0.27,0.24,False,0.002,worst_case,0.8918367346938776,True
METH__PTPRK,91,41,0.91,0.1599999964237213,-0.37,0.25,False,0.002,worst_case,0.8918367346938776,True
METH__TCF3,90,40,0.9,0.15000000596046448,0.39,0.22,False,0.0,worst_case,0.8918367346938776,True
METH__GABARAPL1,90,40,0.9,0.10000000149011612,-0.36,0.25,False,0.0,worst_case,0.8918367346938776,True
