feature,selection_count,pair_count,cpss_score,r2,spearman,mutual_info,unimodal,diptest_pvalue,threshold_type,threshold_value,above_threshold
METH__KLF4,100,50,1.0,0.05999999865889549,-0.15,0.2,True,1.0,unimodal,0.71,True
CNV__MAML2,100,50,1.0,0.029999999329447746,0.19,0.19,True,1.0,unimodal,0.71,True
MUT__PTEN,100,50,1.0,0.03999999910593033,-0.23,0.21,True,1.0,unimodal,0.71,True
METH__LRP6,99,49,0.99,0.05000000074505806,-0.13,0.19,True,1.0,unimodal,0.71,True
CNV__BIRC3,98,48,0.98,0.019999999552965164,0.19,0.2,True,1.0,unimodal,0.71,True
CNV__FAT3,98,48,0.98,0.029999999329447746,0.19,0.19,True,1.0,unimodal,0.71,True
METH__ARHGAP26,98,48,0.98,0.019999999552965164,-0.09,0.19,True,1.0,unimodal,0.71,True
METH__SGTB,98,48,0.98,0.029999999329447746,-0.12,0.2,True,1.0,unimodal,0.71,True
METH__C6orf217,96,46,0.96,0.029999999329447746,-0.14,0.23,True,0.832,unimodal,0.71,True
TPM__NPEPPSP2,96,46,0.96,0.0,-0.06,0.19,True,0.832,unimodal,0.71,True
METH__TNIK,96,46,0.96,0.029999999329447746,-0.1,0.18,True,0.832,unimodal,0.71,True
CNV__DDX6,95,46,0.95,0.029999999329447746,0.2,0.2,True,0.832,unimodal,0.71,True
METH__CWC15,94,44,0.94,0.029999999329447746,-0.08,0.19,True,0.181,unimodal,0.71,True
METH__RAPH1,93,43,0.93,0.029999999329447746,-0.12,0.21,True,0.053,unimodal,0.71,True
CNV__SPOP,93,43,0.93,0.029999999329447746,0.21,0.2,True,0.053,unimodal,0.71,True
CNV__SDHD,91,41,0.91,0.009999999776482582,0.16,0.2,False,0.002,worst_case,0.8918367346938776,True
METH__C7orf70,91,41,0.91,0.029999999329447746,0.11,0.22,False,0.002,worst_case,0.8918367346938776,True
CNV__COL1A1,91,41,0.91,0.029999999329447746,0.2,0.19,False,0.002,worst_case,0.8918367346938776,True
CNV__KMT2A,90,40,0.9,0.029999999329447746,0.2,0.21,False,0.0,worst_case,0.8918367346938776,True
