feature,Selection count,Pair count,CPSS Score
TPM__BCL2L1,100,50,1.0
TPM__GPAT3,96,46,0.96
TPM__ARHGAP29,93,43,0.93
TPM__EEF2,84,34,0.84
TPM__GPSM3,83,33,0.83
TPM__WFS1,83,33,0.83
TPM__RASSF7,82,32,0.82
TPM__SETDB2,78,28,0.78
TPM__TRAF3IP3,78,28,0.78
TPM__EPS8,77,27,0.77
TPM__RPL10A,77,27,0.77
TPM__ENC1,73,23,0.73
TPM__APLP2,72,22,0.72
METH__MIPOL1,71,22,0.71
TPM__PTTG1IP,71,21,0.71
TPM__SNX24,69,19,0.69
TPM__ARHGEF6,68,18,0.68
TPM__RNASEH2B,65,15,0.65
TPM__SQSTM1,65,15,0.65
METH__AGXT2L2,63,16,0.63
TPM__TRNP1,63,13,0.63
TPM__PTGR1,62,15,0.62
TPM__CHMP3,61,12,0.61
METH__NUP43,60,12,0.6
TPM__RASAL2-AS1,60,10,0.6
TPM__SDSL,59,10,0.59
TPM__TRG-AS1,59,9,0.59
TPM__CLIP1,59,12,0.59
TPM__SSH3,58,12,0.58
METH__RAB27B,58,9,0.58
TPM__PDCD6IP-DT,56,7,0.56
METH__PER3,56,8,0.56
TPM__DOCK1,55,9,0.55
TPM__DCBLD2,55,10,0.55
METH__CD46,54,8,0.54
TPM__CLDN4,54,8,0.54
METH__AMOTL2,51,4,0.51
TPM__LTBR,50,5,0.5
TPM__BTC,50,3,0.5
METH__THBS1,50,6,0.5
TPM__SH3D19,49,2,0.49
TPM__PLPP2,49,4,0.49
TPM__TOM1L1,48,7,0.48
METH__MARVELD3,48,5,0.48
TPM__SDC1,47,3,0.47
METH__MORN4,47,4,0.47
METH__PTGFRN,47,5,0.47
METH__MGAT1,46,7,0.46
TPM__PLS3,45,4,0.45
METH__PROCA1,45,4,0.45
METH__PLA2R1,45,3,0.45
TPM__BAIAP2,43,2,0.43
TPM__MIR22HG,43,0,0.43
TPM__KDM2B,43,1,0.43
METH__LAPTM4A,43,2,0.43
METH__VTRNA1-2,42,2,0.42
METH__CCDC88B,42,1,0.42
METH__LAMB1,42,0,0.42
TPM__AOPEP,42,4,0.42
METH__ZNF579,42,1,0.42
METH__LYPD6,41,3,0.41
METH__GNMT,41,2,0.41
TPM__SH3BP4,41,0,0.41
TPM__AGAP2,41,2,0.41
TPM__CCDC9B,40,2,0.4
METH__HRCT1,40,1,0.4
METH__FAM46A,40,0,0.4
TPM__PXDC1,40,0,0.4
TPM__PPP1R16B,40,1,0.4
TPM__ITGAV,39,0,0.39
METH__ANKRD44,38,3,0.38
TPM__TNFAIP1,38,1,0.38
METH__ITGA3,37,2,0.37
TPM__ANXA2P2,37,0,0.37
METH__KCNK1,37,3,0.37
TPM__TSPAN15,37,2,0.37
METH__C15orf52,36,0,0.36
METH__FAT1,36,0,0.36
TPM__CD59,35,1,0.35
METH__GPD2,35,1,0.35
TPM__LGALS3,34,1,0.34
TPM__MAP4K1,34,0,0.34
TPM__PLAAT3,34,4,0.34
TPM__NCEH1,34,0,0.34
TPM__YAP1,33,1,0.33
METH__POLD3,33,1,0.33
TPM__CTNND1,33,0,0.33
TPM__PARVA,32,0,0.32
METH__PTP4A1,32,1,0.32
TPM__CTNNA1,32,0,0.32
METH__TBC1D10C,31,2,0.31
TPM__RPS8,31,1,0.31
METH__MARVELD2,31,0,0.31
TPM__SOX13,31,0,0.31
TPM__ID1,30,3,0.3
TPM__FHL2,30,0,0.3
TPM__KBTBD8,30,8,0.3
TPM__PLK2,30,1,0.3
TPM__TM4SF1,30,6,0.3
METH__FCHO2,30,0,0.3
TPM__JUN,30,5,0.3
TPM__PHLDA2,29,1,0.29
TPM__CAVIN1,29,0,0.29
METH__TNK1,29,0,0.29
METH__RUFY1,29,1,0.29
TPM__MARVELD2,29,0,0.29
TPM__KRT7,29,1,0.29
TPM__SHTN1,28,0,0.28
TPM__SLC1A3-AS1,28,7,0.28
TPM__BCAM,28,0,0.28
METH__RASSF1,28,0,0.28
TPM__TMEM184B,28,1,0.28
TPM__TACC2,27,1,0.27
METH__SUCLA2,27,1,0.27
METH__PLEKHA1,27,0,0.27
TPM__PLEC,27,0,0.27
METH__GPR39,27,0,0.27
TPM__ITGA2,27,2,0.27
TPM__AGRN,27,0,0.27
TPM__RPL34,26,0,0.26
METH__GALNT11,26,0,0.26
TPM__ATP8B1-AS1,26,3,0.26
TPM__MANBAL,26,0,0.26
TPM__RHBDF1,26,0,0.26
TPM__CD72,26,1,0.26
METH__C1orf55,26,1,0.26
TPM__RPS28,25,0,0.25
METH__ZFP112,25,0,0.25
METH__INTU,25,0,0.25
TPM__SEC14L2,25,0,0.25
TPM__SH2D4A,25,3,0.25
METH__RHEB,24,5,0.24
TPM__GNG12,24,0,0.24
METH__INPP5D,24,0,0.24
TPM__CDC42EP2,24,7,0.24
METH__KRT18,24,1,0.24
METH__EIF3K,24,0,0.24
TPM__TMEM51,24,1,0.24
TPM__MID1,23,1,0.23
TPM__NPTN,23,4,0.23
METH__SSH3,23,1,0.23
TPM__ARHGAP9,23,0,0.23
TPM__CORO1A-AS1,23,0,0.23
TPM__SEPTIN10,23,0,0.23
METH__LACTB2,23,0,0.23
TPM__FAM177A1,23,5,0.23
METH__TEAD1,22,1,0.22
TPM__ITPRIPL1,22,1,0.22
METH__PKP2,22,0,0.22
TPM__TPD52L1,22,0,0.22
TPM__AK1,22,1,0.22
METH__KRI1,21,0,0.21
TPM__LIMD2,21,3,0.21
METH__GSPT1,21,3,0.21
METH__MLL2,21,7,0.21
METH__C6orf41,21,0,0.21
METH__TERF1,21,1,0.21
TPM__NQO1,21,1,0.21
METH__NCRNA00111,21,1,0.21
TPM__PXN,21,0,0.21
METH__BIN2,20,0,0.2
METH__PFKFB2,20,1,0.2
TPM__AKNA,20,6,0.2
TPM__TAX1BP3,20,0,0.2
METH__RGNEF,20,2,0.2
TPM__ARHGAP19,20,0,0.2
METH__PRSS23,20,7,0.2
TPM__TNFRSF21,20,3,0.2
METH__B3GNT5,20,1,0.2
TPM__LIF,19,0,0.19
TPM__FLI1,19,0,0.19
TPM__SHISA4,19,0,0.19
TPM__TBC1D10C,19,0,0.19
TPM__KIAA1671,19,6,0.19
TPM__CARMIL1,19,5,0.19
TPM__PSTPIP1,19,1,0.19
METH__PIP5K1A,18,2,0.18
METH__FAM113B,18,1,0.18
TPM__PTPN21,18,0,0.18
TPM__CD37,18,3,0.18
TPM__GRAMD2B,18,2,0.18
METH__DDAH1,18,0,0.18
TPM__APP,18,1,0.18
METH__BOK,17,1,0.17
METH__PTRF,17,2,0.17
METH__FAM47E,17,0,0.17
TPM__HVCN1,17,0,0.17
TPM__SNX9,17,2,0.17
TPM__NR2F2,17,5,0.17
METH__ERBB2,17,3,0.17
TPM__FAM78A,17,0,0.17
TPM__BAIAP2L1,17,0,0.17
TPM__F3,17,0,0.17
METH__CCDC12,17,0,0.17
TPM__ASPH,17,0,0.17
TPM__TMEM131L,17,2,0.17
TPM__EPB41L1,17,0,0.17
TPM__NHERF2,17,4,0.17
TPM__WASL,16,0,0.16
METH__GPR126,16,0,0.16
TPM__LRRC8E,16,1,0.16
TPM__RHOH,16,0,0.16
METH__SEMA3C,16,0,0.16
TPM__WWTR1,16,0,0.16
TPM__PIP4K2C,16,4,0.16
METH__CDKN2D,16,0,0.16
METH__MAL2,16,0,0.16
TPM__GPR39,16,0,0.16
METH__LOC144571,16,3,0.16
TPM__RAI14,16,0,0.16
METH__LOC100130776,16,0,0.16
TPM__PPP1R14B-AS1,16,2,0.16
TPM__DLG5,15,0,0.15
TPM__SH2D3C,15,0,0.15
METH__LCA5,15,1,0.15
METH__GPR125,15,1,0.15
TPM__RASAL2,15,0,0.15
TPM__SEPTIN6,15,0,0.15
TPM__RFXAP,15,1,0.15
TPM__RHPN2,15,2,0.15
TPM__ANKLE1,15,2,0.15
TPM__CD38,15,0,0.15
TPM__LINC00511,15,0,0.15
TPM__KLF5,15,1,0.15
METH__MIR142,15,0,0.15
METH__CRIM1,15,0,0.15
METH__GULP1,15,1,0.15
TPM__F2RL1,15,5,0.15
TPM__DSTN,15,3,0.15
METH__RAVER1,15,0,0.15
TPM__CEP170B,15,0,0.15
TPM__FAM114A1,15,0,0.15
TPM__CUEDC1,15,0,0.15
TPM__NECTIN2,15,2,0.15
TPM__INPP5D,14,0,0.14
METH__STK3,14,2,0.14
METH__YOD1,14,2,0.14
TPM__S100A6,14,0,0.14
