feature,Selection count,Pair count,CPSS Score
METH__SPIN1,100,50,1.0
METH__FAT1,100,50,1.0
METH__C14orf128,100,50,1.0
METH__LCA5,100,50,1.0
METH__GATA6,100,50,1.0
METH__KLF4,100,50,1.0
METH__MRPS35,100,50,1.0
METH__ATP6V1D,100,50,1.0
METH__TPX2,99,49,0.99
METH__ZNF224,98,48,0.98
METH__PTPN21,96,46,0.96
METH__TARS,96,46,0.96
METH__PCLO,95,45,0.95
TPM__SNORA80E,94,44,0.94
METH__SSU72,94,44,0.94
METH__TSPAN9,93,43,0.93
METH__SKI,90,40,0.9
TPM__SNORA72,90,40,0.9
CNV__ARHGEF12,89,39,0.89
CNV__KCNJ5,87,37,0.87
METH__TMEM150A,86,36,0.86
METH__C7orf70,85,36,0.85
TPM__TMSB4XP1,85,35,0.85
CNV__LATS2,83,33,0.83
METH__AHI1,83,33,0.83
CNV__CDKN2A,82,33,0.82
MUT__KRAS,80,31,0.8
METH__DSN1,78,30,0.78
CNV__FLI1,77,27,0.77
CNV__SDHAF2,76,27,0.76
TPM__SNORD10,75,26,0.75
TPM__SCARNA4,75,26,0.75
CNV__ZMYM2,74,27,0.74
CNV__DOT1L,73,23,0.73
METH__PTCD2,73,23,0.73
METH__RAPH1,73,26,0.73
METH__PTPN12,71,21,0.71
CNV__WRN,71,23,0.71
METH__MEAF6,70,24,0.7
CNV__NRG1,66,18,0.66
METH__IFIH1,66,18,0.66
TPM__SNORA71A,65,20,0.65
CNV__TCF3,64,17,0.64
CNV__PARP4,64,21,0.64
METH__HDAC2,62,16,0.62
METH__ADAM9,62,15,0.62
CNV__ZNF429,59,14,0.59
CNV__STK11,58,11,0.58
METH__RAB3A,57,14,0.57
CNV__FSTL3,57,12,0.57
TPM__RNA5SP323,57,14,0.57
METH__ANKRD10,56,13,0.56
METH__MFAP3,56,13,0.56
CNV__EPAS1,53,11,0.53
METH__TROAP,53,10,0.53
METH__TMEM208,52,13,0.52
CNV__SMARCE1,52,9,0.52
METH__CDKN2AIP,51,11,0.51
CNV__CCR7,51,8,0.51
CNV__FLT3,50,9,0.5
CNV__SH3GL1,50,8,0.5
METH__PPID,50,2,0.5
CNV__ZNF208,49,10,0.49
CNV__ZNF626,49,7,0.49
CNV__GNA11,48,9,0.48
METH__DDX42,48,9,0.48
CNV__PCBP1,48,9,0.48
METH__PRKCE,48,7,0.48
METH__COPB2,46,8,0.46
METH__RFC2,46,6,0.46
METH__DOCK4,45,6,0.45
METH__ZNF277,45,5,0.45
CNV__SOS1,45,5,0.45
CNV__EML4,45,8,0.45
CNV__FUS,44,5,0.44
CNV__ZNF93,43,8,0.43
METH__ZFAND5,43,6,0.43
METH__TM2D2,42,2,0.42
CNV__DDB2,42,6,0.42
TPM__SNORA71D,41,5,0.41
CNV__XPO1,40,4,0.4
METH__AZI2,40,5,0.4
CNV__MAP2K2,40,7,0.4
TPM__SNORA80B,39,7,0.39
CNV__HNF1A,38,3,0.38
CNV__PRR14,38,3,0.38
MUT__EZH2,37,1,0.37
CNV__BRD3,37,5,0.37
CNV__DCTN1,37,6,0.37
MUT__PTEN,36,3,0.36
METH__PDXP,36,5,0.36
CNV__HTRA2,36,5,0.36
TPM__RNA5SP216,35,2,0.35
CNV__BCL10,35,4,0.35
CNV__RNF6,35,3,0.35
CNV__LCK,35,4,0.35
METH__STXBP4,34,2,0.34
CNV__PRKCB,34,3,0.34
MUT__PIK3CA,34,2,0.34
METH__PRMT7,33,5,0.33
CNV__CDX2,33,4,0.33
CNV__BCL11A,33,5,0.33
MUT__HLA-B,33,2,0.33
