feature,Selection count,Pair count,CPSS Score
TPM__BCAR1,100,50,1.0
TPM__ERBB2,100,50,1.0
TPM__SH3D19,100,50,1.0
METH__FAM47E,100,50,1.0
TPM__EPHA2-AS1,100,50,1.0
TPM__IRAG2,100,50,1.0
TPM__MATN3,100,50,1.0
TPM__PDE1B,100,50,1.0
TPM__TAX1BP3,100,50,1.0
TPM__LINC01836,100,50,1.0
METH__GPX8,100,50,1.0
TPM__HRCT1,100,50,1.0
METH__DDAH1,100,50,1.0
METH__SGEF,100,50,1.0
TPM__LINC00857,100,50,1.0
METH__PPIC,100,50,1.0
METH__CYR61,100,50,1.0
TPM__IL12RB1,100,50,1.0
TPM__MANCR,100,50,1.0
TPM__NCKAP1L,100,50,1.0
TPM__GPX8,100,50,1.0
METH__C9orf150,100,50,1.0
TPM__BMS1P23,100,50,1.0
TPM__ZBTB45P2,100,50,1.0
METH__DSTN,100,50,1.0
METH__PTPN14,100,50,1.0
TPM__SLC66A1LP,100,50,1.0
METH__PRSS48,100,50,1.0
TPM__WAS,100,50,1.0
METH__CCDC12,99,49,0.99
METH__TRIM3,97,47,0.97
METH__NUDT16,97,47,0.97
METH__WDR93,97,47,0.97
TPM__CGB8,97,47,0.97
METH__TIMM8B,96,46,0.96
CNV__DDX6,94,44,0.94
METH__TEAD4,93,43,0.93
METH__ADAMTSL4,90,40,0.9
METH__NR4A2,88,38,0.88
METH__ZNF697,87,37,0.87
METH__ZNF227,82,32,0.82
METH__MIR2110,78,28,0.78
METH__COTL1,75,29,0.75
TPM__CYCSP6,70,23,0.7
METH__ATP6V1D,68,25,0.68
METH__TPX2,67,20,0.67
METH__EFNA5,65,18,0.65
MUT__KRAS,64,15,0.64
CNV__MEN1,61,18,0.61
METH__CENPQ,60,14,0.6
CNV__CD74,60,13,0.6
METH__SLC19A2,60,14,0.6
METH__PIM1,56,15,0.56
METH__MUT,53,13,0.53
CNV__MARK2,50,9,0.5
MUT__BRAF,49,9,0.49
TPM__RNA5SP187,47,10,0.47
CNV__FLT4,44,7,0.44
METH__RASA2,44,8,0.44
METH__SKI,44,7,0.44
METH__PELP1,43,8,0.43
CNV__MYB,43,10,0.43
CNV__PLAG1,42,8,0.42
CNV__WNK2,42,7,0.42
METH__WDHD1,42,8,0.42
CNV__NSD1,39,4,0.39
CNV__AKT2,38,4,0.38
CNV__CHCHD7,38,5,0.38
METH__RAPH1,36,4,0.36
CNV__ELK4,36,6,0.36
METH__TCEB1,36,3,0.36
METH__FOXO3,36,3,0.36
CNV__HMGA1,34,4,0.34
CNV__IRF4,34,5,0.34
TPM__SNORA2A,31,4,0.31
METH__GNL2,31,1,0.31
CNV__PDGFRB,31,3,0.31
METH__CCDC76,30,2,0.3
CNV__BCL11A,30,4,0.3
CNV__MDM4,30,2,0.3
CNV__SOX17,29,3,0.29
METH__PLAGL2,27,3,0.27
METH__ZNF271,26,0,0.26
CNV__ERCC1,26,1,0.26
CNV__FGFR2,26,4,0.26
CNV__XPO1,26,3,0.26
CNV__ZNF780A,26,0,0.26
CNV__KMT2C,26,1,0.26
CNV__CDC73,25,2,0.25
METH__YIPF5,25,1,0.25
CNV__H3-3A,24,4,0.24
