feature,selection_count,pair_count,cpss_score,r2,spearman,mutual_info,unimodal,diptest_pvalue,threshold_type,threshold_value,above_threshold
TPM__SHISA4,100,50,1.0,0.17000000178813934,0.43,0.2,True,1.0,unimodal,0.71,True
TPM__PLPP2,100,50,1.0,0.15000000596046448,0.38,0.2,True,1.0,unimodal,0.71,True
TPM__KRT8P36,100,50,1.0,0.07999999821186066,0.36,0.19,True,1.0,unimodal,0.71,True
METH__TJP1,100,50,1.0,0.2199999988079071,-0.44,0.19,True,1.0,unimodal,0.71,True
TPM__LAMB2,100,50,1.0,0.2199999988079071,0.45,0.22,True,1.0,unimodal,0.71,True
TPM__NCKAP1L,100,50,1.0,0.18000000715255737,-0.33,0.19,True,1.0,unimodal,0.71,True
TPM__PIK3CG,100,50,1.0,0.12999999523162842,-0.23,0.23,True,1.0,unimodal,0.71,True
TPM__NIBAN2,100,50,1.0,0.2199999988079071,0.48,0.22,True,1.0,unimodal,0.71,True
METH__LAMB2,100,50,1.0,0.15000000596046448,-0.2,0.22,True,1.0,unimodal,0.71,True
TPM__PRSS23,100,50,1.0,0.2199999988079071,0.49,0.21,True,1.0,unimodal,0.71,True
TPM__SH3TC2-DT,100,50,1.0,0.07999999821186066,0.44,0.22,True,1.0,unimodal,0.71,True
TPM__AMOTL2,100,50,1.0,0.20999999344348907,0.44,0.2,True,1.0,unimodal,0.71,True
TPM__KRT15,100,50,1.0,0.07000000029802322,0.41,0.2,True,1.0,unimodal,0.71,True
TPM__IRAG2,100,50,1.0,0.1599999964237213,-0.3,0.2,True,1.0,unimodal,0.71,True
METH__EIF3K,100,50,1.0,0.17000000178813934,0.39,0.2,True,1.0,unimodal,0.71,True
TPM__PARVA,100,50,1.0,0.1899999976158142,0.41,0.2,True,1.0,unimodal,0.71,True
METH__THBS1,100,50,1.0,0.20000000298023224,-0.44,0.22,True,1.0,unimodal,0.71,True
TPM__TMEM171,100,50,1.0,0.07999999821186066,0.36,0.2,True,1.0,unimodal,0.71,True
TPM__GPR39,100,50,1.0,0.20000000298023224,0.48,0.2,True,1.0,unimodal,0.71,True
TPM__CORO1A,100,50,1.0,0.17000000178813934,-0.39,0.2,True,1.0,unimodal,0.71,True
TPM__DOCK2,100,50,1.0,0.11999999731779099,-0.26,0.2,True,1.0,unimodal,0.71,True
TPM__NCKAP1,100,50,1.0,0.17000000178813934,0.34,0.2,True,1.0,unimodal,0.71,True
TPM__DSP-AS1,100,50,1.0,0.03999999910593033,0.32,0.21,True,1.0,unimodal,0.71,True
TPM__CD53,100,50,1.0,0.1899999976158142,-0.32,0.21,True,1.0,unimodal,0.71,True
METH__IL10,100,50,1.0,0.12999999523162842,0.34,0.21,True,1.0,unimodal,0.71,True
TPM__SLC35D2,100,50,1.0,0.20000000298023224,0.41,0.2,True,1.0,unimodal,0.71,True
TPM__MATN3,100,50,1.0,0.10999999940395355,0.44,0.22,True,1.0,unimodal,0.71,True
TPM__SLC49A4,100,50,1.0,0.11999999731779099,0.34,0.21,True,1.0,unimodal,0.71,True
TPM__MIR142HG,100,50,1.0,0.20000000298023224,-0.31,0.24,True,1.0,unimodal,0.71,True
TPM__IKZF1,100,50,1.0,0.20000000298023224,-0.36,0.25,True,1.0,unimodal,0.71,True
METH__PRIC285,100,50,1.0,0.18000000715255737,0.39,0.25,True,1.0,unimodal,0.71,True
TPM__PPP1R16B,99,49,0.99,0.1599999964237213,-0.36,0.22,True,1.0,unimodal,0.71,True
TPM__FCHO2,99,49,0.99,0.1599999964237213,0.37,0.19,True,1.0,unimodal,0.71,True
TPM__SLC44A3,99,49,0.99,0.07000000029802322,0.33,0.2,True,1.0,unimodal,0.71,True
METH__GAS2L3,99,49,0.99,0.17000000178813934,-0.41,0.19,True,1.0,unimodal,0.71,True
METH__GPR39,99,49,0.99,0.15000000596046448,-0.31,0.21,True,1.0,unimodal,0.71,True
TPM__PDE1B,98,48,0.98,0.15000000596046448,-0.36,0.22,True,1.0,unimodal,0.71,True
METH__CCM2,95,45,0.95,0.1899999976158142,0.38,0.25,True,0.458,unimodal,0.71,True
METH__C9orf150,94,44,0.94,0.15000000596046448,-0.31,0.24,True,0.181,unimodal,0.71,True
METH__PTPRCAP,91,41,0.91,0.17000000178813934,0.35,0.24,False,0.002,worst_case,0.8918367346938776,True
METH__RAVER1,91,41,0.91,0.14000000059604645,-0.28,0.22,False,0.002,worst_case,0.8918367346938776,True
METH__GALNT11,90,40,0.9,0.15000000596046448,-0.32,0.23,False,0.0,worst_case,0.8918367346938776,True
