feature,Selection count,Pair count,CPSS Score
TPM__TM4SF1,100,50,1.0
TPM__PSORS1C1,100,50,1.0
TPM__NPAS2,100,50,1.0
TPM__GMFG,100,50,1.0
TPM__ITGA3,100,50,1.0
TPM__GPR39,100,50,1.0
TPM__SDC4,100,50,1.0
TPM__GPRC5A,100,50,1.0
TPM__NCKAP1L,100,50,1.0
TPM__MET,100,50,1.0
TPM__RHOH,100,50,1.0
TPM__MIR142HG,100,50,1.0
TPM__NHSL3,100,50,1.0
TPM__TNFRSF12A,100,50,1.0
TPM__ANKLE1,100,50,1.0
METH__BZRAP1,100,50,1.0
TPM__CTTN,100,50,1.0
TPM__PPIC,100,50,1.0
TPM__ARHGAP9,100,50,1.0
TPM__KRT18,100,50,1.0
TPM__LMNA,100,50,1.0
TPM__BCAR1,100,50,1.0
TPM__SGMS2,100,50,1.0
TPM__AHNAK2,100,50,1.0
TPM__PRSS23,100,50,1.0
TPM__RASAL2,100,50,1.0
TPM__BAIAP2,100,50,1.0
TPM__KRT80,99,49,0.99
TPM__MYOF,99,49,0.99
METH__ANKRD44,99,49,0.99
TPM__IRAG2,99,49,0.99
TPM__ARHGAP29,99,49,0.99
METH__PKN1,99,49,0.99
TPM__LINC01843,98,48,0.98
TPM__DNAH5,98,48,0.98
TPM__IKZF1,98,48,0.98
TPM__WAS,98,48,0.98
TPM__CD53,98,48,0.98
TPM__TRAF3IP3,98,48,0.98
TPM__ARHGAP30,97,47,0.97
TPM__MANCR,97,47,0.97
TPM__ARSJ,97,47,0.97
TPM__PIK3CG,97,47,0.97
TPM__GIPC1,97,47,0.97
TPM__MAP4K1,96,46,0.96
TPM__PDK4,96,46,0.96
METH__PTPRCAP,96,46,0.96
METH__MAP4K1,96,46,0.96
TPM__PDE1B,95,45,0.95
TPM__EPHA2-AS1,94,44,0.94
TPM__LRRC49,94,44,0.94
METH__TJP1,94,44,0.94
METH__TCF3,93,43,0.93
TPM__TMEM171,93,43,0.93
METH__JUB,91,41,0.91
METH__KRI1,91,41,0.91
