feature,Selection count,Pair count,CPSS Score
TPM__OSR1,87,37,0.87
TPM__LYPD1,79,29,0.79
TPM__PPP1R26-AS1,77,28,0.77
TPM__FAM114A1,76,27,0.76
METH__GHRL,71,23,0.71
TPM__AKNA,71,22,0.71
TPM__AK1,71,22,0.71
METH__LAPTM4A,66,21,0.66
TPM__ADAMTS9,65,18,0.65
METH__HCST,54,11,0.54
METH__RGS14,54,11,0.54
TPM__RPLP0,53,12,0.53
TPM__MIPOL1,53,10,0.53
TPM__TMEM171,52,7,0.52
TPM__ELMO1,51,5,0.51
TPM__MSL2,50,7,0.5
TPM__OBI1,50,8,0.5
TPM__IGFBP6,45,7,0.45
TPM__PLCG2,43,6,0.43
TPM__GNG10,41,4,0.41
METH__C6orf168,41,4,0.41
TPM__CA9,40,2,0.4
TPM__REPS2,39,2,0.39
TPM__RHOH,39,6,0.39
TPM__NHSL3,39,1,0.39
TPM__CALD1,38,2,0.38
METH__C19orf38,37,3,0.37
TPM__HOXA2,37,4,0.37
TPM__MYG1-AS1,35,2,0.35
METH__HLCS,34,4,0.34
TPM__MAP3K4,34,0,0.34
METH__CACNA1D,32,4,0.32
TPM__CDKN1C,32,3,0.32
TPM__CLDN12,31,3,0.31
TPM__GJB2,29,1,0.29
METH__FAM86C,24,0,0.24
TPM__PAPLN,24,1,0.24
METH__DSTN,23,1,0.23
TPM__ZMIZ1,23,0,0.23
TPM__ENKD1,23,1,0.23
TPM__HTR7P1,23,0,0.23
METH__HS3ST1,23,0,0.23
TPM__SBF2,21,2,0.21
TPM__RPL27A,21,2,0.21
TPM__NPTXR,20,2,0.2
TPM__AP5S1,20,2,0.2
METH__PTPRK,19,1,0.19
TPM__FHIP1A,19,1,0.19
TPM__BCL9L,19,0,0.19
TPM__AP4M1,18,0,0.18
METH__C1orf228,18,0,0.18
TPM__MAGED2,18,3,0.18
METH__CNKSR3,17,0,0.17
TPM__KDM5C,17,1,0.17
METH__LOC283867,17,0,0.17
METH__PCDH1,16,1,0.16
TPM__NPM1P7,15,1,0.15
TPM__EPN2,14,0,0.14
TPM__BFSP1,12,0,0.12
TPM__RPL6,12,0,0.12
METH__SLITRK3,12,1,0.12
METH__VSTM2L,12,0,0.12
TPM__AFAP1,12,0,0.12
TPM__HOXC-AS1,11,0,0.11
TPM__HMGA1,11,0,0.11
TPM__APP,11,0,0.11
METH__ZXDC,11,0,0.11
METH__OR6W1P,10,0,0.1
TPM__STRBP,10,0,0.1
METH__UMODL1,10,0,0.1
TPM__RLN2,9,0,0.09
TPM__CNNM1,9,1,0.09
TPM__GARIN5A,9,0,0.09
METH__G0S2,9,0,0.09
METH__RPL8,8,0,0.08
METH__BRSK2,8,0,0.08
TPM__SLC25A42,8,0,0.08
TPM__H2AJ,7,0,0.07
TPM__DCAF6,7,0,0.07
METH__LOC221710,7,0,0.07
METH__ZNF790,7,0,0.07
METH__MYO18A,6,0,0.06
METH__CXCL3,5,0,0.05
METH__DMPK,5,0,0.05
TPM__ST3GAL6,5,0,0.05
TPM__OGG1,4,0,0.04
TPM__IPO4,4,0,0.04
METH__GJA1,3,0,0.03
TPM__LINC00899,3,0,0.03
METH__HSD11B1L,3,0,0.03
METH__PALM,3,0,0.03
METH__PCGF2,3,0,0.03
METH__POLR3K,3,0,0.03
METH__AADACL2,3,0,0.03
METH__KIAA0564,2,0,0.02
TPM__KRT5,2,0,0.02
TPM__SARS1,2,0,0.02
METH__TP53BP2,2,0,0.02
METH__LRRC50,2,0,0.02
TPM__LMX1B,2,0,0.02
TPM__SPOCK1,2,0,0.02
METH__MEAF6,2,0,0.02
TPM__PEX7,2,0,0.02
METH__UBE2B,2,0,0.02
METH__C9orf122,1,0,0.01
METH__TMEM134,1,0,0.01
TPM__PTCHD3P1,1,0,0.01
CNV__BRIP1,1,0,0.01
METH__C12orf56,1,0,0.01
METH__SUPT4H1,1,0,0.01
METH__ABHD15,1,0,0.01
METH__C20orf12,1,0,0.01
METH__UST,1,0,0.01
METH__ZNF326,1,0,0.01
METH__TUBB2C,0,0,0.0
METH__UBR3,0,0,0.0
METH__KCTD21,0,0,0.0
METH__PLCG2,0,0,0.0
METH__SNRNP25,0,0,0.0
METH__HEATR5B,0,0,0.0
METH__NOP2,0,0,0.0
METH__WDR91,0,0,0.0
CNV__MLLT10,0,0,0.0
METH__SNORD8,0,0,0.0
METH__STAU1,0,0,0.0
TPM__RNU1-72P,0,0,0.0
METH__RAD1,0,0,0.0
METH__DLGAP4,0,0,0.0
METH__SNORD84,0,0,0.0
TPM__SNORA51,0,0,0.0
METH__ZNF543,0,0,0.0
METH__ZNF202,0,0,0.0
METH__SNORD115-22,0,0,0.0
METH__ANKRD16,0,0,0.0
METH__ETV4,0,0,0.0
METH__LOC642846,0,0,0.0
METH__SLC39A3,0,0,0.0
METH__ARFGEF2,0,0,0.0
METH__PARP4,0,0,0.0
