feature,selection_count,pair_count,cpss_score,r2,spearman,mutual_info,unimodal,diptest_pvalue,threshold_type,threshold_value,above_threshold
METH__ZNF414,100,50,1.0,0.07000000029802322,0.12,0.23,True,1.0,unimodal,0.71,True
METH__PSMB8,100,50,1.0,0.05000000074505806,0.28,0.2,True,1.0,unimodal,0.71,True
METH__LRP6,100,50,1.0,0.07000000029802322,-0.22,0.21,True,1.0,unimodal,0.71,True
METH__WIBG,100,50,1.0,0.12999999523162842,0.34,0.2,True,1.0,unimodal,0.71,True
TPM__NCKAP1L,100,50,1.0,0.17000000178813934,-0.25,0.2,True,1.0,unimodal,0.71,True
METH__LRIG3,100,50,1.0,0.11999999731779099,-0.24,0.22,True,1.0,unimodal,0.71,True
TPM__IKZF1,100,50,1.0,0.18000000715255737,-0.25,0.23,True,1.0,unimodal,0.71,True
TPM__H2BP1,100,50,1.0,0.029999999329447746,0.19,0.22,True,1.0,unimodal,0.71,True
METH__MIR1469,100,50,1.0,0.14000000059604645,-0.26,0.21,True,1.0,unimodal,0.71,True
METH__LNPEP,100,50,1.0,0.10999999940395355,0.21,0.21,True,1.0,unimodal,0.71,True
TPM__MIR142HG,100,50,1.0,0.20000000298023224,-0.28,0.22,True,1.0,unimodal,0.71,True
METH__IQCB1,99,49,0.99,0.07999999821186066,0.25,0.22,True,1.0,unimodal,0.71,True
METH__WASF3,98,48,0.98,0.05999999865889549,-0.25,0.22,True,1.0,unimodal,0.71,True
METH__ERCC3,96,46,0.96,0.07000000029802322,0.14,0.21,True,0.832,unimodal,0.71,True
METH__UGGT2,96,46,0.96,0.05999999865889549,-0.21,0.2,True,0.832,unimodal,0.71,True
METH__C7orf70,95,45,0.95,0.05999999865889549,0.14,0.22,True,0.458,unimodal,0.71,True
METH__ARHGEF12,93,43,0.93,0.03999999910593033,-0.22,0.22,True,0.053,unimodal,0.71,True
METH__SNORA12,92,42,0.92,0.05000000074505806,0.1,0.19,False,0.013,worst_case,0.8960016835016835,True
