feature,selection_count,pair_count,cpss_score,r2,spearman,mutual_info,unimodal,diptest_pvalue
METH__C9orf150,100,50,1.0,0.05000000074505806,-0.17,0.18,True,1.0
MUT__KRAS,99,49,0.99,0.029999999329447746,0.14,0.26,True,1.0
METH__ZNF697,96,46,0.96,0.03999999910593033,-0.15,0.18,True,0.832
CNV__PAK2,95,45,0.95,0.029999999329447746,0.18,0.18,True,0.458
MUT__PTEN,92,42,0.92,0.019999999552965164,-0.15,0.26,False,0.013
CNV__ZMYM2,91,41,0.91,0.009999999776482582,0.08,0.19,False,0.002
METH__CMTM1,88,38,0.88,0.009999999776482582,0.13,0.19,False,0.0
CNV__NFKBIA,88,38,0.88,0.009999999776482582,0.2,0.18,False,0.0
CNV__NKX2-1,87,37,0.87,0.009999999776482582,0.19,0.19,False,0.0
TPM__SNORA2B,85,35,0.85,0.019999999552965164,-0.12,0.18,False,0.0
CNV__KRAS,83,33,0.83,0.0,0.2,0.19,False,0.0
CNV__ARHGAP5,82,33,0.82,0.0,0.2,0.19,False,0.0
TPM__SNORA16B,81,31,0.81,0.019999999552965164,-0.14,0.21,False,0.0
CNV__TERT,80,32,0.8,0.0,0.15,0.17,False,0.0
CNV__BCL9L,78,29,0.78,0.019999999552965164,0.18,0.21,False,0.0
CNV__SALL4,78,30,0.78,0.029999999329447746,0.18,0.19,False,0.0
CNV__PLCB4,77,30,0.77,0.0,0.06,0.2,False,0.0
TPM__SNORA72,77,28,0.77,0.0,-0.01,0.18,False,0.0
METH__DDX50,76,27,0.76,0.019999999552965164,-0.1,0.19,False,0.0
CNV__STRN,76,27,0.76,0.019999999552965164,0.19,0.18,False,0.0
CNV__LATS2,76,28,0.76,0.009999999776482582,0.07,0.2,False,0.0
CNV__POU2AF1,76,26,0.76,0.0,0.14,0.2,False,0.0
TPM__SNORA80A,72,23,0.72,0.009999999776482582,0.07,0.19,False,0.0
METH__CLASP1,72,24,0.72,0.009999999776482582,0.1,0.18,False,0.0
CNV__EML4,72,24,0.72,0.029999999329447746,0.2,0.18,False,0.0
CNV__PICALM,71,25,0.71,0.019999999552965164,0.16,0.18,False,0.0
TPM__SNORA20,71,24,0.71,0.009999999776482582,-0.09,0.19,False,0.0
CNV__HGF,71,22,0.71,0.0,0.07,0.19,False,0.0
CNV__ABCB1,71,23,0.71,0.009999999776482582,0.1,0.2,False,0.0
CNV__KMT2A,70,27,0.7,0.019999999552965164,0.18,0.22,False,0.0
CNV__KCNJ5,69,21,0.69,0.019999999552965164,0.16,0.22,False,0.0
CNV__TFG,68,18,0.68,0.019999999552965164,0.17,0.18,False,0.0
CNV__FLI1,67,20,0.67,0.019999999552965164,0.16,0.22,False,0.0
CNV__DDX6,67,21,0.67,0.019999999552965164,0.18,0.21,False,0.0
