feature,Selection count,Pair count,CPSS Score
METH__DSTN,100,50,1.0
TPM__PRSS23,100,50,1.0
METH__SAMD4A,100,50,1.0
METH__TMEM149,100,50,1.0
METH__CCDC12,100,50,1.0
TPM__TM4SF18,100,50,1.0
METH__TMEM160,100,50,1.0
METH__THOC6,100,50,1.0
TPM__PTPN7,100,50,1.0
TPM__NCKAP1L,100,50,1.0
METH__C1orf97,100,50,1.0
METH__NFIB,100,50,1.0
METH__LNPEP,100,50,1.0
METH__C14orf153,100,50,1.0
TPM__SYTL4,100,50,1.0
METH__C6orf217,100,50,1.0
METH__ABHD10,100,50,1.0
METH__GPX8,100,50,1.0
METH__C14orf128,100,50,1.0
METH__SPAG9,100,50,1.0
METH__GULP1,100,50,1.0
METH__CCM2,100,50,1.0
TPM__ARSJ,100,50,1.0
TPM__COL8A1,100,50,1.0
METH__ITGB8,99,49,0.99
TPM__PIK3CG,99,49,0.99
METH__KLF4,98,48,0.98
METH__GINS3,98,48,0.98
METH__ZNF434,96,46,0.96
METH__EFNA5,95,45,0.95
METH__WIBG,92,42,0.92
METH__TGIF1,91,41,0.91
METH__MIR1915,88,38,0.88
METH__SP110,86,39,0.86
METH__PRR13,86,36,0.86
METH__ATP6V1D,77,30,0.77
METH__IFIH1,76,26,0.76
METH__C9orf30,75,26,0.75
METH__DCAF12,73,24,0.73
METH__AHI1,72,25,0.72
METH__MIR1296,70,21,0.7
METH__PBX1,67,21,0.67
METH__HDAC2,66,20,0.66
METH__GIT2,64,19,0.64
METH__SLC19A2,64,19,0.64
METH__DUSP6,63,17,0.63
METH__AGPHD1,63,20,0.63
TPM__SNORA80B,59,17,0.59
METH__SPRED1,55,10,0.55
METH__FOXO3,55,12,0.55
CNV__PML,51,8,0.51
CNV__EP300,50,8,0.5
METH__C12orf41,50,11,0.5
METH__C9orf140,50,11,0.5
CNV__NF2,49,8,0.49
METH__CLDND1,49,9,0.49
METH__TMTC3,49,8,0.49
METH__RPS6KA4,49,9,0.49
METH__CETN3,46,3,0.46
CNV__RBM15,46,8,0.46
METH__C1orf57,45,10,0.45
METH__SEC22A,45,7,0.45
METH__ARMC10,45,9,0.45
CNV__RELA,44,8,0.44
METH__RTTN,43,9,0.43
METH__PHRF1,42,7,0.42
CNV__SIN3A,42,8,0.42
METH__EIF4H,42,8,0.42
CNV__MYH9,41,4,0.41
CNV__ZNRF3,41,5,0.41
METH__SNORA34,40,6,0.4
METH__TMED4,40,8,0.4
CNV__KRAS,40,3,0.4
CNV__TP53,39,4,0.39
TPM__SNORA33,39,7,0.39
CNV__MAP2K1,39,8,0.39
METH__EIF4G2,39,4,0.39
METH__NAA15,38,2,0.38
METH__CWC15,37,1,0.37
METH__MIR1291,37,5,0.37
CNV__ABI1,37,4,0.37
METH__SUV420H2,37,4,0.37
CNV__ACKR3,36,3,0.36
CNV__KIF5B,35,5,0.35
CNV__ATR,34,7,0.34
CNV__ZEB1,34,5,0.34
CNV__CNBP,34,6,0.34
METH__PIGT,33,3,0.33
METH__POM121,33,3,0.33
METH__POLB,32,6,0.32
METH__RPL23AP7,32,4,0.32
CNV__FUS,32,5,0.32
CNV__MN1,32,1,0.32
CNV__PDGFB,32,2,0.32
METH__LOC390595,31,3,0.31
CNV__CARS1,30,2,0.3
CNV__NRP1,30,2,0.3
CNV__RPL5,30,5,0.3
CNV__CHEK2,29,1,0.29
CNV__SRSF3,29,3,0.29
METH__DIAPH1,29,5,0.29
CNV__ERCC3,29,7,0.29
CNV__INO80,28,3,0.28
CNV__CXCR4,28,1,0.28
METH__C18orf10,28,4,0.28
CNV__CREB1,27,2,0.27
CNV__NUTM1,27,2,0.27
CNV__SMAD3,27,3,0.27
CNV__HERC2,27,2,0.27
CNV__TFG,27,3,0.27
METH__BLZF1,27,4,0.27
CNV__SF3B1,26,3,0.26
CNV__EWSR1,26,2,0.26
METH__SOX4,26,5,0.26
METH__EIF3H,26,3,0.26
METH__WDR91,26,0,0.26
CNV__MLLT1,25,1,0.25
CNV__NXF1,25,2,0.25
CNV__RASA2,25,2,0.25
CNV__TNC,25,4,0.25
CNV__HMGA1,24,2,0.24
CNV__FUBP1,24,2,0.24
CNV__PRKCB,24,1,0.24
CNV__FAT1,23,1,0.23
METH__EIF3D,23,1,0.23
CNV__TCF12,23,2,0.23
CNV__DCTN1,22,0,0.22
CNV__PALB2,22,3,0.22
CNV__MYO5A,22,4,0.22
METH__KIF27,22,1,0.22
CNV__NEFH,22,3,0.22
CNV__DDB2,22,3,0.22
CNV__KNL1,22,2,0.22
CNV__SMARCE1,21,2,0.21
CNV__XPA,21,3,0.21
CNV__ZBTB20,21,0,0.21
CNV__BIRC6,21,1,0.21
CNV__CREB3L1,21,0,0.21
METH__PPP2R5E,21,1,0.21
CNV__BMPR2,21,2,0.21
CNV__RAD51D,20,1,0.2
CNV__NF1,20,2,0.2
CNV__NUP98,20,0,0.2
METH__MAP3K10,20,0,0.2
CNV__CDKN1A,20,3,0.2
CNV__CD79A,20,2,0.2
CNV__MEN1,20,2,0.2
CNV__RET,19,1,0.19
CNV__HTRA2,19,1,0.19
CNV__CCR7,19,2,0.19
METH__FAM72A,19,0,0.19
CNV__ERCC2,18,1,0.18
CNV__CASP8,18,2,0.18
CNV__B2M,18,2,0.18
CNV__SMAD2,18,1,0.18
METH__CDKN3,18,1,0.18
METH__SLC35A1,18,1,0.18
METH__MEX3C,18,1,0.18
METH__SHQ1,17,1,0.17
CNV__PPP6C,17,1,0.17
CNV__ETNK1,17,1,0.17
CNV__XPO1,17,2,0.17
CNV__BCL11A,17,2,0.17
CNV__SMARCB1,16,0,0.16
CNV__AKT2,16,3,0.16
METH__SEPSECS,16,1,0.16
CNV__ETV6,16,0,0.16
CNV__HRAS,16,2,0.16
CNV__TAF15,15,2,0.15
CNV__CBLB,15,3,0.15
METH__HARBI1,15,1,0.15
METH__ATAD2,15,0,0.15
CNV__STRN,15,3,0.15
METH__MTDH,14,1,0.14
CNV__ERC1,14,1,0.14
CNV__TBX3,14,1,0.14
CNV__EML4,14,2,0.14
METH__HDHD1A,14,0,0.14
CNV__SH2B3,14,1,0.14
CNV__FIP1L1,14,2,0.14
CNV__MAP2,14,0,0.14
CNV__NOTCH2,14,0,0.14
CNV__ACVR2A,14,1,0.14
CNV__JUN,13,1,0.13
METH__CWC22,13,1,0.13
CNV__USP8,13,0,0.13
CNV__BCR,13,1,0.13
CNV__BUB1B,13,0,0.13
CNV__CDC73,13,0,0.13
CNV__PPFIBP1,13,1,0.13
CNV__NFE2L2,13,0,0.13
METH__CEP70,13,0,0.13
METH__DPY19L3,13,1,0.13
CNV__KDM5A,13,0,0.13
CNV__CBLC,13,1,0.13
CNV__PCBP1,13,1,0.13
METH__PPA1,13,0,0.13
CNV__SETBP1,13,1,0.13
CNV__ZNF780A,12,2,0.12
CNV__HOXD13,12,1,0.12
MUT__KMT2D,12,0,0.12
METH__DIRC2,12,0,0.12
METH__CHAC2,12,1,0.12
CNV__AFF3,12,0,0.12
CNV__RANBP2,12,0,0.12
CNV__DTX1,12,1,0.12
CNV__EPAS1,12,0,0.12
CNV__ASXL2,12,0,0.12
CNV__ERCC1,12,0,0.12
METH__EIF2B5,12,0,0.12
CNV__STAT3,11,0,0.11
CNV__CIC,11,0,0.11
CNV__ESRRA,11,1,0.11
METH__GOLIM4,11,0,0.11
METH__SLC30A5,11,0,0.11
CNV__FANCF,11,0,0.11
CNV__CHD4,11,1,0.11
CNV__SUZ12,11,0,0.11
METH__CUL3,10,0,0.1
CNV__PMS1,10,1,0.1
CNV__POU2F2,10,1,0.1
METH__ATAD3A,10,0,0.1
CNV__NCOA1,10,1,0.1
CNV__LRP1B,10,0,0.1
METH__SNORD25,10,0,0.1
CNV__PTPN11,10,0,0.1
CNV__PTPN6,10,0,0.1
METH__SCARNA13,10,0,0.1
CNV__DNMT3A,9,0,0.09
CNV__LMO1,9,0,0.09
CNV__PTCH1,9,0,0.09
METH__NAB2,9,0,0.09
METH__TAF6,9,0,0.09
CNV__STAT5B,9,0,0.09
CNV__FANCL,9,1,0.09
METH__ROCK1,9,1,0.09
METH__NIF3L1,9,0,0.09
CNV__ZNF384,9,0,0.09
CNV__KLF4,8,0,0.08
CNV__CDK4,8,0,0.08
CNV__CCND2,8,0,0.08
CNV__TLL1,8,1,0.08
CNV__ATF7IP,8,0,0.08
CNV__REL,8,0,0.08
METH__PKN2,8,0,0.08
CNV__LMO2,8,1,0.08
