feature,selection_count,pair_count,cpss_score,r2,spearman,mutual_info,unimodal,diptest_pvalue,threshold_type,threshold_value,above_threshold
TPM__IKZF1,100,50,1.0,0.28999999165534973,-0.27,0.25,True,1.0,unimodal,0.71,True
TPM__TEAD1,100,50,1.0,0.25,0.37,0.23,True,1.0,unimodal,0.71,True
TPM__ARHGAP30,100,50,1.0,0.23000000417232513,-0.24,0.21,True,1.0,unimodal,0.71,True
METH__BZRAP1,100,50,1.0,0.27000001072883606,0.4,0.2,True,1.0,unimodal,0.71,True
TPM__DOCK2,100,50,1.0,0.20000000298023224,-0.29,0.21,True,1.0,unimodal,0.71,True
TPM__DAG1,100,50,1.0,0.23000000417232513,0.42,0.25,True,1.0,unimodal,0.71,True
TPM__SNX21,100,50,1.0,0.1899999976158142,0.37,0.2,True,1.0,unimodal,0.71,True
TPM__ERRFI1,100,50,1.0,0.20999999344348907,0.38,0.2,True,1.0,unimodal,0.71,True
TPM__PTPRCAP,100,50,1.0,0.20999999344348907,-0.2,0.24,True,1.0,unimodal,0.71,True
TPM__IFNWP19,100,50,1.0,0.09000000357627869,0.36,0.21,True,1.0,unimodal,0.71,True
TPM__PTPN7,100,50,1.0,0.30000001192092896,-0.33,0.23,True,1.0,unimodal,0.71,True
METH__PIK3CG,100,50,1.0,0.1899999976158142,0.36,0.21,True,1.0,unimodal,0.71,True
TPM__PLBD1-AS1,100,50,1.0,0.07000000029802322,0.35,0.2,True,1.0,unimodal,0.71,True
TPM__WAS,100,50,1.0,0.3199999928474426,-0.39,0.23,True,1.0,unimodal,0.71,True
TPM__RCSD1,100,50,1.0,0.25,-0.22,0.2,True,1.0,unimodal,0.71,True
METH__MAP4K1,100,50,1.0,0.2199999988079071,0.39,0.23,True,1.0,unimodal,0.71,True
METH__MIR142,100,50,1.0,0.25,0.34,0.24,True,1.0,unimodal,0.71,True
METH__LOC100130776,100,50,1.0,0.2800000011920929,-0.4,0.21,True,1.0,unimodal,0.71,True
TPM__NCKAP1,100,50,1.0,0.25999999046325684,0.31,0.21,True,1.0,unimodal,0.71,True
METH__C9orf150,100,50,1.0,0.23000000417232513,-0.29,0.28,True,1.0,unimodal,0.71,True
METH__PSMB8,100,50,1.0,0.05999999865889549,0.3,0.22,True,1.0,unimodal,0.71,True
TPM__MIR142HG,100,50,1.0,0.28999999165534973,-0.31,0.26,True,1.0,unimodal,0.71,True
TPM__SERTAD4-AS1,100,50,1.0,0.12999999523162842,0.38,0.22,True,1.0,unimodal,0.71,True
TPM__DMBX1,100,50,1.0,0.05000000074505806,0.38,0.22,True,1.0,unimodal,0.71,True
TPM__PCDH1,100,50,1.0,0.1599999964237213,0.43,0.21,True,1.0,unimodal,0.71,True
TPM__PPIC,100,50,1.0,0.25999999046325684,0.46,0.2,True,1.0,unimodal,0.71,True
TPM__NCKAP1L,100,50,1.0,0.2800000011920929,-0.31,0.27,True,1.0,unimodal,0.71,True
TPM__ELMO1,100,50,1.0,0.1899999976158142,-0.33,0.21,True,1.0,unimodal,0.71,True
METH__MARVELD3,100,50,1.0,0.25,-0.43,0.22,True,1.0,unimodal,0.71,True
METH__CCM2,100,50,1.0,0.2800000011920929,0.4,0.25,True,1.0,unimodal,0.71,True
TPM__TJP1,100,50,1.0,0.2800000011920929,0.38,0.25,True,1.0,unimodal,0.71,True
METH__MGAT1,99,49,0.99,0.2199999988079071,0.38,0.2,True,1.0,unimodal,0.71,True
TPM__VAV1,99,49,0.99,0.10999999940395355,-0.22,0.2,True,1.0,unimodal,0.71,True
METH__LAMB2,99,49,0.99,0.2199999988079071,-0.2,0.2,True,1.0,unimodal,0.71,True
TPM__CTNND1,97,47,0.97,0.20000000298023224,0.38,0.23,True,0.992,unimodal,0.71,True
METH__ARHGEF10,96,46,0.96,0.20000000298023224,-0.27,0.26,True,0.832,unimodal,0.71,True
METH__SYDE1,96,46,0.96,0.20999999344348907,-0.31,0.24,True,0.832,unimodal,0.71,True
METH__ACTN1,96,46,0.96,0.18000000715255737,-0.32,0.22,True,0.832,unimodal,0.71,True
METH__MIPOL1,95,45,0.95,0.25999999046325684,-0.41,0.2,True,0.458,unimodal,0.71,True
METH__PPP1R13L,94,44,0.94,0.11999999731779099,-0.33,0.2,True,0.181,unimodal,0.71,True
TPM__PDE1B,93,43,0.93,0.2199999988079071,-0.35,0.22,True,0.053,unimodal,0.71,True
METH__LCA5,93,44,0.93,0.20999999344348907,-0.32,0.29,True,0.181,unimodal,0.71,True
METH__C14orf128,92,42,0.92,0.14000000059604645,-0.33,0.24,False,0.013,worst_case,0.8960016835016835,True
METH__EIF3K,90,41,0.9,0.20999999344348907,0.38,0.21,False,0.002,worst_case,0.8960016835016835,True
