feature,selection_count,pair_count,cpss_score,r2,spearman,mutual_info,unimodal,diptest_pvalue,threshold_type,threshold_value,above_threshold
METH__S100A2,100,50,1.0,0.1599999964237213,-0.48,0.33,True,1.0,unimodal,0.71,True
TPM__ITGA3,100,50,1.0,0.30000001192092896,0.56,0.25,True,1.0,unimodal,0.71,True
METH__FAT1,100,50,1.0,0.2199999988079071,-0.35,0.25,True,1.0,unimodal,0.71,True
METH__GPX4,100,50,1.0,0.09000000357627869,-0.41,0.29,True,1.0,unimodal,0.71,True
TPM__S100A16,100,50,1.0,0.23000000417232513,0.52,0.25,True,1.0,unimodal,0.71,True
METH__TMEM149,100,50,1.0,0.25999999046325684,0.37,0.24,True,1.0,unimodal,0.71,True
TPM__LINC02535,100,50,1.0,0.07999999821186066,0.48,0.25,True,1.0,unimodal,0.71,True
TPM__IKZF1,100,50,1.0,0.30000001192092896,-0.37,0.25,True,1.0,unimodal,0.71,True
TPM__PLK2,100,50,1.0,0.2199999988079071,0.51,0.25,True,1.0,unimodal,0.71,True
METH__CCM2,100,50,1.0,0.28999999165534973,0.37,0.29,True,1.0,unimodal,0.71,True
METH__GULP1,100,50,1.0,0.20999999344348907,-0.33,0.25,True,1.0,unimodal,0.71,True
METH__MTMR11,100,50,1.0,0.28999999165534973,-0.49,0.27,True,1.0,unimodal,0.71,True
METH__TJP1,100,50,1.0,0.28999999165534973,-0.46,0.25,True,1.0,unimodal,0.71,True
TPM__MYOF,100,50,1.0,0.30000001192092896,0.54,0.25,True,1.0,unimodal,0.71,True
TPM__ITGB5,100,50,1.0,0.28999999165534973,0.48,0.25,True,1.0,unimodal,0.71,True
METH__TMEM160,100,50,1.0,0.17000000178813934,-0.39,0.26,True,1.0,unimodal,0.71,True
METH__CCDC12,100,50,1.0,0.25,-0.39,0.26,True,1.0,unimodal,0.71,True
TPM__MIR142HG,100,50,1.0,0.27000001072883606,-0.28,0.28,True,1.0,unimodal,0.71,True
TPM__BCL2,100,50,1.0,0.4000000059604645,-0.48,0.26,True,1.0,unimodal,0.71,True
TPM__SDC4,100,50,1.0,0.3100000023841858,0.52,0.27,True,1.0,unimodal,0.71,True
TPM__LIF-AS2,100,50,1.0,0.1599999964237213,0.5,0.27,True,1.0,unimodal,0.71,True
TPM__TNFRSF12A,100,50,1.0,0.3400000035762787,0.56,0.27,True,1.0,unimodal,0.71,True
METH__LRIG3,100,50,1.0,0.23999999463558197,-0.31,0.27,True,1.0,unimodal,0.71,True
TPM__NCKAP1L,100,50,1.0,0.27000001072883606,-0.35,0.31,True,1.0,unimodal,0.71,True
METH__C9orf150,100,50,1.0,0.23999999463558197,-0.32,0.3,True,1.0,unimodal,0.71,True
METH__NR4A3,99,49,0.99,0.20999999344348907,0.28,0.27,True,1.0,unimodal,0.71,True
METH__TGIF1,99,49,0.99,0.07000000029802322,-0.37,0.29,True,1.0,unimodal,0.71,True
METH__RCAN1,99,49,0.99,0.14000000059604645,-0.38,0.24,True,1.0,unimodal,0.71,True
METH__LRRC28,99,49,0.99,0.18000000715255737,-0.3,0.26,True,1.0,unimodal,0.71,True
TPM__LINC01186,98,48,0.98,0.14000000059604645,0.47,0.25,True,1.0,unimodal,0.71,True
METH__SPAG9,98,48,0.98,0.11999999731779099,-0.39,0.24,True,1.0,unimodal,0.71,True
METH__C7orf70,98,48,0.98,0.14000000059604645,0.16,0.26,True,1.0,unimodal,0.71,True
METH__TMEM49,95,45,0.95,0.17000000178813934,-0.38,0.26,True,0.458,unimodal,0.71,True
METH__INTU,95,45,0.95,0.20000000298023224,-0.34,0.24,True,0.458,unimodal,0.71,True
TPM__CRIM1-DT,94,44,0.94,0.14000000059604645,0.44,0.25,True,0.181,unimodal,0.71,True
METH__TMEM51,94,44,0.94,0.14000000059604645,-0.23,0.29,True,0.181,unimodal,0.71,True
METH__ARHGAP5,93,43,0.93,0.07999999821186066,-0.27,0.25,True,0.053,unimodal,0.71,True
METH__PTGR2,93,43,0.93,0.05999999865889549,-0.32,0.25,True,0.053,unimodal,0.71,True
METH__HSPC159,92,42,0.92,0.15000000596046448,-0.41,0.25,False,0.013,worst_case,0.8918367346938776,True
METH__PTPRK,92,42,0.92,0.18000000715255737,-0.4,0.25,False,0.013,worst_case,0.8918367346938776,True
METH__TCEANC,90,41,0.9,0.07000000029802322,-0.43,0.27,False,0.002,worst_case,0.8918367346938776,True
