feature,Selection count,Pair count,CPSS Score
METH__S100A2,100,50,1.0
TPM__MYOF,100,50,1.0
METH__C9orf150,100,50,1.0
TPM__NCKAP1L,100,50,1.0
METH__LRIG3,100,50,1.0
TPM__TNFRSF12A,100,50,1.0
TPM__LIF-AS2,100,50,1.0
TPM__SDC4,100,50,1.0
TPM__BCL2,100,50,1.0
TPM__MIR142HG,100,50,1.0
METH__CCDC12,100,50,1.0
TPM__ITGB5,100,50,1.0
METH__TMEM160,100,50,1.0
METH__TJP1,100,50,1.0
TPM__LINC02535,100,50,1.0
METH__FAT1,100,50,1.0
METH__GPX4,100,50,1.0
TPM__S100A16,100,50,1.0
METH__MTMR11,100,50,1.0
METH__TMEM149,100,50,1.0
TPM__IKZF1,100,50,1.0
TPM__PLK2,100,50,1.0
METH__CCM2,100,50,1.0
METH__GULP1,100,50,1.0
TPM__ITGA3,100,50,1.0
METH__NR4A3,99,49,0.99
METH__TGIF1,99,49,0.99
METH__RCAN1,99,49,0.99
METH__LRRC28,99,49,0.99
METH__SPAG9,98,48,0.98
METH__C7orf70,98,48,0.98
TPM__LINC01186,98,48,0.98
METH__TMEM49,95,45,0.95
METH__INTU,95,45,0.95
TPM__CRIM1-DT,94,44,0.94
METH__TMEM51,94,44,0.94
METH__ARHGAP5,93,43,0.93
METH__PTGR2,93,43,0.93
METH__HSPC159,92,42,0.92
METH__PTPRK,92,42,0.92
METH__TCEANC,90,41,0.9
METH__DSTN,89,40,0.89
METH__GPR39,88,41,0.88
METH__PTPN14,87,38,0.87
METH__PPIC,86,36,0.86
METH__EAF2,86,36,0.86
METH__SNX33,82,32,0.82
METH__ACTN1,78,28,0.78
METH__NRP1,77,29,0.77
CNV__DROSHA,77,30,0.77
METH__RPL23AP7,73,26,0.73
METH__RPS6KA4,73,24,0.73
METH__AGPHD1,71,22,0.71
METH__IQCB1,70,23,0.7
METH__METTL5,70,22,0.7
METH__ZNF230,68,22,0.68
METH__EFNA5,67,21,0.67
METH__RAPH1,66,18,0.66
METH__DDX60L,65,20,0.65
METH__EPN2,63,16,0.63
METH__ZNF697,62,19,0.62
METH__LAMC1,57,16,0.57
METH__NT5DC1,56,13,0.56
METH__HSF2BP,55,14,0.55
METH__PRKCE,55,15,0.55
METH__KLF4,49,11,0.49
METH__C14orf79,48,10,0.48
METH__RAB11FIP5,48,7,0.48
METH__RABL2A,47,7,0.47
METH__IRF2,47,4,0.47
METH__ARRDC3,46,10,0.46
METH__TRMT5,45,5,0.45
METH__NUDT15,43,6,0.43
METH__MIR1237,43,6,0.43
METH__WBSCR22,43,6,0.43
METH__ERI2,42,4,0.42
CNV__ARID1A,37,5,0.37
METH__MFAP3,37,5,0.37
CNV__RBM38,36,5,0.36
METH__SUOX,36,7,0.36
METH__MPP5,36,3,0.36
METH__HNRNPUL2,35,3,0.35
CNV__MLF1,34,5,0.34
CNV__PRDM16,34,4,0.34
METH__C14orf128,34,6,0.34
CNV__HOXA9,32,4,0.32
METH__HDAC2,32,6,0.32
CNV__CBL,32,3,0.32
CNV__CNBP,31,6,0.31
CNV__TLX3,31,5,0.31
METH__NUP35,31,1,0.31
CNV__TNFRSF14,30,2,0.3
CNV__TERT,30,3,0.3
METH__DDIT4,30,4,0.3
METH__LOC100129716,29,2,0.29
CNV__IL7R,29,1,0.29
METH__TBC1D9,28,6,0.28
METH__LNPEP,27,5,0.27
METH__RTN4,27,0,0.27
CNV__POLQ,27,3,0.27
CNV__GAS7,27,3,0.27
METH__IFNGR1,27,4,0.27
CNV__PER1,26,1,0.26
METH__PDXDC2,26,2,0.26
CNV__MAP3K13,26,2,0.26
METH__FAM114A2,26,1,0.26
CNV__LIFR,26,3,0.26
METH__PCLO,25,1,0.25
METH__C6orf217,24,1,0.24
METH__ZCCHC17,24,0,0.24
CNV__ATR,24,3,0.24
METH__FOXO3,24,1,0.24
CNV__FGFR4,23,2,0.23
CNV__RASA2,22,4,0.22
CNV__XPO1,22,2,0.22
METH__CSDA,22,1,0.22
CNV__IKZF1,22,2,0.22
CNV__MGA,22,0,0.22
CNV__EGFR,22,1,0.22
CNV__STAT6,21,1,0.21
CNV__PIK3CB,21,2,0.21
METH__LOC143666,21,0,0.21
CNV__MAP2K4,21,2,0.21
CNV__EPHA2,21,2,0.21
CNV__EIF4A2,21,1,0.21
CNV__HOXA11,21,0,0.21
METH__DDX58,20,0,0.2
CNV__SFRP4,20,0,0.2
CNV__BIRC3,20,1,0.2
METH__COMMD6,20,0,0.2
METH__DDX50,20,4,0.2
CNV__NT5C3A,19,2,0.19
METH__SLC30A6,19,2,0.19
CNV__UBE2D2,19,3,0.19
CNV__FOXL2,19,1,0.19
METH__UFM1,19,0,0.19
CNV__ZBTB20,18,0,0.18
CNV__TFG,18,4,0.18
CNV__FAT2,18,0,0.18
CNV__GMPS,18,0,0.18
CNV__CDH10,18,2,0.18
