feature,selection_count,pair_count,cpss_score,r2,spearman,mutual_info,unimodal,diptest_pvalue
TPM__BCL2L1,100,50,1.0,0.11999999731779099,0.35,0.04,True,1.0
TPM__JARID2,98,48,0.98,0.05999999865889549,-0.25,0.06,True,1.0
METH__NLRP1,94,44,0.94,0.05999999865889549,0.26,0.06,True,0.181
METH__USP19,94,44,0.94,0.05999999865889549,0.28,0.06,True,0.181
TPM__SH3BP4,92,42,0.92,0.05999999865889549,0.22,0.05,False,0.013
METH__MIR150,92,42,0.92,0.10999999940395355,0.34,0.06,False,0.013
TPM__BMP4,89,39,0.89,0.07999999821186066,0.3,0.07,False,0.0
TPM__FTH1P16,89,39,0.89,0.05999999865889549,0.26,0.05,False,0.0
TPM__SH3BP1,87,37,0.87,0.07000000029802322,-0.28,0.04,False,0.0
TPM__B3GALT5,86,36,0.86,0.07000000029802322,0.28,0.14,False,0.0
METH__MIER3,85,35,0.85,0.07000000029802322,-0.26,0.03,False,0.0
TPM__PYGB,83,33,0.83,0.07000000029802322,0.29,0.02,False,0.0
TPM__TM2D2,82,32,0.82,0.05999999865889549,0.28,0.05,False,0.0
TPM__WFS1,81,31,0.81,0.10000000149011612,0.35,0.07,False,0.0
TPM__BICDL3P,80,30,0.8,0.07000000029802322,0.25,0.05,False,0.0
TPM__ASPHD2,78,28,0.78,0.07000000029802322,-0.27,0.02,False,0.0
TPM__ABCC3,78,28,0.78,0.05999999865889549,0.28,0.04,False,0.0
TPM__ENTPD6,77,27,0.77,0.05999999865889549,0.27,0.06,False,0.0
METH__FAM113B,76,26,0.76,0.07000000029802322,0.23,0.06,False,0.0
METH__CLDN2,75,25,0.75,0.05999999865889549,0.25,0.07,False,0.0
TPM__ARHGAP5-AS1,75,25,0.75,0.05999999865889549,0.25,0.09,False,0.0
TPM__POLR1H,72,22,0.72,0.07000000029802322,-0.27,0.12,False,0.0
METH__PCBP4,71,21,0.71,0.07999999821186066,0.31,0.02,False,0.0
TPM__LCMT1-AS1,68,18,0.68,0.07000000029802322,-0.26,0.05,False,0.0
TPM__APLP2,66,16,0.66,0.10000000149011612,0.33,0.04,False,0.0
TPM__TRABD,64,14,0.64,0.07999999821186066,-0.29,0.06,False,0.0
TPM__FANCE,63,13,0.63,0.07999999821186066,-0.29,0.05,False,0.0
TPM__SLC38A5,62,12,0.62,0.07000000029802322,-0.28,0.07,False,0.0
TPM__INTS10,61,13,0.61,0.05999999865889549,-0.25,0.05,False,0.0
TPM__SYS1,59,10,0.59,0.07000000029802322,0.27,0.04,False,0.0
METH__TRIM65,59,10,0.59,0.07000000029802322,0.26,0.07,False,0.0
TPM__MOB3A,58,10,0.58,0.05999999865889549,-0.24,0.09,False,0.0
TPM__YARS1,58,9,0.58,0.07000000029802322,-0.27,0.0,False,0.002
TPM__NPAS2,57,8,0.57,0.07999999821186066,0.3,0.05,False,0.013
TPM__CDC42BPA,57,9,0.57,0.07000000029802322,0.2,0.06,False,0.002
TPM__KRT8P10,57,11,0.57,0.09000000357627869,0.31,0.08,False,0.0
TPM__LGALS3,57,9,0.57,0.07999999821186066,0.3,0.03,False,0.002
