feature,Selection count,Pair count,CPSS Score
TPM__BCL2L1,100,50,1.0
TPM__JARID2,98,48,0.98
METH__NLRP1,94,44,0.94
METH__USP19,94,44,0.94
TPM__SH3BP4,92,42,0.92
METH__MIR150,92,42,0.92
TPM__BMP4,89,39,0.89
TPM__FTH1P16,89,39,0.89
TPM__SH3BP1,87,37,0.87
TPM__B3GALT5,86,36,0.86
METH__MIER3,85,35,0.85
TPM__PYGB,83,33,0.83
TPM__TM2D2,82,32,0.82
TPM__WFS1,81,31,0.81
TPM__BICDL3P,80,30,0.8
TPM__ABCC3,78,28,0.78
TPM__ASPHD2,78,28,0.78
TPM__ENTPD6,77,27,0.77
METH__FAM113B,76,26,0.76
METH__CLDN2,75,25,0.75
TPM__ARHGAP5-AS1,75,25,0.75
TPM__POLR1H,72,22,0.72
METH__PCBP4,71,21,0.71
TPM__LCMT1-AS1,68,18,0.68
TPM__APLP2,66,16,0.66
TPM__TRABD,64,14,0.64
TPM__FANCE,63,13,0.63
TPM__SLC38A5,62,12,0.62
TPM__INTS10,61,13,0.61
TPM__SYS1,59,10,0.59
METH__TRIM65,59,10,0.59
TPM__YARS1,58,9,0.58
TPM__MOB3A,58,10,0.58
TPM__CDC42BPA,57,9,0.57
TPM__KRT8P10,57,11,0.57
TPM__LGALS3,57,9,0.57
TPM__NPAS2,57,8,0.57
METH__SH3D19,56,10,0.56
METH__LPAR5,56,9,0.56
TPM__CARD10,55,6,0.55
TPM__KRT80,54,5,0.54
METH__CCDC88B,54,7,0.54
TPM__ME2,54,6,0.54
METH__SCARF1,53,5,0.53
TPM__CFAP184,52,4,0.52
METH__ABHD10,52,5,0.52
TPM__TRNP1,51,6,0.51
TPM__ELOVL7,50,5,0.5
TPM__PSAP,50,5,0.5
TPM__LAMP1,50,6,0.5
TPM__CTNNA1,47,4,0.47
TPM__SNX21,47,2,0.47
TPM__EVA1A,47,6,0.47
METH__CCDC102A,47,2,0.47
METH__TCF3,46,5,0.46
