feature,Selection count,Pair count,CPSS Score
METH__SIAH1,100,50,1.0
METH__SLC1A1,100,50,1.0
METH__C6orf217,100,50,1.0
METH__C9orf30,100,50,1.0
METH__PTGR2,100,50,1.0
METH__KLF4,100,50,1.0
METH__ZNF697,100,50,1.0
METH__PTPN21,99,49,0.99
METH__NRIP1,99,49,0.99
METH__TMEM150A,99,49,0.99
METH__PRDM4,98,48,0.98
METH__SKI,95,45,0.95
METH__NDUFV3,95,45,0.95
METH__SSU72,94,44,0.94
CNV__MAML2,93,43,0.93
METH__PELP1,93,43,0.93
METH__C20orf111,92,42,0.92
METH__MRPL41,92,42,0.92
METH__C10orf114,90,40,0.9
METH__TAX1BP3,89,39,0.89
METH__ZNF224,88,38,0.88
METH__AAK1,88,38,0.88
METH__NUDT16L1,82,32,0.82
METH__RPS6KA4,80,30,0.8
METH__ZNF227,76,26,0.76
METH__RFC2,71,23,0.71
CNV__CRNKL1,71,24,0.71
METH__ARMC10,71,22,0.71
METH__C14orf147,71,23,0.71
METH__KPNA6,68,22,0.68
METH__YIPF3,68,23,0.68
CNV__SUZ12,67,20,0.67
METH__OPTN,67,19,0.67
METH__ARRDC3,66,16,0.66
METH__C11orf48,66,20,0.66
CNV__NOTCH2,65,20,0.65
METH__TARS,64,17,0.64
METH__XPR1,64,17,0.64
CNV__RPL5,64,20,0.64
METH__BPNT1,64,18,0.64
METH__KIAA1328,63,16,0.63
CNV__RASA1,62,16,0.62
CNV__RUNX1T1,61,16,0.61
METH__ERCC1,60,16,0.6
CNV__DCSTAMP,59,15,0.59
METH__COPB2,58,13,0.58
CNV__NF1,57,16,0.57
METH__COMMD6,56,13,0.56
METH__ISOC2,55,13,0.55
METH__IRF2,55,11,0.55
METH__UGGT1,55,9,0.55
METH__NAA15,55,12,0.55
CNV__MAP3K1,55,14,0.55
METH__EIF3H,55,10,0.55
METH__EIF1,54,15,0.54
METH__ISY1,54,10,0.54
METH__CETN3,54,11,0.54
CNV__H3C2,53,14,0.53
METH__CAPN10,53,11,0.53
CNV__DNMT3A,53,10,0.53
CNV__HSP90AA1,52,12,0.52
METH__PLRG1,52,8,0.52
CNV__CDC73,51,12,0.51
CNV__PREX2,51,11,0.51
CNV__PCBP1,51,13,0.51
METH__TMTC3,50,8,0.5
CNV__PDGFRB,50,10,0.5
CNV__PTPRC,49,11,0.49
METH__FOXO3,48,5,0.48
CNV__PCMTD1,48,9,0.48
CNV__NCOA2,47,11,0.47
CNV__PABPC1,46,10,0.46
CNV__XPO1,45,8,0.45
METH__ATP8A1,45,8,0.45
CNV__MAP2K4,45,13,0.45
METH__PDXDC2,44,7,0.44
CNV__MSH6,42,4,0.42
METH__QRICH2,42,3,0.42
CNV__DCTN1,42,3,0.42
METH__ARHGAP26,41,4,0.41
METH__PNN,41,7,0.41
METH__ABCA7,41,7,0.41
CNV__HTRA2,40,4,0.4
CNV__WDCP,40,7,0.4
CNV__EIF3E,39,8,0.39
METH__C9orf41,38,3,0.38
CNV__MEN1,38,8,0.38
METH__TSC22D1,37,4,0.37
CNV__LOX,36,6,0.36
METH__FAM149B1,36,4,0.36
METH__RNF145,36,7,0.36
METH__PPP1R9B,36,4,0.36
METH__FAM72A,36,2,0.36
CNV__ARHGAP26,36,3,0.36
CNV__NBN,35,3,0.35
CNV__BCL11A,35,4,0.35
METH__SLC7A6OS,35,6,0.35
METH__MFSD10,35,2,0.35
METH__MIR1237,35,4,0.35
CNV__PRDM1,35,6,0.35
METH__ZFAND3,35,6,0.35
CNV__MGA,34,3,0.34
METH__HN1L,34,3,0.34
CNV__REL,34,4,0.34
METH__SEC11A,34,7,0.34
CNV__PPP2R1A,33,6,0.33
METH__HCFC1,33,4,0.33
CNV__BCL10,33,5,0.33
METH__LOC284900,33,1,0.33
CNV__MUTYH,32,3,0.32
CNV__FAM174B,32,5,0.32
METH__SNX16,32,2,0.32
METH__FZR1,32,6,0.32
CNV__ZBTB20,31,6,0.31
CNV__ATIC,31,3,0.31
CNV__EPS15,30,2,0.3
CNV__FBN2,30,6,0.3
METH__CEP70,29,1,0.29
METH__PTPN12,29,2,0.29
CNV__MYCL,29,2,0.29
CNV__CBLC,29,3,0.29
METH__PIBF1,29,2,0.29
METH__SEC22B,28,3,0.28
CNV__TLX1,28,1,0.28
METH__PSMB6,28,2,0.28
METH__HARBI1,27,4,0.27
CNV__CASP8,27,3,0.27
CNV__HERC2,27,3,0.27
CNV__NCOA1,27,3,0.27
CNV__NUTM1,26,4,0.26
METH__DSN1,26,0,0.26
CNV__CHD2,26,4,0.26
METH__TINF2,26,1,0.26
CNV__SFMBT2,26,4,0.26
CNV__SP140,26,3,0.26
METH__SNORD26,26,2,0.26
CNV__ACSL3,25,1,0.25
CNV__NT5C2,25,0,0.25
CNV__GAS7,25,3,0.25
CNV__JUN,25,2,0.25
METH__DOCK4,25,0,0.25
CNV__FAT2,25,1,0.25
CNV__CBLB,25,2,0.25
CNV__EPHA7,25,2,0.25
METH__ARL6,24,1,0.24
METH__ERCC3,24,1,0.24
CNV__JAK1,24,2,0.24
CNV__CDKN2C,24,2,0.24
CNV__BMPR2,24,1,0.24
METH__SART3,24,0,0.24
CNV__MPL,23,1,0.23
CNV__NTRK3,23,1,0.23
METH__PRKCE,23,2,0.23
CNV__ARID1B,22,2,0.22
CNV__LATS1,22,4,0.22
CNV__PPP6C,22,2,0.22
METH__RPS23,22,0,0.22
CNV__MCM3AP,22,1,0.22
CNV__TSC1,22,2,0.22
CNV__RALGDS,22,2,0.22
METH__ZSWIM6,21,0,0.21
CNV__B2M,21,1,0.21
CNV__STIL,21,1,0.21
METH__TRMT1,21,2,0.21
CNV__CPEB3,20,2,0.2
CNV__TCF7L2,20,4,0.2
CNV__CNTRL,20,1,0.2
CNV__INO80,20,2,0.2
METH__C3orf58,20,2,0.2
METH__ANO10,19,2,0.19
