feature,selection_count,pair_count,cpss_score,r2,spearman,mutual_info,unimodal,diptest_pvalue
TPM__APLP2,95,45,0.95,0.20000000298023224,0.42,0.15,True,0.458
TPM__SEPTIN6,91,41,0.91,0.25,-0.48,0.2,False,0.002
METH__MGAT1,90,40,0.9,0.28999999165534973,0.43,0.26,False,0.0
TPM__WFS1,90,40,0.9,0.20000000298023224,0.4,0.15,False,0.0
TPM__CCND1,90,40,0.9,0.23999999463558197,0.42,0.17,False,0.0
TPM__MOB3A,89,39,0.89,0.17000000178813934,-0.35,0.15,False,0.0
TPM__MAP4K3,87,37,0.87,0.1899999976158142,0.33,0.1,False,0.0
TPM__CUEDC1,87,37,0.87,0.27000001072883606,0.43,0.2,False,0.0
TPM__FMNL1,85,35,0.85,0.18000000715255737,-0.38,0.17,False,0.0
TPM__PMEPA1,84,34,0.84,0.1899999976158142,0.42,0.15,False,0.0
TPM__KDM2B,83,33,0.83,0.20000000298023224,-0.44,0.16,False,0.0
TPM__GPSM3,82,32,0.82,0.25,-0.4,0.19,False,0.0
TPM__KRT80,82,32,0.82,0.18000000715255737,0.45,0.13,False,0.0
METH__ITGB2,79,29,0.79,0.18000000715255737,0.41,0.13,False,0.0
TPM__ARHGAP29,78,28,0.78,0.23999999463558197,0.49,0.18,False,0.0
TPM__GMIP,78,28,0.78,0.18000000715255737,-0.35,0.11,False,0.0
TPM__GULP1,75,25,0.75,0.20000000298023224,0.39,0.14,False,0.0
METH__PARP10,74,24,0.74,0.18000000715255737,0.4,0.16,False,0.0
TPM__NRROS,73,23,0.73,0.25999999046325684,-0.38,0.19,False,0.0
TPM__ARID5A,73,23,0.73,0.18000000715255737,-0.34,0.12,False,0.0
TPM__CCDC9B,72,22,0.72,0.20000000298023224,0.44,0.14,False,0.0
TPM__CHMP3,69,19,0.69,0.20999999344348907,0.46,0.2,False,0.0
TPM__TAX1BP3,68,19,0.68,0.17000000178813934,0.4,0.13,False,0.0
METH__CRYBB3,68,21,0.68,0.20000000298023224,0.46,0.18,False,0.0
TPM__PCDH1,66,16,0.66,0.18000000715255737,0.46,0.19,False,0.0
TPM__SLC49A4,65,15,0.65,0.17000000178813934,0.3,0.16,False,0.0
TPM__CETN2,62,14,0.62,0.17000000178813934,0.4,0.11,False,0.0
METH__RPS6KA1,61,11,0.61,0.20999999344348907,0.41,0.2,False,0.0
TPM__SELPLG,60,14,0.6,0.20999999344348907,-0.24,0.11,False,0.0
TPM__ALOX5AP,60,13,0.6,0.17000000178813934,-0.25,0.16,False,0.0
TPM__PLPP2,60,11,0.6,0.27000001072883606,0.47,0.18,False,0.0
METH__FAM84B,58,8,0.58,0.18000000715255737,-0.32,0.21,False,0.013
METH__MLL2,58,11,0.58,0.23999999463558197,0.45,0.13,False,0.0
TPM__TMEM132A,57,11,0.57,0.18000000715255737,0.27,0.13,False,0.0
METH__RASSF1,57,9,0.57,0.25,0.41,0.15,False,0.002
TPM__PTPRF,56,8,0.56,0.23000000417232513,0.35,0.11,False,0.013
METH__ITPK1,56,7,0.56,0.18000000715255737,0.38,0.12,True,0.053
METH__CARD8,54,7,0.54,0.20000000298023224,0.37,0.15,True,0.053
METH__RHOH,54,8,0.54,0.20000000298023224,0.35,0.16,False,0.013
TPM__BCAR3,54,8,0.54,0.23999999463558197,0.45,0.2,False,0.013
TPM__CTNND1,54,7,0.54,0.2199999988079071,0.41,0.12,True,0.053
TPM__EVI2B,52,5,0.52,0.18000000715255737,-0.25,0.12,True,0.458
TPM__APP,51,4,0.51,0.1899999976158142,0.38,0.12,True,0.832
TPM__PLS3,51,7,0.51,0.20000000298023224,0.36,0.09,True,0.053
TPM__TSPAN6,50,4,0.5,0.2199999988079071,0.35,0.16,True,0.832
METH__BTBD16,49,7,0.49,0.23000000417232513,0.41,0.18,True,0.053
TPM__PTGR1,48,5,0.48,0.1899999976158142,0.36,0.14,True,0.458
TPM__SNX21,48,4,0.48,0.1899999976158142,0.36,0.19,True,0.832
METH__ZNF395,47,4,0.47,0.20999999344348907,-0.44,0.16,True,0.832
TPM__RAI14,46,2,0.46,0.17000000178813934,0.33,0.09,True,1.0
METH__SELPLG,45,4,0.45,0.25999999046325684,0.39,0.23,True,0.832
TPM__AGAP2,45,2,0.45,0.25999999046325684,-0.47,0.19,True,1.0
TPM__SHB,44,2,0.44,0.2199999988079071,0.44,0.21,True,1.0
TPM__PSTPIP1,44,4,0.44,0.23999999463558197,-0.38,0.18,True,0.832
METH__POLD3,44,2,0.44,0.18000000715255737,-0.38,0.18,True,1.0
TPM__ALS2CL,44,4,0.44,0.17000000178813934,0.44,0.1,True,0.832
METH__KRI1,43,1,0.43,0.27000001072883606,0.45,0.25,True,1.0
TPM__ARHGAP4,43,2,0.43,0.17000000178813934,-0.38,0.15,True,1.0
METH__CD22,43,1,0.43,0.20000000298023224,0.4,0.13,True,1.0
TPM__MGAT4B,42,2,0.42,0.17000000178813934,0.43,0.12,True,1.0
TPM__DCBLD2,42,3,0.42,0.1899999976158142,0.41,0.17,True,0.992
TPM__EPS8L2,40,3,0.4,0.18000000715255737,0.44,0.14,True,0.992
TPM__CKAP4,40,3,0.4,0.18000000715255737,0.27,0.16,True,0.992
TPM__EPHX1,39,0,0.39,0.20000000298023224,0.41,0.1,False,
TPM__CDC42EP1,38,2,0.38,0.18000000715255737,0.38,0.15,True,1.0
TPM__KCNAB2,38,1,0.38,0.25,-0.45,0.18,True,1.0
METH__LAT,38,1,0.38,0.18000000715255737,0.38,0.11,True,1.0
METH__C21orf125,37,0,0.37,0.2199999988079071,0.41,0.11,False,
TPM__FAM78A,37,1,0.37,0.3199999928474426,-0.47,0.18,True,1.0
METH__GPR126,37,3,0.37,0.20000000298023224,-0.43,0.16,True,0.992
TPM__TMEM51,36,0,0.36,0.18000000715255737,0.34,0.14,False,
METH__PTGFRN,36,0,0.36,0.1899999976158142,-0.33,0.19,False,
TPM__AKNA,35,0,0.35,0.18000000715255737,-0.37,0.1,False,
TPM__PPL,35,1,0.35,0.1899999976158142,0.47,0.11,True,1.0
METH__TERF1,35,0,0.35,0.20999999344348907,-0.39,0.22,False,
TPM__TRNP1,35,1,0.35,0.18000000715255737,0.4,0.17,True,1.0
TPM__RAB33A,34,1,0.34,0.20000000298023224,-0.36,0.13,True,1.0
TPM__RAB13,34,0,0.34,0.1899999976158142,0.34,0.14,False,
METH__AGAP2,34,1,0.34,0.20000000298023224,-0.27,0.23,True,1.0
METH__EVL,34,0,0.34,0.23999999463558197,0.37,0.27,False,
TPM__CLCF1,34,0,0.34,0.20000000298023224,0.46,0.14,False,
TPM__BOK,34,0,0.34,0.1899999976158142,0.39,0.19,False,
TPM__TWF1,34,0,0.34,0.20999999344348907,0.4,0.16,False,
METH__GCET2,34,1,0.34,0.18000000715255737,0.39,0.11,True,1.0
TPM__CDC42BPB,34,0,0.34,0.20999999344348907,0.35,0.19,False,
METH__SSH3,34,0,0.34,0.17000000178813934,-0.34,0.09,False,
TPM__CRIM1,33,1,0.33,0.2199999988079071,0.43,0.14,True,1.0
METH__NEIL2,33,0,0.33,0.17000000178813934,0.35,0.19,False,
METH__SRGN,33,0,0.33,0.1899999976158142,0.34,0.09,False,
TPM__ANXA2,33,2,0.33,0.20999999344348907,0.5,0.21,True,1.0
TPM__WWTR1,32,0,0.32,0.1899999976158142,0.41,0.16,False,
TPM__FCHO2,32,1,0.32,0.23999999463558197,0.42,0.14,True,1.0
TPM__TACC2,32,0,0.32,0.20000000298023224,0.34,0.15,False,
TPM__NTN4,32,0,0.32,0.2199999988079071,0.5,0.14,False,
TPM__PLEKHA1,32,0,0.32,0.20999999344348907,0.29,0.17,False,
METH__PKP2,32,1,0.32,0.2199999988079071,-0.39,0.19,True,1.0
METH__ITGA4,32,1,0.32,0.20999999344348907,0.39,0.15,True,1.0
METH__CCR7,32,1,0.32,0.17000000178813934,0.34,0.09,True,1.0
TPM__IL17RC,32,0,0.32,0.17000000178813934,0.36,0.11,False,
TPM__SH2D4A,31,2,0.31,0.20000000298023224,0.43,0.14,True,1.0
TPM__C19orf33,31,1,0.31,0.20000000298023224,0.44,0.14,True,1.0
METH__LAMB1,31,3,0.31,0.1899999976158142,-0.33,0.14,True,0.992
METH__SEMA3C,31,0,0.31,0.20000000298023224,-0.38,0.17,False,
METH__ERRFI1,31,0,0.31,0.23000000417232513,-0.47,0.19,False,
TPM__INPP5D,31,0,0.31,0.20999999344348907,-0.28,0.18,False,
TPM__TPBG,31,2,0.31,0.18000000715255737,0.38,0.13,True,1.0
METH__U2AF1L4,30,2,0.3,0.17000000178813934,0.34,0.21,True,1.0
METH__ZBP1,30,0,0.3,0.17000000178813934,0.37,0.1,False,
TPM__DSTN,30,0,0.3,0.20999999344348907,0.42,0.17,False,
TPM__CXCR4,30,2,0.3,0.17000000178813934,-0.31,0.18,True,1.0
TPM__CMTM4,30,0,0.3,0.18000000715255737,0.33,0.13,False,
METH__ANKRD44,29,0,0.29,0.25999999046325684,0.42,0.25,False,
TPM__BMS1P23,29,1,0.29,0.18000000715255737,0.41,0.19,True,1.0
METH__TMEM150B,29,0,0.29,0.20000000298023224,0.4,0.17,False,
TPM__MYCBP2,29,4,0.29,0.17000000178813934,-0.42,0.12,True,0.832
METH__SNX7,29,2,0.29,0.18000000715255737,-0.38,0.19,True,1.0
TPM__PTPN21,29,0,0.29,0.18000000715255737,0.36,0.19,False,
METH__FAM113B,29,0,0.29,0.23999999463558197,0.36,0.14,False,
TPM__IL2RG,29,0,0.29,0.20999999344348907,-0.32,0.16,False,
TPM__CSK,28,2,0.28,0.17000000178813934,-0.38,0.13,True,1.0
TPM__LAMB1,28,0,0.28,0.20999999344348907,0.38,0.15,False,
TPM__KIF21B,28,0,0.28,0.20999999344348907,-0.38,0.18,False,
METH__SLA2,27,0,0.27,0.20999999344348907,0.39,0.2,False,
METH__ARHGEF10,27,0,0.27,0.18000000715255737,-0.3,0.28,False,
