feature,Selection count,Pair count,CPSS Score
TPM__NCKAP1L,100,50,1.0
TPM__SLFN11,100,50,1.0
TPM__RPL3,100,50,1.0
METH__PTPN7,98,48,0.98
TPM__RPL34,98,48,0.98
TPM__ARHGAP15,97,47,0.97
TPM__AOPEP,97,47,0.97
TPM__CARD10,96,46,0.96
TPM__ITGA3,96,46,0.96
TPM__TPM1,96,46,0.96
TPM__PPIC,96,46,0.96
TPM__DCK,95,45,0.95
TPM__LURAP1L,94,44,0.94
TPM__IKZF1,93,43,0.93
TPM__TJP1,93,44,0.93
TPM__CEP170B,93,43,0.93
TPM__MIR142HG,92,42,0.92
TPM__RASGRP2,91,41,0.91
TPM__PCDH1,90,40,0.9
TPM__HRCT1,89,39,0.89
TPM__EPB41L1,89,39,0.89
TPM__GIPC1,88,38,0.88
TPM__PIK3CG,88,38,0.88
TPM__PTPN7,85,35,0.85
TPM__SDC4,85,35,0.85
TPM__LINC00511,84,34,0.84
TPM__KRT18,83,34,0.83
TPM__MANBAL,83,33,0.83
TPM__THRB,82,32,0.82
TPM__ANKLE1,81,32,0.81
TPM__KRT15,81,32,0.81
TPM__RCSD1,80,31,0.8
TPM__INHBB,79,30,0.79
TPM__THBS1,79,29,0.79
TPM__RHOH,77,27,0.77
TPM__MATN2,77,28,0.77
TPM__LAPTM4A,76,27,0.76
TPM__ARHGEF6,75,28,0.75
TPM__LMNA,74,24,0.74
TPM__KIF21B,74,25,0.74
TPM__LYPD1,73,26,0.73
TPM__SH2D4A,72,22,0.72
TPM__WWC1,72,22,0.72
TPM__FLI1,71,24,0.71
METH__ITPRIPL1,70,24,0.7
TPM__HMGB2,70,23,0.7
TPM__ANXA2,68,20,0.68
TPM__ENTREP1,68,21,0.68
METH__CCM2,67,20,0.67
TPM__CD53,67,21,0.67
TPM__INPP5D,65,18,0.65
METH__C1orf55,65,17,0.65
TPM__CORO1A,64,18,0.64
TPM__PIKFYVE,64,17,0.64
TPM__KITLG,63,15,0.63
TPM__RPL13A,63,17,0.63
TPM__LAPTM5,60,17,0.6
METH__PIK3CG,59,14,0.59
TPM__GNG12,59,16,0.59
TPM__GPC1,55,13,0.55
TPM__TBC1D10C,55,12,0.55
TPM__HVCN1,54,12,0.54
TPM__N4BP2,53,9,0.53
TPM__MATN3,53,13,0.53
TPM__LINC00938,53,12,0.53
TPM__PRKCB,52,9,0.52
TPM__DDAH1,52,11,0.52
TPM__EPN2,52,8,0.52
TPM__NIBAN2,50,9,0.5
TPM__PHLDA2,50,10,0.5
METH__DSTN,50,7,0.5
TPM__EPHA2-AS1,49,8,0.49
TPM__IKZF2,49,9,0.49
TPM__SLC35B2,49,12,0.49
METH__DDAH1,48,10,0.48
METH__PPAP2C,48,10,0.48
METH__CCDC12,48,10,0.48
TPM__SLC44A3,48,8,0.48
TPM__KDM2B,48,10,0.48
TPM__CARD8-AS1,47,7,0.47
METH__C9orf150,47,10,0.47
METH__OGFR,47,7,0.47
METH__HCST,47,9,0.47
METH__LAMB2,46,12,0.46
METH__FAM114A1,46,6,0.46
METH__BCL9L,46,6,0.46
METH__PRIC285,45,6,0.45
TPM__LYPD6,44,7,0.44
TPM__RN7SL689P,44,5,0.44
TPM__TOM1L1,44,7,0.44
TPM__KLF4,42,5,0.42
TPM__ARSJ,40,5,0.4
TPM__AMOTL2,39,4,0.39
METH__UGGT2,38,3,0.38
TPM__NQO1,38,3,0.38
TPM__KRT7-AS,38,2,0.38
TPM__GATA6,36,4,0.36
TPM__TMEM51,34,1,0.34
METH__LCA5,34,3,0.34
TPM__ARHGAP4,33,3,0.33
TPM__ERBB2,32,3,0.32
METH__ZNF579,32,1,0.32
METH__EVL,32,6,0.32
TPM__AGRN,31,2,0.31
METH__LPAR5,30,3,0.3
METH__MIR1469,29,3,0.29
METH__RCSD1,28,2,0.28
METH__MARVELD3,28,3,0.28
TPM__INTU,28,2,0.28
METH__ZFP112,28,3,0.28
TPM__LINC01186,27,3,0.27
METH__NR2F2,27,0,0.27
TPM__IL12RB1,27,2,0.27
TPM__HCST,27,2,0.27
TPM__PLCD3,25,0,0.25
TPM__EPHA2,25,2,0.25
CNV__NXF1,25,0,0.25
METH__MIR574,24,0,0.24
TPM__PARVG,24,1,0.24
METH__PCDP1,22,1,0.22
METH__PNPLA4,22,1,0.22
TPM__LAMB1,21,1,0.21
TPM__SOX9-AS1,21,1,0.21
CNV__RBM39,20,0,0.2
TPM__LAMB2,19,0,0.19
TPM__SH3RF2,19,1,0.19
METH__C16orf54,18,0,0.18
METH__ITGB8,17,0,0.17
METH__CDKN2D,17,0,0.17
TPM__MFNG,17,0,0.17
TPM__DLG5,16,1,0.16
TPM__TM6SF1,16,1,0.16
METH__ZNF697,16,0,0.16
METH__NLRC3,15,0,0.15
CNV__NFKBIA,15,0,0.15
METH__HSP90AA1,15,0,0.15
METH__C1orf97,15,0,0.15
CNV__SDC4,14,0,0.14
CNV__MAFB,14,1,0.14
TPM__TSKU,14,0,0.14
METH__NMT2,14,0,0.14
METH__GPRC5A,13,0,0.13
CNV__PLCG1,13,0,0.13
METH__SYTL4,13,0,0.13
TPM__ZNF483,12,0,0.12
METH__SLC44A3,12,0,0.12
METH__PPIC,12,0,0.12
METH__LMCD1,12,1,0.12
METH__LRIG3,12,0,0.12
METH__INPP5D,12,0,0.12
TPM__SH2D3C,12,0,0.12
METH__TBC1D12,12,0,0.12
TPM__LMO2,11,0,0.11
CNV__CREB3L1,11,0,0.11
TPM__RNA5SP187,10,0,0.1
CNV__SRC,10,0,0.1
TPM__RBM24,10,0,0.1
TPM__PTGES,10,0,0.1
METH__MTMR11,9,0,0.09
METH__SIX4,9,0,0.09
TPM__GNA11,9,0,0.09
METH__FAM47E,9,0,0.09
METH__FCHO1,9,0,0.09
METH__P4HA2,8,0,0.08
TPM__AGAP1,8,0,0.08
METH__SHC2,8,1,0.08
TPM__GNGT2,8,0,0.08
CNV__TCIRG1,8,0,0.08
TPM__STEAP1B-AS1,7,0,0.07
TPM__RTL8A,7,0,0.07
METH__PTGR2,7,0,0.07
METH__SUCLG2,7,0,0.07
METH__C8orf45,7,0,0.07
TPM__CHI3L2,7,0,0.07
CNV__TSHR,7,0,0.07
CNV__AJUBA,6,0,0.06
TPM__PTPRK,5,0,0.05
METH__ERBB2,5,0,0.05
METH__IL13RA1,5,0,0.05
TPM__CASKIN2,5,0,0.05
METH__SLC1A1,4,0,0.04
METH__OPHN1,4,0,0.04
METH__ARSJ,4,0,0.04
METH__RAPH1,4,0,0.04
METH__RAC2,4,0,0.04
MUT__BRAF,3,0,0.03
METH__ARHGEF10,3,0,0.03
METH__RPIA,3,0,0.03
CNV__AFF3,3,0,0.03
METH__CXCL3,2,0,0.02
METH__FKBPL,2,0,0.02
MUT__EP300,2,0,0.02
METH__AMOTL2,2,0,0.02
METH__CEBPD,2,0,0.02
METH__SUOX,2,0,0.02
CNV__RRAS2,2,0,0.02
TPM__RNA5SP216,1,0,0.01
METH__CGRRF1,1,0,0.01
METH__MTCP1,1,0,0.01
CNV__NKX2-1,1,0,0.01
METH__DOPEY1,1,0,0.01
METH__ATP6V1D,1,0,0.01
METH__ARHGEF12,1,0,0.01
CNV__KIF5B,1,0,0.01
METH__TCF3,1,0,0.01
METH__FAT1,1,0,0.01
CNV__YWHAE,1,0,0.01
TPM__RNVU1-26,1,0,0.01
CNV__TP53,1,0,0.01
METH__LRBA,1,0,0.01
METH__CD276,1,0,0.01
METH__FBXO33,1,0,0.01
METH__AGPAT9,0,0,0.0
MUT__HSPG2,0,0,0.0
MUT__KRAS,0,0,0.0
MUT__HLA-A,0,0,0.0
METH__SEC23IP,0,0,0.0
MUT__CREBBP,0,0,0.0
METH__ZNF672,0,0,0.0
METH__PCLO,0,0,0.0
MUT__KMT2C,0,0,0.0
MUT__SDHA,0,0,0.0
MUT__NBEA,0,0,0.0
CNV__MYOD1,0,0,0.0
MUT__CDKN2A,0,0,0.0
MUT__UBR5,0,0,0.0
TPM__SNORA16B,0,0,0.0
METH__C10orf114,0,0,0.0
METH__CIR1,0,0,0.0
MUT__FLCN,0,0,0.0
MUT__JAK1,0,0,0.0
METH__GABARAP,0,0,0.0
METH__TUBD1,0,0,0.0
METH__TOMM7,0,0,0.0
METH__C14orf79,0,0,0.0
METH__MIR1915,0,0,0.0
MUT__BCORL1,0,0,0.0
MUT__CRTC1,0,0,0.0
TPM__RNU4-52P,0,0,0.0
MUT__APC,0,0,0.0
