feature,selection_count,pair_count,cpss_score,r2,spearman,mutual_info,unimodal,diptest_pvalue
TPM__NCKAP1L,100,50,1.0,0.28999999165534973,-0.36,0.17,True,1.0
TPM__RPL3,100,50,1.0,0.20999999344348907,-0.46,0.17,True,1.0
TPM__SLFN11,100,50,1.0,0.14000000059604645,-0.34,0.16,True,1.0
METH__PTPN7,98,48,0.98,0.23999999463558197,0.34,0.16,True,1.0
TPM__RPL34,98,48,0.98,0.20999999344348907,-0.45,0.21,True,1.0
TPM__ARHGAP15,97,47,0.97,0.2800000011920929,-0.33,0.16,True,0.992
TPM__AOPEP,97,47,0.97,0.2199999988079071,0.43,0.19,True,0.992
TPM__CARD10,96,46,0.96,0.23000000417232513,0.41,0.2,True,0.832
TPM__ITGA3,96,46,0.96,0.25,0.45,0.18,True,0.832
TPM__TPM1,96,46,0.96,0.23000000417232513,0.43,0.22,True,0.832
TPM__PPIC,96,46,0.96,0.28999999165534973,0.49,0.18,True,0.832
TPM__DCK,95,45,0.95,0.20999999344348907,-0.36,0.16,True,0.458
TPM__LURAP1L,94,44,0.94,0.1599999964237213,0.41,0.16,True,0.181
TPM__CEP170B,93,43,0.93,0.27000001072883606,0.43,0.17,True,0.053
TPM__IKZF1,93,43,0.93,0.27000001072883606,-0.28,0.16,True,0.053
TPM__TJP1,93,44,0.93,0.27000001072883606,0.37,0.24,True,0.181
TPM__MIR142HG,92,42,0.92,0.25999999046325684,-0.3,0.19,False,0.013
TPM__RASGRP2,91,41,0.91,0.25,-0.32,0.17,False,0.002
TPM__PCDH1,90,40,0.9,0.17000000178813934,0.43,0.19,False,0.0
TPM__HRCT1,89,39,0.89,0.14000000059604645,0.47,0.16,False,0.0
TPM__EPB41L1,89,39,0.89,0.25,0.43,0.18,False,0.0
TPM__GIPC1,88,38,0.88,0.23000000417232513,0.45,0.19,False,0.0
TPM__PIK3CG,88,38,0.88,0.25,-0.32,0.19,False,0.0
TPM__PTPN7,85,35,0.85,0.27000001072883606,-0.34,0.18,False,0.0
TPM__SDC4,85,35,0.85,0.27000001072883606,0.47,0.16,False,0.0
TPM__LINC00511,84,34,0.84,0.1599999964237213,0.38,0.17,False,0.0
TPM__MANBAL,83,33,0.83,0.25,0.43,0.16,False,0.0
TPM__KRT18,83,34,0.83,0.25,0.45,0.17,False,0.0
TPM__THRB,82,32,0.82,0.15000000596046448,0.45,0.16,False,0.0
TPM__ANKLE1,81,32,0.81,0.23999999463558197,-0.43,0.17,False,0.0
TPM__KRT15,81,32,0.81,0.15000000596046448,0.45,0.17,False,0.0
TPM__RCSD1,80,31,0.8,0.23999999463558197,-0.23,0.22,False,0.0
TPM__INHBB,79,30,0.79,0.11999999731779099,0.44,0.18,False,0.0
TPM__THBS1,79,29,0.79,0.1899999976158142,0.44,0.18,False,0.0
TPM__RHOH,77,27,0.77,0.25,-0.34,0.22,False,0.0
TPM__MATN2,77,28,0.77,0.17000000178813934,0.42,0.17,False,0.0
TPM__LAPTM4A,76,27,0.76,0.20999999344348907,0.43,0.16,False,0.0
TPM__ARHGEF6,75,28,0.75,0.20999999344348907,-0.35,0.2,False,0.0
TPM__KIF21B,74,25,0.74,0.2199999988079071,-0.38,0.17,False,0.0
TPM__LMNA,74,24,0.74,0.28999999165534973,0.45,0.16,False,0.0
TPM__LYPD1,73,26,0.73,0.05000000074505806,0.36,0.16,False,0.0
TPM__SH2D4A,72,22,0.72,0.20000000298023224,0.42,0.17,False,0.0
TPM__WWC1,72,22,0.72,0.25,0.45,0.18,False,0.0
TPM__FLI1,71,24,0.71,0.20000000298023224,-0.33,0.19,False,0.0
METH__ITPRIPL1,70,24,0.7,0.18000000715255737,0.42,0.17,False,0.0
TPM__HMGB2,70,23,0.7,0.14000000059604645,-0.35,0.17,False,0.0
TPM__ANXA2,68,20,0.68,0.2199999988079071,0.44,0.19,False,0.0
TPM__ENTREP1,68,21,0.68,0.07000000029802322,0.41,0.2,False,0.0
METH__CCM2,67,20,0.67,0.2800000011920929,0.4,0.18,False,0.0
TPM__CD53,67,21,0.67,0.25,-0.3,0.19,False,0.0
METH__C1orf55,65,17,0.65,0.23999999463558197,0.38,0.18,False,0.0
TPM__INPP5D,65,18,0.65,0.20000000298023224,-0.36,0.21,False,0.0
TPM__CORO1A,64,18,0.64,0.1899999976158142,-0.31,0.17,False,0.0
TPM__PIKFYVE,64,17,0.64,0.17000000178813934,-0.38,0.17,False,0.0
TPM__KITLG,63,15,0.63,0.17000000178813934,0.43,0.17,False,0.0
TPM__RPL13A,63,17,0.63,0.15000000596046448,-0.39,0.16,False,0.0
TPM__LAPTM5,60,17,0.6,0.1899999976158142,-0.25,0.18,False,0.0
METH__PIK3CG,59,14,0.59,0.20999999344348907,0.38,0.18,False,0.0
TPM__GNG12,59,16,0.59,0.2199999988079071,0.38,0.17,False,0.0
TPM__GPC1,55,13,0.55,0.2199999988079071,0.41,0.17,False,0.0
TPM__TBC1D10C,55,12,0.55,0.23000000417232513,-0.27,0.19,False,0.0
TPM__HVCN1,54,12,0.54,0.20999999344348907,-0.32,0.17,False,0.0
TPM__LINC00938,53,12,0.53,0.17000000178813934,-0.34,0.22,False,0.0
TPM__N4BP2,53,9,0.53,0.17000000178813934,-0.34,0.18,False,0.002
TPM__MATN3,53,13,0.53,0.10000000149011612,0.4,0.18,False,0.0
TPM__PRKCB,52,9,0.52,0.20999999344348907,-0.31,0.17,False,0.002
TPM__DDAH1,52,11,0.52,0.18000000715255737,0.34,0.18,False,0.0
TPM__EPN2,52,8,0.52,0.17000000178813934,0.26,0.17,False,0.013
TPM__NIBAN2,50,9,0.5,0.23000000417232513,0.43,0.21,False,0.002
TPM__PHLDA2,50,10,0.5,0.17000000178813934,0.34,0.17,False,0.0
METH__DSTN,50,7,0.5,0.20999999344348907,-0.33,0.2,True,0.053
TPM__EPHA2-AS1,49,8,0.49,0.15000000596046448,0.43,0.19,False,0.013
TPM__IKZF2,49,9,0.49,0.07999999821186066,-0.11,0.2,False,0.002
TPM__SLC35B2,49,12,0.49,0.14000000059604645,0.33,0.17,False,0.0
