feature,Selection count,Pair count,CPSS Score
METH__DSTN,100,50,1.0
METH__FAT1,100,50,1.0
METH__MIR574,100,50,1.0
METH__C9orf150,100,50,1.0
METH__PTPN14,100,50,1.0
METH__LAPTM4A,100,50,1.0
METH__BACE1,100,50,1.0
TPM__CGB8,99,49,0.99
METH__ARHGAP5,99,49,0.99
METH__TEAD4,99,49,0.99
METH__LRP6,98,48,0.98
METH__MYO1E,98,48,0.98
METH__PPIC,98,48,0.98
METH__C14orf128,97,47,0.97
METH__PTGR2,96,46,0.96
METH__MEIS2,96,46,0.96
METH__CROT,94,44,0.94
METH__EIF2S1,94,44,0.94
METH__RAPH1,94,44,0.94
METH__SLC19A2,91,41,0.91
METH__TPX2,91,41,0.91
METH__ERP29,91,41,0.91
METH__COMTD1,90,40,0.9
METH__LCA5,90,40,0.9
METH__AHI1,90,40,0.9
METH__C6orf217,87,37,0.87
METH__TMEM116,87,37,0.87
METH__ATP6V1D,86,37,0.86
METH__SRGAP1,85,36,0.85
METH__ZNF697,83,33,0.83
METH__TAF12,83,33,0.83
METH__CHCHD4,83,33,0.83
METH__WIBG,81,33,0.81
METH__TRIM32,81,32,0.81
METH__TMEM43,80,30,0.8
METH__GAS2L1,79,33,0.79
METH__TOP2A,78,28,0.78
METH__CPNE3,78,28,0.78
METH__RAB11FIP5,78,29,0.78
METH__RAB11FIP2,77,28,0.77
METH__OAZ1,75,27,0.75
METH__RASA2,72,24,0.72
METH__YY1AP1,71,21,0.71
METH__VAV2,70,22,0.7
METH__AMZ2,69,21,0.69
METH__LAMC1,69,23,0.69
CNV__FAM135B,66,20,0.66
METH__FAM10A4,65,19,0.65
METH__FAM115A,65,20,0.65
CNV__LOX,64,19,0.64
METH__TNPO1,64,18,0.64
METH__IFIH1,61,13,0.61
METH__KIAA1967,60,14,0.6
METH__PPAPDC1B,59,10,0.59
CNV__CDH10,59,15,0.59
METH__NBPF1,59,16,0.59
METH__E4F1,57,13,0.57
METH__ABCD3,57,12,0.57
CNV__RECQL4,57,14,0.57
CNV__UGT2B17,57,12,0.57
CNV__FOXA2,54,15,0.54
METH__PPAP2A,52,11,0.52
METH__TMEM93,52,12,0.52
CNV__NDRG1,49,12,0.49
METH__RNF103,49,11,0.49
CNV__PREX2,47,9,0.47
METH__C22orf41,47,7,0.47
METH__ZNF623,46,6,0.46
CNV__PLCB4,46,9,0.46
METH__HMGCR,46,6,0.46
METH__TTC1,46,8,0.46
CNV__HNRNPA2B1,45,8,0.45
CNV__CBL,45,6,0.45
METH__JHDM1D,44,10,0.44
METH__ARHGEF12,44,9,0.44
CNV__KCNJ5,44,4,0.44
CNV__ATM,43,6,0.43
CNV__SIN3A,42,4,0.42
METH__TRAM2,41,7,0.41
METH__TFG,41,5,0.41
CNV__PAFAH1B2,40,7,0.4
METH__LNP1,40,7,0.4
METH__TSPAN9,40,6,0.4
CNV__CASP8,40,3,0.4
CNV__ARHGEF12,39,4,0.39
METH__SEC61G,39,4,0.39
CNV__GATA3,38,4,0.38
CNV__ACVR1,38,2,0.38
METH__BIVM,37,5,0.37
METH__MRPL54,37,4,0.37
CNV__IDH2,37,4,0.37
CNV__IL7R,37,7,0.37
CNV__SOX2,36,5,0.36
CNV__ETV6,35,4,0.35
METH__ZNF498,34,3,0.34
METH__HPS6,34,2,0.34
CNV__SIRPA,34,5,0.34
CNV__ABI1,34,4,0.34
METH__BLZF1,34,5,0.34
CNV__NPM1,33,2,0.33
CNV__TLX3,33,7,0.33
CNV__DDX6,33,2,0.33
CNV__RABEP1,33,5,0.33
METH__KDM4D,32,3,0.32
METH__SHPK,32,5,0.32
METH__C10orf75,32,1,0.32
CNV__HOXA11,31,4,0.31
METH__TEX9,31,1,0.31
