feature,selection_count,pair_count,cpss_score,r2,spearman,mutual_info,unimodal,diptest_pvalue
TPM__MIR142HG,100,50,1.0,0.1599999964237213,-0.19,0.22,True,1.0
METH__PTPN14,100,50,1.0,0.10999999940395355,-0.26,0.19,True,1.0
METH__KDSR,100,50,1.0,0.03999999910593033,-0.04,0.22,True,1.0
METH__ACTN1,100,50,1.0,0.10000000149011612,-0.18,0.21,True,1.0
METH__RAPH1,100,50,1.0,0.03999999910593033,-0.19,0.2,True,1.0
METH__SLC1A1,100,50,1.0,0.07999999821186066,-0.17,0.21,True,1.0
TPM__PIK3CG,100,50,1.0,0.14000000059604645,-0.16,0.2,True,1.0
METH__ZNF697,100,50,1.0,0.10999999940395355,-0.22,0.21,True,1.0
METH__C6orf217,99,49,0.99,0.05000000074505806,-0.22,0.19,True,1.0
METH__KIF1B,99,49,0.99,0.05000000074505806,-0.18,0.2,True,1.0
METH__THNSL1,97,47,0.97,0.05000000074505806,-0.11,0.19,True,0.992
METH__C7orf70,96,46,0.96,0.05000000074505806,0.12,0.21,True,0.832
METH__ZDHHC23,95,45,0.95,0.029999999329447746,-0.13,0.19,True,0.458
METH__AHI1,95,45,0.95,0.05000000074505806,-0.22,0.2,True,0.458
METH__CWC15,93,43,0.93,0.05999999865889549,-0.16,0.19,True,0.053
METH__PPAPDC1B,92,42,0.92,0.029999999329447746,-0.14,0.21,False,0.013
METH__ARPC5,91,41,0.91,0.05999999865889549,-0.15,0.2,False,0.002
METH__SKI,89,39,0.89,0.07000000029802322,-0.16,0.23,False,0.0
METH__COPB2,87,37,0.87,0.03999999910593033,-0.16,0.2,False,0.0
METH__ARMC10,86,36,0.86,0.03999999910593033,-0.14,0.21,False,0.0
CNV__MARK2,84,34,0.84,0.03999999910593033,0.23,0.19,False,0.0
MUT__PIK3CA,84,34,0.84,0.009999999776482582,-0.1,0.2,False,0.0
TPM__SNORA71C,80,31,0.8,0.0,-0.04,0.2,False,0.0
METH__LSM11,80,32,0.8,0.019999999552965164,-0.09,0.19,False,0.0
METH__AGPHD1,80,32,0.8,0.05000000074505806,-0.18,0.21,False,0.0
CNV__RBM39,74,25,0.74,0.03999999910593033,0.2,0.23,False,0.0
METH__TEX9,73,25,0.73,0.03999999910593033,-0.13,0.21,False,0.0
CNV__SPOP,71,21,0.71,0.029999999329447746,0.23,0.22,False,0.0
CNV__DUSP16,70,21,0.7,0.05000000074505806,0.2,0.19,False,0.0
CNV__COL1A1,70,21,0.7,0.019999999552965164,0.22,0.21,False,0.0
CNV__SALL4,69,20,0.69,0.03999999910593033,0.21,0.19,False,0.0
CNV__EFTUD2,68,19,0.68,0.03999999910593033,0.23,0.22,False,0.0
TPM__SNORD10,68,19,0.68,0.0,0.09,0.2,False,0.0
CNV__ASXL1,65,18,0.65,0.05000000074505806,0.2,0.21,False,0.0
CNV__CDKN1B,64,19,0.64,0.03999999910593033,0.2,0.2,False,0.0
CNV__AXIN1,64,18,0.64,0.0,0.05,0.21,False,0.0
CNV__HLF,63,16,0.63,0.019999999552965164,0.21,0.23,False,0.0
CNV__TOP1,62,16,0.62,0.03999999910593033,0.19,0.2,False,0.0
CNV__SOS1,60,12,0.6,0.029999999329447746,0.2,0.19,False,0.0
CNV__RNF43,60,14,0.6,0.029999999329447746,0.21,0.23,False,0.0
METH__RNF170,59,13,0.59,0.009999999776482582,-0.13,0.2,False,0.0
CNV__FANCM,59,14,0.59,0.029999999329447746,0.18,0.2,False,0.0
CNV__MYB,59,13,0.59,0.0,0.08,0.2,False,0.0
CNV__ARHGAP5,59,18,0.59,0.0,0.18,0.23,False,0.0
CNV__KDM5A,58,12,0.58,0.03999999910593033,0.17,0.2,False,0.0
CNV__CHD4,56,14,0.56,0.03999999910593033,0.18,0.2,False,0.0
CNV__DGCR8,55,15,0.55,0.029999999329447746,0.16,0.2,False,0.0
CNV__EPHA7,55,12,0.55,0.0,0.06,0.19,False,0.0
CNV__ATF7IP,54,10,0.54,0.03999999910593033,0.2,0.19,False,0.0
CNV__MAP2K2,54,13,0.54,0.0,-0.01,0.22,False,0.0
CNV__ETV4,54,13,0.54,0.03999999910593033,0.22,0.2,False,0.0
CNV__FOXA1,53,11,0.53,0.009999999776482582,0.18,0.22,False,0.0
CNV__SDC4,52,13,0.52,0.03999999910593033,0.19,0.2,False,0.0
CNV__PTPN6,52,11,0.52,0.029999999329447746,0.18,0.2,False,0.0
CNV__RAD51C,52,15,0.52,0.019999999552965164,0.21,0.24,False,0.0
CNV__MAFB,51,13,0.51,0.03999999910593033,0.19,0.2,False,0.0
CNV__DCTN1,50,7,0.5,0.029999999329447746,0.21,0.2,True,0.053
CNV__PTPRT,50,10,0.5,0.03999999910593033,0.19,0.21,False,0.0
CNV__ERC1,50,11,0.5,0.03999999910593033,0.17,0.2,False,0.0
CNV__SDHAF2,49,8,0.49,0.03999999910593033,0.22,0.2,False,0.013
CNV__FAT2,49,11,0.49,0.03999999910593033,0.2,0.19,False,0.0
CNV__SIRPA,49,10,0.49,0.019999999552965164,0.12,0.24,False,0.0
CNV__BCL11A,49,9,0.49,0.029999999329447746,0.2,0.21,False,0.002
CNV__NF2,49,9,0.49,0.0,0.04,0.2,False,0.002
CNV__NXF1,48,7,0.48,0.03999999910593033,0.22,0.2,True,0.053
METH__CAPZA1,48,5,0.48,0.029999999329447746,-0.05,0.2,True,0.458
CNV__CCNB1IP1,48,9,0.48,0.029999999329447746,0.17,0.21,False,0.002
CNV__CLTCL1,46,9,0.46,0.019999999552965164,0.15,0.19,False,0.002
CNV__ZNF384,45,9,0.45,0.029999999329447746,0.18,0.2,False,0.002
CNV__NFKBIA,44,6,0.44,0.009999999776482582,0.18,0.21,True,0.181
METH__SYAP1,44,6,0.44,0.029999999329447746,-0.06,0.19,True,0.181
CNV__ASPSCR1,44,10,0.44,0.029999999329447746,0.2,0.2,False,0.0
CNV__TNFRSF17,44,5,0.44,0.009999999776482582,0.11,0.19,True,0.458
METH__PDXP,44,7,0.44,0.009999999776482582,0.1,0.21,True,0.053
MUT__BRAF,44,5,0.44,0.009999999776482582,0.09,0.21,True,0.458
CNV__GPHN,44,4,0.44,0.029999999329447746,0.18,0.2,True,0.832
CNV__RBFOX2,43,7,0.43,0.0,0.04,0.18,True,0.053
CNV__FANCL,42,6,0.42,0.029999999329447746,0.2,0.21,True,0.181
CNV__LMO2,41,7,0.41,0.029999999329447746,0.17,0.21,True,0.053
CNV__CANT1,41,5,0.41,0.029999999329447746,0.2,0.23,True,0.458
CNV__MSI2,41,6,0.41,0.029999999329447746,0.21,0.24,True,0.181
CNV__LMNA,40,5,0.4,0.0,0.09,0.21,True,0.458
CNV__CREB3L1,40,3,0.4,0.029999999329447746,0.18,0.21,True,0.992
CNV__PLCB4,39,7,0.39,0.019999999552965164,0.12,0.21,True,0.053
CNV__HTRA2,39,6,0.39,0.029999999329447746,0.21,0.2,True,0.181
CNV__SOX9,38,5,0.38,0.029999999329447746,0.2,0.21,True,0.458
CNV__NKX2-1,38,6,0.38,0.009999999776482582,0.18,0.21,True,0.181
CNV__XPO1,37,5,0.37,0.019999999552965164,0.2,0.2,True,0.458
CNV__CLTC,37,6,0.37,0.019999999552965164,0.2,0.23,True,0.181
METH__ERCC3,37,2,0.37,0.009999999776482582,0.0,0.2,True,1.0
CNV__PCBP1,36,3,0.36,0.029999999329447746,0.21,0.21,True,0.992
CNV__SEPTIN9,36,4,0.36,0.029999999329447746,0.2,0.23,True,0.832
CNV__ARHGAP26,36,5,0.36,0.03999999910593033,0.19,0.21,True,0.458
CNV__FSTL3,36,5,0.36,0.0,0.0,0.21,True,0.458
METH__TRMT5,35,2,0.35,0.029999999329447746,-0.06,0.21,True,1.0
CNV__ELL,35,5,0.35,0.0,0.04,0.21,True,0.458
CNV__ZNRF3,34,2,0.34,0.0,0.05,0.19,True,1.0
CNV__PPM1D,34,3,0.34,0.009999999776482582,0.2,0.2,True,0.992
CNV__DOT1L,34,2,0.34,0.0,-0.0,0.21,True,1.0
CNV__TRAF7,34,4,0.34,0.0,0.06,0.21,True,0.832
CNV__ACKR3,34,3,0.34,0.019999999552965164,0.16,0.24,True,0.992
CNV__PTEN,33,0,0.33,0.03999999910593033,0.2,0.22,False,
CNV__STAT3,33,2,0.33,0.029999999329447746,0.19,0.19,True,1.0
CNV__GNA13,32,3,0.32,0.019999999552965164,0.19,0.19,True,0.992
CNV__BCLAF1,32,3,0.32,0.0,0.06,0.2,True,0.992
CNV__SH3GL1,32,3,0.32,0.0,-0.0,0.21,True,0.992
CNV__RGL3,32,3,0.32,0.0,0.02,0.21,True,0.992
CNV__EP300,32,4,0.32,0.0,0.05,0.2,True,0.832
CNV__CREBBP,31,5,0.31,0.0,0.06,0.23,True,0.458
METH__ADAM9,31,1,0.31,0.019999999552965164,-0.1,0.21,True,1.0
CNV__PML,31,3,0.31,0.019999999552965164,0.15,0.19,True,0.992
CNV__NEFH,30,3,0.3,0.0,0.05,0.2,True,0.992
CNV__KDM3B,30,4,0.3,0.029999999329447746,0.19,0.21,True,0.832
METH__STK11,29,1,0.29,0.009999999776482582,0.09,0.2,True,1.0
CNV__DICER1,29,4,0.29,0.019999999552965164,0.15,0.19,True,0.832
METH__CBL,29,1,0.29,0.009999999776482582,0.06,0.2,True,1.0
METH__ZNF146,29,4,0.29,0.009999999776482582,-0.09,0.19,True,0.832
CNV__DHX9,29,3,0.29,0.0,0.07,0.21,True,0.992
CNV__SRSF2,29,4,0.29,0.029999999329447746,0.2,0.22,True,0.832
CNV__ITK,29,2,0.29,0.03999999910593033,0.19,0.2,True,1.0
CNV__GATA3,29,5,0.29,0.009999999776482582,0.09,0.19,True,0.458
CNV__FANCI,28,2,0.28,0.0,0.16,0.19,True,1.0
CNV__PRKAR1A,28,1,0.28,0.029999999329447746,0.19,0.21,True,1.0
CNV__ELF3,28,2,0.28,0.0,0.08,0.2,True,1.0
CNV__TFAP4,28,3,0.28,0.0,0.06,0.22,True,0.992
CNV__PLCG1,27,3,0.27,0.03999999910593033,0.19,0.19,True,0.992
CNV__BMPR1A,27,3,0.27,0.029999999329447746,0.19,0.2,True,0.992
CNV__RBFOX1,26,3,0.26,0.009999999776482582,0.07,0.22,True,0.992
CNV__MUC1,26,2,0.26,0.0,0.09,0.2,True,1.0
CNV__FOXA2,26,1,0.26,0.019999999552965164,0.12,0.2,True,1.0
CNV__KEAP1,26,2,0.26,0.0,0.02,0.2,True,1.0
CNV__PDE4DIP,26,5,0.26,0.009999999776482582,0.11,0.19,True,0.458
CNV__DNM2,26,1,0.26,0.0,0.02,0.21,True,1.0
CNV__EXT2,26,2,0.26,0.029999999329447746,0.18,0.2,True,1.0
METH__LEO1,25,1,0.25,0.009999999776482582,-0.08,0.19,True,1.0
CNV__WT1,25,2,0.25,0.019999999552965164,0.16,0.2,True,1.0
CNV__REL,25,1,0.25,0.019999999552965164,0.2,0.21,True,1.0
METH__ALG14,25,3,0.25,0.029999999329447746,-0.11,0.2,True,0.992
CNV__IDH2,25,2,0.25,0.0,0.15,0.2,True,1.0
CNV__FCRL4,25,2,0.25,0.0,0.09,0.21,True,1.0
CNV__TSHR,24,1,0.24,0.019999999552965164,0.16,0.2,True,1.0
METH__RPL35,24,1,0.24,0.0,0.02,0.22,True,1.0
METH__LYRM7,23,1,0.23,0.009999999776482582,-0.02,0.2,True,1.0
CNV__PRRX1,23,3,0.23,0.0,0.09,0.21,True,0.992
CNV__WNK4,23,2,0.23,0.029999999329447746,0.2,0.2,True,1.0
MUT__PTEN,23,0,0.23,0.009999999776482582,-0.08,0.2,False,
