feature,Selection count,Pair count,CPSS Score
TPM__MIR142HG,100,50,1.0
METH__PTPN14,100,50,1.0
METH__KDSR,100,50,1.0
METH__ACTN1,100,50,1.0
METH__RAPH1,100,50,1.0
METH__SLC1A1,100,50,1.0
TPM__PIK3CG,100,50,1.0
METH__ZNF697,100,50,1.0
METH__C6orf217,99,49,0.99
METH__KIF1B,99,49,0.99
METH__THNSL1,97,47,0.97
METH__C7orf70,96,46,0.96
METH__ZDHHC23,95,45,0.95
METH__AHI1,95,45,0.95
METH__CWC15,93,43,0.93
METH__PPAPDC1B,92,42,0.92
METH__ARPC5,91,41,0.91
METH__SKI,89,39,0.89
METH__COPB2,87,37,0.87
METH__ARMC10,86,36,0.86
CNV__MARK2,84,34,0.84
MUT__PIK3CA,84,34,0.84
TPM__SNORA71C,80,31,0.8
METH__LSM11,80,32,0.8
METH__AGPHD1,80,32,0.8
CNV__RBM39,74,25,0.74
METH__TEX9,73,25,0.73
CNV__SPOP,71,21,0.71
CNV__DUSP16,70,21,0.7
CNV__COL1A1,70,21,0.7
CNV__SALL4,69,20,0.69
CNV__EFTUD2,68,19,0.68
TPM__SNORD10,68,19,0.68
CNV__ASXL1,65,18,0.65
CNV__CDKN1B,64,19,0.64
CNV__AXIN1,64,18,0.64
CNV__HLF,63,16,0.63
CNV__TOP1,62,16,0.62
CNV__SOS1,60,12,0.6
CNV__RNF43,60,14,0.6
METH__RNF170,59,13,0.59
CNV__FANCM,59,14,0.59
CNV__MYB,59,13,0.59
CNV__ARHGAP5,59,18,0.59
CNV__KDM5A,58,12,0.58
CNV__CHD4,56,14,0.56
CNV__EPHA7,55,12,0.55
CNV__DGCR8,55,15,0.55
CNV__ATF7IP,54,10,0.54
CNV__MAP2K2,54,13,0.54
CNV__ETV4,54,13,0.54
CNV__FOXA1,53,11,0.53
CNV__SDC4,52,13,0.52
CNV__PTPN6,52,11,0.52
CNV__RAD51C,52,15,0.52
CNV__MAFB,51,13,0.51
CNV__DCTN1,50,7,0.5
CNV__PTPRT,50,10,0.5
CNV__ERC1,50,11,0.5
CNV__BCL11A,49,9,0.49
CNV__NF2,49,9,0.49
CNV__SIRPA,49,10,0.49
CNV__SDHAF2,49,8,0.49
CNV__FAT2,49,11,0.49
CNV__NXF1,48,7,0.48
METH__CAPZA1,48,5,0.48
CNV__CCNB1IP1,48,9,0.48
CNV__CLTCL1,46,9,0.46
CNV__ZNF384,45,9,0.45
CNV__NFKBIA,44,6,0.44
METH__SYAP1,44,6,0.44
CNV__ASPSCR1,44,10,0.44
CNV__TNFRSF17,44,5,0.44
METH__PDXP,44,7,0.44
MUT__BRAF,44,5,0.44
CNV__GPHN,44,4,0.44
CNV__RBFOX2,43,7,0.43
CNV__FANCL,42,6,0.42
CNV__LMO2,41,7,0.41
CNV__CANT1,41,5,0.41
CNV__MSI2,41,6,0.41
CNV__LMNA,40,5,0.4
CNV__CREB3L1,40,3,0.4
CNV__PLCB4,39,7,0.39
CNV__HTRA2,39,6,0.39
CNV__SOX9,38,5,0.38
CNV__NKX2-1,38,6,0.38
CNV__XPO1,37,5,0.37
CNV__CLTC,37,6,0.37
METH__ERCC3,37,2,0.37
CNV__FSTL3,36,5,0.36
CNV__ARHGAP26,36,5,0.36
CNV__SEPTIN9,36,4,0.36
CNV__PCBP1,36,3,0.36
CNV__ELL,35,5,0.35
METH__TRMT5,35,2,0.35
CNV__ZNRF3,34,2,0.34
CNV__PPM1D,34,3,0.34
CNV__DOT1L,34,2,0.34
CNV__TRAF7,34,4,0.34
CNV__ACKR3,34,3,0.34
CNV__PTEN,33,0,0.33
CNV__STAT3,33,2,0.33
CNV__SH3GL1,32,3,0.32
CNV__RGL3,32,3,0.32
CNV__EP300,32,4,0.32
CNV__BCLAF1,32,3,0.32
CNV__GNA13,32,3,0.32
CNV__CREBBP,31,5,0.31
METH__ADAM9,31,1,0.31
CNV__PML,31,3,0.31
CNV__NEFH,30,3,0.3
CNV__KDM3B,30,4,0.3
METH__STK11,29,1,0.29
CNV__DICER1,29,4,0.29
METH__CBL,29,1,0.29
METH__ZNF146,29,4,0.29
CNV__DHX9,29,3,0.29
CNV__SRSF2,29,4,0.29
CNV__ITK,29,2,0.29
CNV__GATA3,29,5,0.29
CNV__ELF3,28,2,0.28
CNV__TFAP4,28,3,0.28
CNV__PRKAR1A,28,1,0.28
CNV__FANCI,28,2,0.28
CNV__BMPR1A,27,3,0.27
CNV__PLCG1,27,3,0.27
CNV__RBFOX1,26,3,0.26
CNV__MUC1,26,2,0.26
CNV__FOXA2,26,1,0.26
CNV__KEAP1,26,2,0.26
CNV__PDE4DIP,26,5,0.26
CNV__DNM2,26,1,0.26
CNV__EXT2,26,2,0.26
METH__ALG14,25,3,0.25
CNV__FCRL4,25,2,0.25
CNV__IDH2,25,2,0.25
CNV__REL,25,1,0.25
CNV__WT1,25,2,0.25
METH__LEO1,25,1,0.25
METH__RPL35,24,1,0.24
CNV__TSHR,24,1,0.24
METH__LYRM7,23,1,0.23
CNV__PRRX1,23,3,0.23
CNV__WNK4,23,2,0.23
MUT__PTEN,23,0,0.23
CNV__GOLGA5,23,1,0.23
CNV__CPEB3,22,1,0.22
CNV__TENT5C,22,4,0.22
CNV__ABL2,22,3,0.22
CNV__RNF213,22,2,0.22
CNV__PAX5,22,3,0.22
CNV__HNF1A,22,1,0.22
CNV__STK11,21,0,0.21
CNV__CRTC1,21,0,0.21
CNV__TSC2,21,1,0.21
CNV__ZNF148,21,2,0.21
CNV__ARHGEF10L,21,0,0.21
CNV__PRF1,21,0,0.21
CNV__NTRK1,21,1,0.21
CNV__MRTFA,20,1,0.2
CNV__RPL5,20,1,0.2
METH__TCERG1,20,0,0.2
CNV__LYL1,20,0,0.2
CNV__TMPRSS2,20,2,0.2
METH__UGGT1,19,1,0.19
CNV__PAX7,19,1,0.19
CNV__SFMBT2,19,0,0.19
MUT__CDH1,19,0,0.19
CNV__ZNF429,19,1,0.19
CNV__HRAS,18,1,0.18
CNV__CYP2C8,18,2,0.18
CNV__UBE2D2,18,0,0.18
CNV__TLX1,17,0,0.17
CNV__FCGR2B,17,1,0.17
CNV__DAZAP1,17,0,0.17
CNV__ZCRB1,17,0,0.17
CNV__DNAJB1,17,0,0.17
CNV__GRIN2A,17,2,0.17
METH__COMMD8,17,0,0.17
CNV__FUBP1,17,2,0.17
CNV__H3-3B,17,0,0.17
CNV__TLL1,17,1,0.17
CNV__PRKACA,17,0,0.17
CNV__NOTCH2,16,0,0.16
CNV__BRD7,16,1,0.16
METH__SLC10A7,16,0,0.16
CNV__PALB2,16,1,0.16
CNV__TCL1A,16,0,0.16
CNV__PBX1,16,2,0.16
CNV__FAS,16,0,0.16
CNV__LDB1,16,1,0.16
CNV__BLM,16,0,0.16
CNV__GNA11,16,0,0.16
METH__QRICH2,15,1,0.15
CNV__RMI2,15,0,0.15
CNV__IFNAR1,15,0,0.15
CNV__DTX1,15,0,0.15
CNV__CEBPA,15,0,0.15
CNV__ARID1B,14,0,0.14
CNV__HERPUD1,14,1,0.14
CNV__SMARCA4,14,1,0.14
