feature,selection_count,pair_count,cpss_score,r2,spearman,mutual_info,unimodal,diptest_pvalue,threshold_type,threshold_value,above_threshold
METH__PRSS48,100,50,1.0,0.17000000178813934,0.35,0.23,True,1.0,unimodal,0.7,True
TPM__P2RY8,100,50,1.0,0.20999999344348907,-0.25,0.25,True,1.0,unimodal,0.7,True
TPM__PARVA,100,50,1.0,0.1899999976158142,0.39,0.22,True,1.0,unimodal,0.7,True
TPM__PDE1B,100,50,1.0,0.1899999976158142,-0.33,0.24,True,1.0,unimodal,0.7,True
TPM__NCKAP1L,100,50,1.0,0.20999999344348907,-0.31,0.22,True,1.0,unimodal,0.7,True
METH__FAT1,100,50,1.0,0.17000000178813934,-0.36,0.23,True,1.0,unimodal,0.7,True
METH__TEAD4,100,50,1.0,0.12999999523162842,-0.29,0.27,True,1.0,unimodal,0.7,True
METH__DSTN,100,50,1.0,0.18000000715255737,-0.37,0.22,True,1.0,unimodal,0.7,True
METH__CCM2,100,50,1.0,0.27000001072883606,0.41,0.28,True,1.0,unimodal,0.7,True
TPM__RASGRP2,100,50,1.0,0.18000000715255737,-0.33,0.22,True,1.0,unimodal,0.7,True
METH__MAP4K1,100,50,1.0,0.2199999988079071,0.37,0.22,True,1.0,unimodal,0.7,True
METH__RAVER1,100,50,1.0,0.1599999964237213,-0.24,0.22,True,1.0,unimodal,0.7,True
METH__ZNF697,100,50,1.0,0.14000000059604645,-0.27,0.23,True,1.0,unimodal,0.7,True
TPM__TRAF3IP3,100,50,1.0,0.2199999988079071,-0.38,0.23,True,1.0,unimodal,0.7,True
TPM__SRGAP1,100,50,1.0,0.18000000715255737,0.38,0.21,True,1.0,unimodal,0.7,True
TPM__IKZF1,100,50,1.0,0.25,-0.33,0.26,True,1.0,unimodal,0.7,True
TPM__CARD10,100,50,1.0,0.17000000178813934,0.36,0.21,True,1.0,unimodal,0.7,True
METH__PRIC285,100,50,1.0,0.2199999988079071,0.38,0.23,True,1.0,unimodal,0.7,True
TPM__MIR142HG,100,50,1.0,0.23999999463558197,-0.29,0.27,True,1.0,unimodal,0.7,True
TPM__DOCK1,100,50,1.0,0.18000000715255737,0.29,0.21,True,1.0,unimodal,0.7,True
TPM__GMFG,100,50,1.0,0.20000000298023224,-0.25,0.22,True,1.0,unimodal,0.7,True
TPM__ACP7,99,49,0.99,0.019999999552965164,0.29,0.25,True,1.0,unimodal,0.7,True
METH__THBS1,99,49,0.99,0.17000000178813934,-0.38,0.22,True,1.0,unimodal,0.7,True
TPM__PIK3CG,99,49,0.99,0.20999999344348907,-0.25,0.26,True,1.0,unimodal,0.7,True
METH__INTU,98,48,0.98,0.1599999964237213,-0.31,0.23,True,1.0,unimodal,0.7,True
TPM__KRT23,98,48,0.98,0.029999999329447746,0.24,0.21,True,1.0,unimodal,0.7,True
METH__LRIG3,98,48,0.98,0.15000000596046448,-0.31,0.23,True,1.0,unimodal,0.7,True
METH__NRP1,97,47,0.97,0.14000000059604645,-0.37,0.3,True,0.992,unimodal,0.7,True
METH__TERF1,97,47,0.97,0.17000000178813934,-0.37,0.22,True,0.992,unimodal,0.7,True
