feature,Selection count,Pair count,CPSS Score
TPM__MIR142HG,100,50,1.0
METH__MIR1469,100,50,1.0
METH__TMEM51,100,50,1.0
TPM__ARHGAP15,100,50,1.0
METH__ARHGAP5,100,50,1.0
METH__CCM2,100,50,1.0
METH__DSTN,100,50,1.0
METH__LRIG3,100,50,1.0
METH__TPX2,100,50,1.0
METH__C14orf128,100,50,1.0
METH__KLF4,100,50,1.0
METH__C9orf150,100,50,1.0
TPM__PIK3CG,100,50,1.0
METH__TMEM149,100,50,1.0
TPM__IKZF1,100,50,1.0
METH__INTU,100,50,1.0
METH__PCGF2,99,49,0.99
METH__ZNF697,99,49,0.99
METH__PARD3B,98,48,0.98
METH__EFNA5,98,48,0.98
METH__PTGR2,97,47,0.97
METH__SNX33,95,45,0.95
METH__PTPN14,94,44,0.94
METH__ATP6V1D,93,43,0.93
METH__LRP6,92,42,0.92
METH__AGPHD1,90,40,0.9
METH__TOP2A,88,38,0.88
METH__C7orf70,87,37,0.87
METH__LRBA,86,36,0.86
METH__EDN1,85,36,0.85
METH__CHUK,84,35,0.84
METH__C7orf11,83,33,0.83
METH__NRP1,82,33,0.82
METH__ZNF226,82,32,0.82
METH__C12orf41,81,33,0.81
METH__UBE2C,81,33,0.81
METH__ARHGEF12,81,31,0.81
METH__OLFML2B,81,33,0.81
METH__ABCD3,78,28,0.78
METH__C7orf10,74,25,0.74
METH__C9orf30,73,25,0.73
METH__RGMB,73,24,0.73
METH__CLNS1A,72,22,0.72
CNV__FAT3,70,23,0.7
METH__AHI1,69,21,0.69
METH__BIVM,65,22,0.65
CNV__FAM174B,64,15,0.64
METH__TBC1D17,62,17,0.62
CNV__FANCM,62,16,0.62
METH__MRPS11,61,18,0.61
METH__RAPH1,60,16,0.6
METH__TMEM106B,60,16,0.6
CNV__SMAD3,60,16,0.6
CNV__FAM135B,59,15,0.59
CNV__PML,59,15,0.59
CNV__MAML2,57,13,0.57
METH__SKI,57,11,0.57
METH__MAFF,56,12,0.56
CNV__MAP2K1,56,14,0.56
CNV__UGT2B17,55,13,0.55
METH__WBSCR27,55,11,0.55
CNV__ARHGAP5,54,12,0.54
METH__SGTB,53,11,0.53
CNV__NPEPPS,51,10,0.51
CNV__PRR14,50,8,0.5
CNV__PLCB4,45,10,0.45
CNV__CRTC3,44,4,0.44
METH__HMGCR,44,6,0.44
CNV__NTRK3,43,4,0.43
METH__RAF1,42,7,0.42
METH__LOC81691,42,7,0.42
CNV__FANCI,41,8,0.41
METH__RASA2,41,8,0.41
CNV__NIN,40,7,0.4
CNV__SBDS,40,6,0.4
CNV__ERBB3,39,6,0.39
CNV__BLM,39,7,0.39
METH__COG7,39,5,0.39
METH__GPN3,39,3,0.39
METH__ERI2,38,7,0.38
METH__ID1,38,3,0.38
METH__DAG1,38,6,0.38
METH__WIBG,38,7,0.38
CNV__SIN3A,38,6,0.38
CNV__NT5C3A,38,5,0.38
METH__STRN,37,4,0.37
CNV__TNFRSF17,37,5,0.37
METH__RPL23AP7,37,2,0.37
CNV__SFRP4,37,6,0.37
CNV__ZNRF3,36,3,0.36
CNV__COL1A1,36,5,0.36
METH__PLAA,36,4,0.36
METH__TMEM44,35,5,0.35
CNV__FUS,34,1,0.34
CNV__MSI2,33,5,0.33
CNV__MAP3K13,33,4,0.33
METH__PHF17,33,5,0.33
CNV__HOXA9,32,5,0.32
CNV__IDH2,32,3,0.32
METH__SLC19A2,31,3,0.31
METH__ZNF224,30,1,0.3
CNV__NUMA1,30,5,0.3
CNV__FES,30,0,0.3
CNV__MEN1,29,0,0.29
CNV__IKZF1,29,3,0.29
CNV__LPP,29,4,0.29
CNV__WIF1,28,3,0.28
METH__TARS,27,1,0.27
CNV__CHD2,27,2,0.27
CNV__H3C2,27,1,0.27
CNV__TET2,27,3,0.27
CNV__TLX3,27,4,0.27
METH__MAP3K4,27,1,0.27
CNV__HLF,26,3,0.26
METH__SF3B4,25,2,0.25
METH__C9orf41,25,2,0.25
METH__TRMT5,24,1,0.24
METH__KCTD16,24,2,0.24
METH__RPS6KA4,24,2,0.24
CNV__DEK,24,3,0.24
CNV__EGFR,24,2,0.24
CNV__DIS3,24,3,0.24
CNV__TP63,24,2,0.24
METH__ALG14,23,2,0.23
CNV__CUX1,23,3,0.23
CNV__USP8,23,1,0.23
CNV__FANCE,23,1,0.23
CNV__SPOP,22,3,0.22
CNV__KLF5,22,3,0.22
CNV__HOXC13,22,0,0.22
CNV__ERCC4,22,2,0.22
CNV__NOTCH2,22,1,0.22
METH__POLM,21,0,0.21
CNV__BCL6,21,1,0.21
CNV__CCNB1IP1,20,2,0.2
CNV__EBF1,20,1,0.2
CNV__PTPN11,20,0,0.2
METH__RABL2A,19,1,0.19
CNV__RNF43,19,1,0.19
METH__DCAF12,19,1,0.19
CNV__RELA,19,1,0.19
CNV__MUC1,19,2,0.19
CNV__NPM1,18,0,0.18
METH__NAP1L1,18,1,0.18
METH__CDC14A,18,1,0.18
METH__PDIK1L,18,0,0.18
CNV__GOLGA5,18,0,0.18
CNV__PDGFRA,18,1,0.18
CNV__ARHGAP26,17,0,0.17
CNV__SDHB,17,1,0.17
CNV__AXIN1,17,1,0.17
METH__ZC3H11A,17,0,0.17
CNV__FLT4,17,2,0.17
METH__TRAF4,16,1,0.16
METH__KLF5,16,3,0.16
CNV__MLLT6,16,0,0.16
CNV__MDM2,16,0,0.16
CNV__H4C9,15,2,0.15
CNV__LTB,15,2,0.15
CNV__FGFR4,14,1,0.14
CNV__HOXD11,14,1,0.14
CNV__RAP1GDS1,14,0,0.14
METH__NIF3L1,14,0,0.14
CNV__NCOA4,14,0,0.14
CNV__TCL1A,14,1,0.14
METH__NFYA,14,0,0.14
CNV__HOXA11,14,1,0.14
CNV__CREB3L1,14,1,0.14
CNV__ZBTB7B,14,0,0.14
METH__SLC38A6,14,0,0.14
CNV__SDHAF2,13,0,0.13
CNV__H3-3B,13,0,0.13
CNV__MARK2,13,1,0.13
CNV__EIF4A2,13,1,0.13
CNV__HMGA1,13,3,0.13
CNV__CCR7,13,0,0.13
CNV__CBLB,13,0,0.13
METH__SF1,13,0,0.13
CNV__ID3,13,0,0.13
CNV__DAXX,13,2,0.13
METH__DRG1,13,0,0.13
CNV__TEC,13,0,0.13
CNV__TFG,12,1,0.12
CNV__EPHA2,12,1,0.12
CNV__LATS2,12,0,0.12
CNV__ZNF680,12,1,0.12
CNV__MYH11,12,0,0.12
CNV__KIFC1,12,0,0.12
CNV__SF3B1,12,0,0.12
METH__IQCH,12,1,0.12
CNV__ETV5,12,0,0.12
CNV__DTX1,11,0,0.11
CNV__TRAF7,11,0,0.11
CNV__ATR,11,0,0.11
METH__BCS1L,11,1,0.11
CNV__TGFBR2,11,0,0.11
CNV__PARP4,11,0,0.11
METH__SPEN,11,0,0.11
METH__FZD4,10,0,0.1
METH__FUK,10,1,0.1
CNV__STAT5B,10,0,0.1
CNV__PDE4DIP,10,1,0.1
CNV__PTPRC,10,0,0.1
CNV__RPN1,10,0,0.1
METH__FAM118B,10,0,0.1
METH__NARFL,10,0,0.1
CNV__CEBPA,10,0,0.1
METH__C2orf24,10,0,0.1
METH__AURKAPS1,10,0,0.1
CNV__HOXC11,10,0,0.1
CNV__IL21R,9,0,0.09
METH__SPCS3,9,0,0.09
CNV__SOCS1,9,0,0.09
CNV__CYLD,9,0,0.09
METH__ATP6V1H,9,1,0.09
CNV__RMI2,9,0,0.09
CNV__PIK3CB,9,0,0.09
METH__LOC148189,9,1,0.09
CNV__PCBP1,9,0,0.09
METH__LAP3,9,0,0.09
CNV__PDGFRB,9,0,0.09
CNV__HMGA2,9,0,0.09
METH__ZDHHC2,9,1,0.09
METH__SNX16,9,0,0.09
CNV__RAD51C,9,0,0.09
CNV__ASXL2,9,0,0.09
CNV__ESRRA,9,0,0.09
METH__PPID,8,0,0.08
CNV__POU5F1,8,0,0.08
CNV__DOT1L,8,0,0.08
CNV__EPS15,8,0,0.08
CNV__ELF3,8,0,0.08
CNV__KLHL36,8,0,0.08
CNV__MSH2,8,1,0.08
CNV__RASA2,8,0,0.08
CNV__ZBTB20,8,0,0.08
CNV__SMARCE1,8,0,0.08
METH__DNAJC24,8,0,0.08
CNV__EML4,8,0,0.08
METH__CBL,7,0,0.07
METH__KIAA1328,7,0,0.07
CNV__BRCA1,7,0,0.07
METH__MED6,7,0,0.07
CNV__ZNF93,7,0,0.07
CNV__PRKAR1A,7,0,0.07
CNV__FBXO11,7,0,0.07
CNV__CASP8,7,0,0.07
CNV__STRN,7,0,0.07
CNV__FCGR2B,7,0,0.07
CNV__FOXL2,7,0,0.07
METH__TMEM194A,6,0,0.06
CNV__PHOX2B,6,0,0.06
METH__COMMD8,6,0,0.06
METH__USMG5,6,0,0.06
METH__GATSL2,6,0,0.06
METH__REL,6,0,0.06
METH__ROCK1,6,0,0.06
CNV__AKT2,6,0,0.06
CNV__HERPUD1,6,0,0.06
CNV__H3-3A,6,0,0.06
CNV__TAL1,6,0,0.06
CNV__HOXD13,6,0,0.06
METH__SEC22C,6,0,0.06
CNV__PALB2,5,1,0.05
CNV__SOX9,5,1,0.05
METH__MRPL22,5,0,0.05
CNV__NXF1,5,0,0.05
CNV__USP44,5,0,0.05
CNV__JUN,5,0,0.05
METH__TMEM14B,5,0,0.05
METH__MED14,5,0,0.05
METH__FLJ37453,5,0,0.05
METH__RAB28,5,0,0.05
CNV__ZNF780A,5,0,0.05
CNV__ALK,5,0,0.05
CNV__FSTL3,5,0,0.05
METH__NGRN,5,0,0.05
CNV__BTG1,5,0,0.05
METH__COX6A1,5,0,0.05
METH__VASP,5,0,0.05
METH__E2F7,5,0,0.05
METH__WDYHV1,5,0,0.05
METH__FANCL,5,0,0.05
CNV__PTPN14,5,0,0.05
METH__DCBLD2,5,0,0.05
METH__C12orf26,4,0,0.04
CNV__RHPN2,4,0,0.04
METH__PTBP1,4,1,0.04
CNV__EXT2,4,0,0.04
CNV__TRIP11,4,0,0.04
CNV__NFE2L2,4,0,0.04
CNV__POLQ,4,0,0.04
CNV__BCL2L12,4,0,0.04
CNV__WT1,4,0,0.04
CNV__KMT2B,4,0,0.04
CNV__ACKR3,4,0,0.04
CNV__FANCA,4,0,0.04
METH__LOC492303,4,0,0.04
CNV__SPEN,4,0,0.04
METH__SEC61A1,4,0,0.04
METH__HDGF2,4,0,0.04
