feature,Selection count,Pair count,CPSS Score
TPM__TNFRSF12A,100,50,1.0
TPM__SDC4,100,50,1.0
TPM__TJP1,99,49,0.99
TPM__IKZF1,99,49,0.99
TPM__SLC49A4,99,49,0.99
TPM__ITGA3,98,48,0.98
TPM__SH3D19,97,47,0.97
TPM__GPRC5A,97,47,0.97
TPM__AMOTL2,96,46,0.96
TPM__CCN1,95,45,0.95
METH__PTPN14,95,45,0.95
TPM__NCKAP1,94,44,0.94
TPM__KRT18,94,44,0.94
TPM__ANXA2,92,42,0.92
TPM__PRSS23,92,42,0.92
TPM__PLPP2,91,41,0.91
TPM__RHBDF1,91,41,0.91
TPM__ARHGAP29,90,40,0.9
TPM__PPIC,88,38,0.88
TPM__MET,88,38,0.88
TPM__FKBP9,87,37,0.87
TPM__PARVA,87,37,0.87
TPM__ITGB5,87,37,0.87
TPM__MYOF,86,36,0.86
TPM__GIPC1,85,35,0.85
TPM__EPHA2,85,35,0.85
TPM__YAP1,85,35,0.85
TPM__ANKRD1,84,34,0.84
TPM__ELMO1,84,34,0.84
TPM__MIR142HG,83,33,0.83
TPM__S100A10,79,29,0.79
METH__MIR142,79,31,0.79
TPM__DCBLD2,78,28,0.78
TPM__LINC00973,77,28,0.77
TPM__KRT15,77,28,0.77
TPM__DAG1,77,28,0.77
TPM__BCAR3,76,28,0.76
TPM__ERRFI1,75,27,0.75
TPM__BCAR1,75,26,0.75
TPM__CTTN,75,26,0.75
TPM__MATN3,75,29,0.75
TPM__TM4SF1,74,25,0.74
TPM__PADI1,73,24,0.73
TPM__WAS,73,23,0.73
TPM__TGFBI,73,24,0.73
TPM__EGFR,72,24,0.72
TPM__CAV2,68,20,0.68
TPM__HRCT1,67,18,0.67
TPM__PLK2,67,22,0.67
TPM__CTNNA1,65,19,0.65
TPM__RIPK4,64,19,0.64
TPM__CD151,64,17,0.64
TPM__RASAL2-AS1,61,15,0.61
TPM__GULP1,61,16,0.61
TPM__GNG12,61,16,0.61
TPM__NTN4,59,12,0.59
METH__LAMB2,58,15,0.58
TPM__VEPH1,57,10,0.57
TPM__EPHA2-AS1,57,14,0.57
TPM__TWF1,56,13,0.56
TPM__FAM114A1,55,9,0.55
TPM__P4HA2,55,14,0.55
TPM__ANXA2P2,55,13,0.55
TPM__PDE1B,53,11,0.53
TPM__SEPTIN6,52,11,0.52
TPM__SEMA3C,52,11,0.52
TPM__FN1,51,11,0.51
METH__MARVELD3,50,7,0.5
TPM__AHNAK2,50,8,0.5
TPM__LMNA,49,7,0.49
TPM__TWF1P1,49,7,0.49
TPM__CD53,48,9,0.48
TPM__PKD1L2,48,9,0.48
METH__PRIC285,48,10,0.48
TPM__TLCD2,47,9,0.47
TPM__PLCD3,47,6,0.47
TPM__NQO1,47,9,0.47
TPM__NPAS2,47,6,0.47
TPM__PLS3,46,9,0.46
TPM__CAVIN1,45,9,0.45
TPM__PLEKHN1,45,4,0.45
TPM__ABLIM3,45,7,0.45
TPM__WWTR1,44,7,0.44
TPM__TM4SF1-AS1,42,5,0.42
TPM__PTPN7,41,6,0.41
TPM__HEXB,40,5,0.4
TPM__ASPH,39,4,0.39
TPM__ITGB1P1,38,5,0.38
METH__RAVER1,37,2,0.37
TPM__CRIM1,37,4,0.37
TPM__SRPX2,37,4,0.37
METH__OSM,36,5,0.36
METH__PSMB8,36,4,0.36
METH__CCM2,36,4,0.36
TPM__GFI1,36,5,0.36
TPM__LAMC2,35,2,0.35
METH__JUB,35,4,0.35
TPM__LIF,34,1,0.34
TPM__FAM78A,33,4,0.33
METH__PKN1,33,2,0.33
TPM__PPP1R14B-AS1,31,3,0.31
METH__MIR1200,30,2,0.3
TPM__IL12RB1,30,1,0.3
METH__DSTN,30,2,0.3
METH__GPX8,29,0,0.29
TPM__SH3TC2-DT,29,1,0.29
TPM__RBPMS-AS1,29,2,0.29
TPM__TRAF3IP3,28,6,0.28
TPM__ITGB1,27,1,0.27
TPM__IRAG2,26,4,0.26
TPM__SNCG,26,2,0.26
TPM__CAPN2,25,1,0.25
TPM__S100A16,25,1,0.25
TPM__GPX8,25,2,0.25
TPM__LINC01186,25,2,0.25
TPM__LINC02535,24,2,0.24
METH__GULP1,23,2,0.23
TPM__MANCR,22,0,0.22
METH__NPAS2,21,0,0.21
TPM__LIF-AS2,21,0,0.21
TPM__LINC03061,20,2,0.2
METH__EIF3K,19,0,0.19
TPM__ARHGAP15,19,0,0.19
TPM__LINC01836,19,1,0.19
TPM__CTNND1,18,0,0.18
METH__EXOC6B,18,2,0.18
METH__TMEM149,17,0,0.17
TPM__SH3TC2,17,1,0.17
