feature,Selection count,Pair count,CPSS Score
METH__MIR142,100,50,1.0
TPM__C19orf33,100,50,1.0
TPM__IKZF1,100,50,1.0
TPM__SDC4,100,50,1.0
TPM__TJP1,100,50,1.0
TPM__SPATS2L,100,50,1.0
TPM__KRT8,100,50,1.0
TPM__KRT18,100,50,1.0
TPM__ITGA3,99,49,0.99
TPM__CD53,99,49,0.99
TPM__MIR142HG,99,49,0.99
METH__EIF3K,97,47,0.97
TPM__PADI1,97,47,0.97
TPM__AMOTL2,97,47,0.97
TPM__SEPTIN6,97,47,0.97
TPM__PON2,96,46,0.96
TPM__PTPN7,96,46,0.96
TPM__TNFRSF12A,96,46,0.96
TPM__BCAR3,96,46,0.96
TPM__WASL,96,46,0.96
TPM__ZNF860,95,45,0.95
METH__MAP4K1,95,45,0.95
TPM__HRCT1,95,45,0.95
TPM__S100A16,94,44,0.94
METH__ANKRD44,94,44,0.94
METH__OSM,94,44,0.94
TPM__TNS2,93,43,0.93
TPM__GMFG,92,42,0.92
TPM__SGMS2,91,41,0.91
TPM__MFNG,91,41,0.91
TPM__ANKRD1,91,41,0.91
TPM__TWF1,90,40,0.9
TPM__DOCK1,90,40,0.9
TPM__YAP1,90,41,0.9
TPM__ARHGEF28,90,40,0.9
TPM__ARHGAP30,90,40,0.9
TPM__CTTN,89,39,0.89
TPM__CCN1,88,38,0.88
TPM__ANXA2,88,38,0.88
TPM__MATN3,87,37,0.87
METH__LOC100130776,86,36,0.86
TPM__NACC2,86,36,0.86
METH__CCM2,85,35,0.85
TPM__ITGB5,84,35,0.84
TPM__PLEC,83,33,0.83
METH__PRIC285,83,34,0.83
METH__MIR1469,82,33,0.82
TPM__PARVA,79,30,0.79
TPM__NCKAP1L,79,30,0.79
METH__AGAP2,78,28,0.78
TPM__ZNF112,78,29,0.78
TPM__EPHA2-AS1,77,28,0.77
TPM__CORO1A-AS1,76,28,0.76
TPM__ELMO1,75,26,0.75
TPM__NR2F2,74,25,0.74
TPM__RCSD1,74,26,0.74
TPM__UACA,73,26,0.73
METH__MAP1LC3B2,73,23,0.73
TPM__TMTC3,70,23,0.7
TPM__CXCR4,67,20,0.67
TPM__IL12RB1,67,20,0.67
TPM__SH2D3C,67,17,0.67
TPM__ZNF205,64,19,0.64
METH__KRI1,64,15,0.64
TPM__GNG12,64,17,0.64
TPM__SHB,64,19,0.64
TPM__RIPK4,63,18,0.63
METH__SH3BGRL2,61,19,0.61
TPM__P2RY8,61,18,0.61
METH__NR2F2,61,16,0.61
METH__PRSS48,57,15,0.57
TPM__PDE1B,56,12,0.56
TPM__THSD4,54,14,0.54
METH__MARVELD2,49,8,0.49
TPM__IRAG2,47,7,0.47
TPM__WFS1,46,9,0.46
METH__TRIM3,46,8,0.46
TPM__NECTIN2,46,9,0.46
TPM__SOWAHB,44,11,0.44
TPM__SH3TC2-DT,43,10,0.43
METH__VAV1,43,6,0.43
METH__KLF4,41,3,0.41
TPM__AFF2,41,5,0.41
METH__NPAS2,40,5,0.4
METH__RHOH,40,3,0.4
METH__C1orf126,38,3,0.38
METH__ERBB2,37,4,0.37
METH__PTPRCAP,37,2,0.37
METH__TMEM51,36,3,0.36
METH__TJP1,35,4,0.35
METH__CDKN2D,33,5,0.33
METH__LAMB2,33,4,0.33
METH__CASZ1,33,5,0.33
TPM__PPP1R16B,31,2,0.31
METH__BIN2,31,0,0.31
TPM__WWC2,30,2,0.3
METH__GPX8,29,2,0.29
METH__PPIC,29,2,0.29
METH__AP1B1,26,3,0.26
METH__EVL,26,3,0.26
METH__THBS1,25,0,0.25
METH__SCMH1,24,2,0.24
METH__DSTN,23,1,0.23
METH__TMEM149,22,1,0.22
TPM__RHOH,18,1,0.18
METH__INTU,18,1,0.18
METH__PDLIM1,17,0,0.17
METH__ZNF358,16,0,0.16
TPM__PIK3CG,16,2,0.16
METH__TEAD4,13,0,0.13
METH__RGNEF,13,0,0.13
METH__FCHO1,13,1,0.13
METH__SASH1,13,0,0.13
METH__MAP4K3,13,0,0.13
