feature,selection_count,pair_count,cpss_score,r2,spearman,mutual_info,unimodal,diptest_pvalue,threshold_type,threshold_value,above_threshold
METH__BZRAP1,100,50,1.0,0.3700000047683716,0.47,0.27,True,1.0,unimodal,0.71,True
TPM__SH3D19,100,50,1.0,0.3400000035762787,0.49,0.3,True,1.0,unimodal,0.71,True
TPM__MIR142HG,100,50,1.0,0.38999998569488525,-0.38,0.29,True,1.0,unimodal,0.71,True
METH__PTPN14,97,47,0.97,0.3100000023841858,-0.45,0.34,True,0.992,unimodal,0.71,True
TPM__AMOTL2,97,47,0.97,0.4099999964237213,0.57,0.31,True,0.992,unimodal,0.71,True
TPM__CCN1,97,47,0.97,0.36000001430511475,0.57,0.26,True,0.992,unimodal,0.71,True
TPM__DAG1,95,45,0.95,0.3400000035762787,0.51,0.24,True,0.458,unimodal,0.71,True
METH__MIR142,94,45,0.94,0.3700000047683716,0.44,0.22,True,0.458,unimodal,0.71,True
TPM__ITGA3,92,42,0.92,0.3499999940395355,0.58,0.21,False,0.013,worst_case,0.8940058479532164,True
TPM__LAMB2,92,42,0.92,0.41999998688697815,0.55,0.26,False,0.013,worst_case,0.8940058479532164,True
TPM__PTPN7,92,42,0.92,0.38999998569488525,-0.37,0.28,False,0.013,worst_case,0.8940058479532164,True
TPM__NCKAP1,91,41,0.91,0.3400000035762787,0.42,0.23,False,0.002,worst_case,0.8940058479532164,True
TPM__IKZF1,91,42,0.91,0.38999998569488525,-0.4,0.32,False,0.013,worst_case,0.8940058479532164,True
TPM__YAP1,90,40,0.9,0.4099999964237213,0.55,0.29,False,0.0,worst_case,0.8940058479532164,True
