feature,selection_count,pair_count,cpss_score,r2,spearman,mutual_info,unimodal,diptest_pvalue,threshold_type,threshold_value,above_threshold
METH__ZNF697,100,50,1.0,0.05000000074505806,-0.21,0.25,True,1.0,unimodal,0.71,True
METH__PTPN21,99,49,0.99,0.05000000074505806,-0.19,0.27,True,1.0,unimodal,0.71,True
METH__DNAJC30,99,49,0.99,0.019999999552965164,-0.1,0.25,True,1.0,unimodal,0.71,True
METH__ERCC3,99,49,0.99,0.03999999910593033,0.04,0.26,True,1.0,unimodal,0.71,True
METH__AGPHD1,99,49,0.99,0.029999999329447746,-0.2,0.26,True,1.0,unimodal,0.71,True
METH__C14orf79,98,48,0.98,0.0,-0.04,0.24,True,1.0,unimodal,0.71,True
METH__MIR1915,98,48,0.98,0.03999999910593033,-0.2,0.23,True,1.0,unimodal,0.71,True
METH__ZNF230,98,48,0.98,0.029999999329447746,-0.16,0.25,True,1.0,unimodal,0.71,True
METH__DUSP6,93,43,0.93,0.029999999329447746,-0.17,0.24,True,0.053,unimodal,0.71,True
METH__FGGY,93,43,0.93,0.019999999552965164,-0.21,0.25,True,0.053,unimodal,0.71,True
METH__N4BP2L2,91,41,0.91,0.029999999329447746,-0.13,0.25,False,0.002,worst_case,0.8991683991683992,True
METH__HMGCR,91,41,0.91,0.03999999910593033,-0.21,0.23,False,0.002,worst_case,0.8991683991683992,True
METH__C7orf70,91,42,0.91,0.029999999329447746,0.08,0.25,False,0.013,worst_case,0.8991683991683992,True
METH__PTGR2,91,41,0.91,0.019999999552965164,-0.21,0.24,False,0.002,worst_case,0.8991683991683992,True
METH__SDCBP,90,41,0.9,0.019999999552965164,-0.17,0.23,False,0.002,worst_case,0.8991683991683992,True
