feature,Selection count,Pair count,CPSS Score
TPM__EPHA2-AS1,100,50,1.0
TPM__WAS,100,50,1.0
TPM__KRT15,100,50,1.0
TPM__SH2D3C,100,50,1.0
TPM__MIR142HG,100,50,1.0
METH__RAVER1,100,50,1.0
TPM__RASGRP2,100,50,1.0
TPM__ARSJ,100,50,1.0
METH__JUB,100,50,1.0
TPM__CTTN,100,50,1.0
TPM__TLCD2,100,50,1.0
TPM__NCKAP1L,100,50,1.0
TPM__SEPTIN6,100,50,1.0
TPM__ITGA3,100,50,1.0
TPM__PADI1,100,50,1.0
TPM__TRAF3IP3,100,50,1.0
TPM__IKZF1,100,50,1.0
TPM__LINC01186,100,50,1.0
TPM__PLS3,100,50,1.0
TPM__SH3TC2-DT,100,50,1.0
TPM__PHLDA2,100,50,1.0
TPM__PLPP2,100,50,1.0
METH__MIR574,100,50,1.0
TPM__NIBAN2,100,50,1.0
TPM__TNFRSF12A,100,50,1.0
TPM__NCKAP1,100,50,1.0
TPM__ARHGAP9,100,50,1.0
TPM__KRT18,100,50,1.0
TPM__ELMO1,100,50,1.0
TPM__CCN1,100,50,1.0
TPM__LINC02535,100,50,1.0
METH__THBS1,100,50,1.0
METH__LAMB2,99,49,0.99
TPM__ITGAV,99,49,0.99
METH__TMEM149,99,49,0.99
TPM__ARHGAP15,99,49,0.99
METH__GPR125,99,49,0.99
METH__BZRAP1,99,49,0.99
METH__PTPN14,98,48,0.98
TPM__ASPH,98,48,0.98
TPM__THRB,98,48,0.98
TPM__PSG4,98,48,0.98
TPM__HCLS1,98,48,0.98
METH__VAV1,97,47,0.97
METH__CCM2,97,47,0.97
TPM__CORO1A-AS1,97,47,0.97
METH__EIF3K,96,46,0.96
METH__NPAS2,95,45,0.95
METH__GPX8,94,44,0.94
METH__C9orf150,93,43,0.93
METH__LRIG3,92,42,0.92
METH__MYO1E,92,42,0.92
TPM__SFTA1P,91,42,0.91
METH__TCEANC,90,40,0.9
METH__TMEM160,89,40,0.89
METH__KRI1,89,39,0.89
METH__BIN2,89,39,0.89
METH__RASAL2,87,37,0.87
METH__TPD52L1,86,37,0.86
METH__EVL,86,36,0.86
TPM__PDE1B,85,36,0.85
METH__FAT1,84,34,0.84
METH__FAM114A1,82,32,0.82
METH__GULP1,82,32,0.82
METH__SIRT2,77,28,0.77
METH__ITGB8,77,28,0.77
METH__FCER1G,71,24,0.71
METH__DSTN,71,25,0.71
METH__SNRPA1,70,21,0.7
METH__GABARAPL1,68,21,0.68
METH__EDN1,65,17,0.65
METH__NRP1,62,17,0.62
METH__CCDC12,62,17,0.62
METH__FAM47E,60,16,0.6
METH__PTPRK,58,17,0.58
CNV__DDX6,56,16,0.56
CNV__CCND1,55,11,0.55
METH__GPX4,54,13,0.54
