feature,selection_count,pair_count,cpss_score,r2,spearman,mutual_info,unimodal,diptest_pvalue,threshold_type,threshold_value,above_threshold
TPM__MYB,100,50,1.0,0.10999999940395355,-0.33,0.18,True,1.0,unimodal,0.7,True
METH__ANKRD44,100,50,1.0,0.07999999821186066,0.27,0.16,True,1.0,unimodal,0.7,True
TPM__LIF,100,50,1.0,0.12999999523162842,0.36,0.18,True,1.0,unimodal,0.7,True
TPM__RHOH,100,50,1.0,0.10999999940395355,-0.33,0.19,True,1.0,unimodal,0.7,True
TPM__PIK3CG,100,50,1.0,0.09000000357627869,-0.14,0.21,True,1.0,unimodal,0.7,True
METH__THOC6,100,50,1.0,0.09000000357627869,-0.29,0.2,True,1.0,unimodal,0.7,True
METH__LOC100130987,100,50,1.0,0.07000000029802322,-0.3,0.22,True,1.0,unimodal,0.7,True
METH__DCUN1D2,100,50,1.0,0.029999999329447746,-0.13,0.18,True,1.0,unimodal,0.7,True
TPM__ITGA3,100,50,1.0,0.15000000596046448,0.41,0.19,True,1.0,unimodal,0.7,True
MUT__PTEN,99,49,0.99,0.05000000074505806,-0.23,0.23,True,1.0,unimodal,0.7,True
METH__MIR1469,99,49,0.99,0.10000000149011612,-0.24,0.18,True,1.0,unimodal,0.7,True
METH__NPAS2,99,49,0.99,0.10000000149011612,-0.28,0.18,True,1.0,unimodal,0.7,True
METH__LAPTM4A,99,49,0.99,0.09000000357627869,-0.25,0.24,True,1.0,unimodal,0.7,True
TPM__RPL29P19,96,46,0.96,0.029999999329447746,0.22,0.17,True,0.832,unimodal,0.7,True
METH__ZNF697,94,44,0.94,0.07999999821186066,-0.15,0.19,True,0.181,unimodal,0.7,True
METH__WIBG,93,43,0.93,0.07999999821186066,0.27,0.18,True,0.053,unimodal,0.7,True
TPM__PTCHD3P1,90,40,0.9,0.009999999776482582,0.07,0.2,False,0.0,worst_case,0.8897435897435897,True
METH__CEBPD,89,39,0.89,0.05999999865889549,-0.13,0.2,False,0.0,worst_case,0.8897435897435897,True
METH__PPIC,89,40,0.89,0.09000000357627869,-0.21,0.21,False,0.0,worst_case,0.8897435897435897,True
MUT__PIK3CA,89,39,0.89,0.03999999910593033,-0.17,0.23,False,0.0,worst_case,0.8897435897435897,True
