feature,Selection count,Pair count,CPSS Score
TPM__MYB,100,50,1.0
METH__THOC6,100,50,1.0
TPM__ITGA3,100,50,1.0
METH__DCUN1D2,100,50,1.0
METH__LOC100130987,100,50,1.0
METH__ANKRD44,100,50,1.0
TPM__PIK3CG,100,50,1.0
TPM__RHOH,100,50,1.0
TPM__LIF,100,50,1.0
MUT__PTEN,99,49,0.99
METH__MIR1469,99,49,0.99
METH__NPAS2,99,49,0.99
METH__LAPTM4A,99,49,0.99
TPM__RPL29P19,96,46,0.96
METH__ZNF697,94,44,0.94
METH__WIBG,93,43,0.93
TPM__PTCHD3P1,90,40,0.9
METH__CEBPD,89,39,0.89
METH__PPIC,89,40,0.89
MUT__PIK3CA,89,39,0.89
METH__ITGB8,84,34,0.84
MUT__KRAS,81,31,0.81
CNV__NBEA,80,32,0.8
CNV__PDGFB,79,29,0.79
METH__HIP1,78,28,0.78
TPM__MIR3648-2,75,26,0.75
METH__GPX4,75,26,0.75
METH__TMEM150A,73,23,0.73
METH__TMCO1,73,24,0.73
METH__LNPEP,72,24,0.72
METH__NPHP3,71,23,0.71
METH__TARS,68,21,0.68
METH__NCRNA00119,67,19,0.67
TPM__MIR3648-1,67,20,0.67
CNV__PTEN,67,19,0.67
TPM__ATP5F1EP2,63,19,0.63
TPM__RPS28P5,60,13,0.6
CNV__NCOR2,59,11,0.59
METH__SS18,59,18,0.59
CNV__GNA13,58,17,0.58
CNV__PRRX1,58,15,0.58
MUT__ARID1A,58,12,0.58
CNV__KRAS,57,12,0.57
CNV__SOX9,57,14,0.57
CNV__PPFIBP1,56,12,0.56
METH__ZNF498,55,9,0.55
METH__IFI27L2,53,11,0.53
CNV__BRCA2,52,12,0.52
TPM__RNVU1-26,52,9,0.52
MUT__KMT2D,50,6,0.5
CNV__FOXO1,49,6,0.49
CNV__AXIN2,48,10,0.48
METH__MRPS35,46,9,0.46
METH__USP34,46,5,0.46
METH__HABP4,46,5,0.46
MUT__BAX,45,4,0.45
CNV__MAP2,44,7,0.44
CNV__PMS1,44,6,0.44
CNV__SDHC,43,7,0.43
TPM__SNORA72,43,9,0.43
CNV__CD79B,42,7,0.42
MUT__KMT2C,41,3,0.41
CNV__CREB1,41,3,0.41
CNV__BRIP1,41,6,0.41
CNV__MYH11,39,4,0.39
MUT__KMT2B,39,3,0.39
CNV__ETV4,38,4,0.38
CNV__ERBB4,37,2,0.37
CNV__MPL,37,4,0.37
METH__DCBLD2,37,3,0.37
CNV__ELF3,36,3,0.36
CNV__CREB3L1,35,3,0.35
CNV__BARD1,35,3,0.35
CNV__ERCC3,35,8,0.35
CNV__LRIG3,34,5,0.34
CNV__FAT2,34,3,0.34
METH__MIR1915,34,3,0.34
TPM__SNORA47,34,5,0.34
CNV__PAX8,34,1,0.34
CNV__JUN,33,3,0.33
METH__TM2D2,33,0,0.33
CNV__STAT6,33,4,0.33
CNV__EFTUD2,32,5,0.32
CNV__ERBB3,32,3,0.32
CNV__RANBP2,32,3,0.32
CNV__HOXD11,32,1,0.32
METH__CAPS2,32,2,0.32
CNV__TBX3,32,4,0.32
CNV__CD74,32,0,0.32
METH__MYH9,32,2,0.32
CNV__IDH1,32,3,0.32
CNV__RBM15,31,3,0.31
CNV__MAF,31,1,0.31
CNV__HOXD13,30,3,0.3
CNV__MUTYH,29,1,0.29
CNV__AFF3,28,4,0.28
CNV__BCL10,28,4,0.28
CNV__DDIT3,28,1,0.28
CNV__CDK4,27,2,0.27
CNV__ETNK1,27,0,0.27
METH__RPS6KA4,26,0,0.26
METH__EPRS,26,1,0.26
CNV__NFE2L2,26,2,0.26
CNV__BMPR1A,26,2,0.26
CNV__AJUBA,25,2,0.25
TPM__SNORA2A,25,4,0.25
CNV__FOXA1,25,4,0.25
MUT__SDHA,25,0,0.25
TPM__SNORA14B,25,2,0.25
CNV__TGIF1,25,2,0.25
METH__MRPS18B,24,2,0.24
CNV__CTNNB1,24,2,0.24
CNV__TRIM33,24,2,0.24
CNV__UBE2D2,23,0,0.23
METH__TATDN1,23,2,0.23
CNV__GLI1,23,1,0.23
CNV__HNF1A,23,1,0.23
TPM__SNORA4,23,1,0.23
CNV__SF3B1,23,1,0.23
METH__TEX9,22,2,0.22
CNV__ATF1,22,2,0.22
CNV__RPL5,22,0,0.22
CNV__BMPR2,21,0,0.21
CNV__KDM3B,21,1,0.21
METH__VAMP4,21,0,0.21
CNV__HOXC11,21,1,0.21
CNV__NKX2-1,20,2,0.2
CNV__ARHGAP26,20,3,0.2
CNV__KMT2D,20,0,0.2
CNV__TAL1,20,1,0.2
METH__TRMT5,20,0,0.2
CNV__ARID2,20,0,0.2
TPM__SNORA33,20,1,0.2
TPM__RNA5SP216,19,2,0.19
CNV__ATIC,19,1,0.19
CNV__ITK,19,1,0.19
CNV__CBFA2T3,19,0,0.19
CNV__MDM2,18,2,0.18
CNV__CCNB1IP1,18,2,0.18
METH__ZNF672,18,2,0.18
CNV__FN1,18,1,0.18
METH__C6orf62,18,2,0.18
MUT__UBR5,18,0,0.18
MUT__ACVR2A,18,0,0.18
CNV__WT1,17,2,0.17
TPM__SNORA70,16,0,0.16
METH__PLAGL2,16,0,0.16
CNV__RHPN2,16,2,0.16
CNV__STIL,16,0,0.16
METH__C22orf30,16,0,0.16
CNV__DNMT3A,16,2,0.16
CNV__SMARCD1,16,0,0.16
METH__POFUT1,15,0,0.15
MUT__RPL22,15,0,0.15
CNV__CEBPA,15,0,0.15
CNV__PDGFRB,15,1,0.15
CNV__JAK1,15,0,0.15
METH__PNN,15,0,0.15
CNV__SMAD2,15,1,0.15
CNV__TSC2,14,1,0.14
CNV__LMO1,14,0,0.14
METH__STAU1,14,1,0.14
MUT__CREBBP,14,0,0.14
METH__SHQ1,14,0,0.14
MUT__PIK3R1,14,0,0.14
CNV__CASP8,13,0,0.13
METH__MED6,13,0,0.13
CNV__NRAS,13,1,0.13
MUT__MSH6,13,0,0.13
CNV__TRAF7,13,0,0.13
CNV__NFKBIA,12,2,0.12
CNV__TMEM127,12,0,0.12
TPM__SNORA2B,12,0,0.12
MUT__EP300,12,0,0.12
MUT__ZFHX3,11,0,0.11
MUT__RB1,11,0,0.11
CNV__FAM174B,11,1,0.11
METH__ZNF571,11,0,0.11
CNV__PEG3,11,1,0.11
CNV__BAX,11,0,0.11
TPM__SCARNA8,10,1,0.1
CNV__FANCF,10,0,0.1
MUT__MYH9,10,0,0.1
METH__MAD1L1,9,0,0.09
CNV__FUBP1,9,0,0.09
MUT__FAT4,9,0,0.09
METH__ROCK1,9,0,0.09
METH__ADAM9,9,0,0.09
CNV__EBF1,9,0,0.09
MUT__ARID1B,9,0,0.09
CNV__HOXC13,8,0,0.08
MUT__BRAF,8,0,0.08
CNV__ACVR2A,8,0,0.08
CNV__EPS15,8,0,0.08
CNV__FANCI,8,0,0.08
METH__CEP57,8,0,0.08
CNV__SDHB,7,0,0.07
MUT__MGA,7,0,0.07
MUT__STAT5B,7,0,0.07
CNV__PHOX2B,7,1,0.07
TPM__SNORA15,7,0,0.07
CNV__IDH2,7,0,0.07
MUT__HLA-A,7,0,0.07
CNV__CXCR4,7,0,0.07
METH__POLR1C,6,1,0.06
METH__PRPF38A,6,0,0.06
METH__KIAA0652,6,1,0.06
MUT__FBXW7,6,0,0.06
METH__LUC7L2,6,0,0.06
CNV__TEC,6,0,0.06
CNV__NUP98,6,0,0.06
METH__SNRPD3,6,0,0.06
TPM__SNORA46,5,0,0.05
CNV__RHOH,5,0,0.05
MUT__PTPN13,5,0,0.05
MUT__WNK2,5,0,0.05
CNV__CARS1,5,0,0.05
METH__GPBP1,5,0,0.05
TPM__RNA5SP323,5,0,0.05
METH__MRPL40,5,0,0.05
MUT__STAG2,5,0,0.05
METH__DCTN5,4,0,0.04
MUT__SPEN,4,0,0.04
MUT__CRTC1,4,0,0.04
